"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20230904.csv"
"C","Report for 09/04/2023"
"C","Report generated 08/12/2024 17:24:01 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","09/04/2023","00:06:58","Hydro","Hydro",553,"No"
"D","09/04/2023","00:06:58","Natural Gas","Natural Gas",7116,"Yes"
"D","09/04/2023","00:06:58","Nuclear","Nuclear",3067,"No"
"D","09/04/2023","00:06:58","Other","Other",2,"No"
"D","09/04/2023","00:06:58","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:06:58","Refuse","Renewables",315,"No"
"D","09/04/2023","00:06:58","Solar","Renewables",10,"No"
"D","09/04/2023","00:06:58","Wind","Renewables",103,"No"
"D","09/04/2023","00:06:58","Wood","Renewables",191,"No"
"D","09/04/2023","00:11:31","Hydro","Hydro",550,"No"
"D","09/04/2023","00:11:31","Natural Gas","Natural Gas",7053,"Yes"
"D","09/04/2023","00:11:31","Nuclear","Nuclear",3068,"No"
"D","09/04/2023","00:11:31","Other","Other",2,"No"
"D","09/04/2023","00:11:31","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:11:31","Refuse","Renewables",315,"No"
"D","09/04/2023","00:11:31","Solar","Renewables",10,"No"
"D","09/04/2023","00:11:31","Wind","Renewables",107,"No"
"D","09/04/2023","00:11:31","Wood","Renewables",192,"No"
"D","09/04/2023","00:17:04","Hydro","Hydro",551,"No"
"D","09/04/2023","00:17:04","Natural Gas","Natural Gas",7020,"Yes"
"D","09/04/2023","00:17:04","Nuclear","Nuclear",3066,"No"
"D","09/04/2023","00:17:04","Other","Other",3,"No"
"D","09/04/2023","00:17:04","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:17:04","Refuse","Renewables",312,"No"
"D","09/04/2023","00:17:04","Solar","Renewables",10,"No"
"D","09/04/2023","00:17:04","Wind","Renewables",108,"No"
"D","09/04/2023","00:17:04","Wood","Renewables",190,"No"
"D","09/04/2023","00:23:38","Hydro","Hydro",552,"No"
"D","09/04/2023","00:23:38","Natural Gas","Natural Gas",7049,"Yes"
"D","09/04/2023","00:23:38","Nuclear","Nuclear",3069,"No"
"D","09/04/2023","00:23:38","Other","Other",2,"No"
"D","09/04/2023","00:23:38","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:23:38","Refuse","Renewables",309,"No"
"D","09/04/2023","00:23:38","Solar","Renewables",10,"No"
"D","09/04/2023","00:23:38","Wind","Renewables",106,"No"
"D","09/04/2023","00:23:38","Wood","Renewables",190,"No"
"D","09/04/2023","00:32:48","Hydro","Hydro",550,"No"
"D","09/04/2023","00:32:48","Natural Gas","Natural Gas",6896,"Yes"
"D","09/04/2023","00:32:48","Nuclear","Nuclear",3069,"No"
"D","09/04/2023","00:32:48","Other","Other",3,"No"
"D","09/04/2023","00:32:48","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:32:48","Refuse","Renewables",312,"No"
"D","09/04/2023","00:32:48","Solar","Renewables",10,"No"
"D","09/04/2023","00:32:48","Wind","Renewables",104,"No"
"D","09/04/2023","00:32:48","Wood","Renewables",191,"No"
"D","09/04/2023","00:40:05","Hydro","Hydro",559,"No"
"D","09/04/2023","00:40:05","Natural Gas","Natural Gas",6900,"Yes"
"D","09/04/2023","00:40:05","Nuclear","Nuclear",3070,"No"
"D","09/04/2023","00:40:05","Other","Other",2,"No"
"D","09/04/2023","00:40:05","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:40:05","Refuse","Renewables",309,"No"
"D","09/04/2023","00:40:05","Solar","Renewables",10,"No"
"D","09/04/2023","00:40:05","Wind","Renewables",113,"No"
"D","09/04/2023","00:40:05","Wood","Renewables",191,"No"
"D","09/04/2023","00:45:12","Hydro","Hydro",561,"No"
"D","09/04/2023","00:45:12","Natural Gas","Natural Gas",6736,"Yes"
"D","09/04/2023","00:45:12","Nuclear","Nuclear",3066,"No"
"D","09/04/2023","00:45:12","Other","Other",3,"No"
"D","09/04/2023","00:45:12","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:45:12","Refuse","Renewables",311,"No"
"D","09/04/2023","00:45:12","Solar","Renewables",10,"No"
"D","09/04/2023","00:45:12","Wind","Renewables",121,"No"
"D","09/04/2023","00:45:12","Wood","Renewables",191,"No"
"D","09/04/2023","00:52:40","Hydro","Hydro",559,"No"
"D","09/04/2023","00:52:40","Natural Gas","Natural Gas",6617,"Yes"
"D","09/04/2023","00:52:40","Nuclear","Nuclear",3068,"No"
"D","09/04/2023","00:52:40","Other","Other",6,"No"
"D","09/04/2023","00:52:40","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","00:52:40","Refuse","Renewables",316,"No"
"D","09/04/2023","00:52:40","Solar","Renewables",10,"No"
"D","09/04/2023","00:52:40","Wind","Renewables",123,"No"
"D","09/04/2023","00:52:40","Wood","Renewables",191,"No"
"D","09/04/2023","01:00:29","Hydro","Hydro",550,"No"
"D","09/04/2023","01:00:29","Natural Gas","Natural Gas",6592,"Yes"
"D","09/04/2023","01:00:29","Nuclear","Nuclear",3068,"No"
"D","09/04/2023","01:00:29","Other","Other",7,"No"
"D","09/04/2023","01:00:29","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","01:00:29","Refuse","Renewables",317,"No"
"D","09/04/2023","01:00:29","Solar","Renewables",10,"No"
"D","09/04/2023","01:00:29","Wind","Renewables",130,"No"
"D","09/04/2023","01:00:29","Wood","Renewables",191,"No"
"D","09/04/2023","01:09:47","Hydro","Hydro",552,"No"
"D","09/04/2023","01:09:47","Natural Gas","Natural Gas",6403,"Yes"
"D","09/04/2023","01:09:47","Nuclear","Nuclear",3070,"No"
"D","09/04/2023","01:09:47","Other","Other",8,"No"
"D","09/04/2023","01:09:47","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","01:09:47","Refuse","Renewables",313,"No"
"D","09/04/2023","01:09:47","Solar","Renewables",10,"No"
"D","09/04/2023","01:09:47","Wind","Renewables",138,"No"
"D","09/04/2023","01:09:47","Wood","Renewables",194,"No"
"D","09/04/2023","01:17:27","Hydro","Hydro",551,"No"
"D","09/04/2023","01:17:27","Natural Gas","Natural Gas",6217,"Yes"
"D","09/04/2023","01:17:27","Nuclear","Nuclear",3070,"No"
"D","09/04/2023","01:17:27","Other","Other",23,"No"
"D","09/04/2023","01:17:27","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","01:17:27","Refuse","Renewables",307,"No"
"D","09/04/2023","01:17:27","Solar","Renewables",10,"No"
"D","09/04/2023","01:17:27","Wind","Renewables",137,"No"
"D","09/04/2023","01:17:27","Wood","Renewables",192,"No"
"D","09/04/2023","01:22:10","Hydro","Hydro",548,"No"
"D","09/04/2023","01:22:10","Natural Gas","Natural Gas",6229,"Yes"
"D","09/04/2023","01:22:10","Nuclear","Nuclear",3070,"No"
"D","09/04/2023","01:22:10","Other","Other",7,"No"
"D","09/04/2023","01:22:10","Landfill Gas","Renewables",34,"No"
"D","09/04/2023","01:22:10","Refuse","Renewables",315,"No"
"D","09/04/2023","01:22:10","Solar","Renewables",10,"No"
"D","09/04/2023","01:22:10","Wind","Renewables",133,"No"
"D","09/04/2023","01:22:10","Wood","Renewables",192,"No"
"D","09/04/2023","01:31:07","Hydro","Hydro",546,"No"
"D","09/04/2023","01:31:07","Natural Gas","Natural Gas",6363,"Yes"
"D","09/04/2023","01:31:07","Nuclear","Nuclear",3069,"No"
"D","09/04/2023","01:31:07","Other","Other",7,"No"
"D","09/04/2023","01:31:07","Landfill Gas","Renewables",34,"No"
