"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20220304.csv"
"C","Report for 03/04/2022"
"C","Report generated 08/12/2024 16:36:14 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","03/04/2022","00:09:06","Hydro","Hydro",1106,"No"
"D","03/04/2022","00:09:06","Natural Gas","Natural Gas",4019,"Yes"
"D","03/04/2022","00:09:06","Nuclear","Nuclear",3353,"No"
"D","03/04/2022","00:09:06","Oil","Oil",550,"No"
"D","03/04/2022","00:09:06","Other","Other",5,"No"
"D","03/04/2022","00:09:06","Landfill Gas","Renewables",31,"No"
"D","03/04/2022","00:09:06","Refuse","Renewables",343,"No"
"D","03/04/2022","00:09:06","Wind","Renewables",1038,"No"
"D","03/04/2022","00:09:06","Wood","Renewables",313,"No"
"D","03/04/2022","00:14:33","Hydro","Hydro",1105,"No"
"D","03/04/2022","00:14:33","Natural Gas","Natural Gas",3919,"Yes"
"D","03/04/2022","00:14:33","Nuclear","Nuclear",3354,"No"
"D","03/04/2022","00:14:33","Oil","Oil",549,"No"
"D","03/04/2022","00:14:33","Other","Other",14,"No"
"D","03/04/2022","00:14:33","Landfill Gas","Renewables",30,"No"
"D","03/04/2022","00:14:33","Refuse","Renewables",345,"No"
"D","03/04/2022","00:14:33","Wind","Renewables",1054,"No"
"D","03/04/2022","00:14:33","Wood","Renewables",312,"No"
"D","03/04/2022","00:20:32","Hydro","Hydro",1101,"No"
"D","03/04/2022","00:20:32","Natural Gas","Natural Gas",3957,"Yes"
"D","03/04/2022","00:20:32","Nuclear","Nuclear",3350,"No"
"D","03/04/2022","00:20:32","Oil","Oil",549,"No"
"D","03/04/2022","00:20:32","Other","Other",3,"No"
"D","03/04/2022","00:20:32","Landfill Gas","Renewables",30,"No"
"D","03/04/2022","00:20:32","Refuse","Renewables",347,"No"
"D","03/04/2022","00:20:32","Wind","Renewables",1033,"No"
"D","03/04/2022","00:20:32","Wood","Renewables",311,"No"
"D","03/04/2022","00:26:19","Hydro","Hydro",1102,"No"
"D","03/04/2022","00:26:19","Natural Gas","Natural Gas",3755,"No"
"D","03/04/2022","00:26:19","Nuclear","Nuclear",3354,"No"
"D","03/04/2022","00:26:19","Oil","Oil",536,"Yes"
