"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20220530.csv"
"C","Report for 05/30/2022"
"C","Report generated 08/12/2024 16:43:47 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","05/30/2022","02:16:21","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:16:21","Refuse","Renewables",367,"No"
"D","05/30/2022","02:16:21","Wind","Renewables",307,"No"
"D","05/30/2022","02:16:21","Wood","Renewables",176,"No"
"D","05/30/2022","02:24:07","Hydro","Hydro",485,"No"
"D","05/30/2022","02:24:07","Natural Gas","Natural Gas",3727,"No"
"D","05/30/2022","02:24:07","Nuclear","Nuclear",2117,"No"
"D","05/30/2022","02:24:07","Other","Other",26,"No"
"D","05/30/2022","02:24:07","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:24:07","Refuse","Renewables",371,"No"
"D","05/30/2022","02:24:07","Wind","Renewables",332,"No"
"D","05/30/2022","02:24:07","Wood","Renewables",177,"Yes"
"D","05/30/2022","02:45:00","Hydro","Hydro",494,"No"
"D","05/30/2022","02:45:00","Natural Gas","Natural Gas",3709,"Yes"
"D","05/30/2022","02:45:00","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","02:45:00","Other","Other",9,"No"
"D","05/30/2022","02:45:00","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:45:00","Refuse","Renewables",371,"No"
"D","05/30/2022","02:45:00","Wind","Renewables",326,"No"
"D","05/30/2022","02:45:00","Wood","Renewables",179,"No"
"D","05/30/2022","02:53:48","Hydro","Hydro",494,"No"
"D","05/30/2022","02:53:48","Natural Gas","Natural Gas",3574,"Yes"
"D","05/30/2022","02:53:48","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","02:53:48","Other","Other",10,"No"
"D","05/30/2022","02:53:48","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","02:53:48","Refuse","Renewables",372,"No"
"D","05/30/2022","02:53:48","Wind","Renewables",324,"No"
"D","05/30/2022","02:53:48","Wood","Renewables",175,"No"
"D","05/30/2022","03:13:16","Hydro","Hydro",487,"No"
"D","05/30/2022","03:13:16","Natural Gas","Natural Gas",3585,"Yes"
"D","05/30/2022","03:13:16","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","03:13:16","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","03:13:16","Refuse","Renewables",374,"No"
"D","05/30/2022","03:13:16","Wind","Renewables",339,"No"
"D","05/30/2022","03:13:16","Wood","Renewables",173,"No"
"D","05/30/2022","03:22:04","Hydro","Hydro",485,"No"
"D","05/30/2022","03:22:04","Natural Gas","Natural Gas",3528,"Yes"
"D","05/30/2022","03:22:04","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","03:22:04","Other","Other",16,"No"
"D","05/30/2022","03:22:04","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","03:22:04","Refuse","Renewables",376,"No"
"D","05/30/2022","03:22:04","Wind","Renewables",367,"No"
"D","05/30/2022","03:22:04","Wood","Renewables",172,"No"
"D","05/30/2022","03:36:39","Hydro","Hydro",485,"No"
"D","05/30/2022","03:36:39","Natural Gas","Natural Gas",3558,"Yes"
"D","05/30/2022","03:36:39","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","03:36:39","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","03:36:39","Refuse","Renewables",366,"No"
"D","05/30/2022","03:36:39","Wind","Renewables",393,"No"
"D","05/30/2022","03:36:39","Wood","Renewables",171,"No"
"D","05/30/2022","03:53:04","Hydro","Hydro",486,"No"
"D","05/30/2022","03:53:04","Natural Gas","Natural Gas",3484,"Yes"
"D","05/30/2022","03:53:04","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","03:53:04","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","03:53:04","Refuse","Renewables",375,"No"
"D","05/30/2022","03:53:04","Wind","Renewables",407,"No"
"D","05/30/2022","03:53:04","Wood","Renewables",172,"No"
"D","05/30/2022","04:03:01","Hydro","Hydro",487,"No"
"D","05/30/2022","04:03:01","Natural Gas","Natural Gas",3637,"Yes"
"D","05/30/2022","04:03:01","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","04:03:01","Other","Other",16,"No"
"D","05/30/2022","04:03:01","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","04:03:01","Refuse","Renewables",370,"No"
"D","05/30/2022","04:03:01","Wind","Renewables",432,"No"
"D","05/30/2022","04:03:01","Wood","Renewables",173,"No"
"D","05/30/2022","04:04:05","Hydro","Hydro",488,"No"
"D","05/30/2022","04:04:05","Natural Gas","Natural Gas",3637,"Yes"
"D","05/30/2022","04:04:05","Nuclear","Nuclear",2117,"No"
"D","05/30/2022","04:04:05","Other","Other",13,"No"
"D","05/30/2022","04:04:05","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","04:04:05","Refuse","Renewables",369,"No"
"D","05/30/2022","04:04:05","Wind","Renewables",437,"No"
"D","05/30/2022","04:04:05","Wood","Renewables",172,"No"
"D","05/30/2022","04:05:15","Hydro","Hydro",488,"No"
"D","05/30/2022","04:05:15","Natural Gas","Natural Gas",3659,"Yes"
"D","05/30/2022","04:05:15","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","04:05:15","Other","Other",31,"No"
"D","05/30/2022","04:05:15","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","04:05:15","Refuse","Renewables",367,"No"
"D","05/30/2022","04:05:15","Wind","Renewables",437,"No"
"D","05/30/2022","04:05:15","Wood","Renewables",172,"No"
"D","05/30/2022","04:06:15","Hydro","Hydro",489,"No"
"D","05/30/2022","04:06:15","Natural Gas","Natural Gas",3671,"Yes"
"D","05/30/2022","04:06:15","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","04:06:15","Other","Other",5,"No"
"D","05/30/2022","04:06:15","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","04:06:15","Refuse","Renewables",363,"No"
"D","05/30/2022","04:06:15","Wind","Renewables",440,"No"
"D","05/30/2022","04:06:15","Wood","Renewables",172,"No"
"D","05/30/2022","04:24:44","Hydro","Hydro",483,"No"
"D","05/30/2022","04:24:44","Natural Gas","Natural Gas",3718,"Yes"
"D","05/30/2022","04:24:44","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","04:24:44","Other","Other",1,"No"
"D","05/30/2022","04:24:44","Landfill Gas","Renewables",33,"No"
"D","05/30/2022","04:24:44","Refuse","Renewables",363,"No"
"D","05/30/2022","04:24:44","Wind","Renewables",425,"No"
"D","05/30/2022","04:24:44","Wood","Renewables",176,"No"
"D","05/30/2022","04:37:18","Coal","Coal",9,"No"
"D","05/30/2022","04:37:18","Hydro","Hydro",483,"No"
"D","05/30/2022","04:37:18","Natural Gas","Natural Gas",3727,"Yes"
"D","05/30/2022","04:37:18","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","04:37:18","Other","Other",1,"No"
"D","05/30/2022","04:37:18","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","04:37:18","Refuse","Renewables",355,"No"
"D","05/30/2022","04:37:18","Wind","Renewables",416,"No"
"D","05/30/2022","04:37:18","Wood","Renewables",177,"No"
"D","05/30/2022","04:51:33","Coal","Coal",11,"No"
"D","05/30/2022","04:51:33","Hydro","Hydro",485,"No"
"D","05/30/2022","04:51:33","Natural Gas","Natural Gas",3860,"Yes"
"D","05/30/2022","04:51:33","Nuclear","Nuclear",2117,"No"
"D","05/30/2022","04:51:33","Other","Other",1,"No"
"D","05/30/2022","04:51:33","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","04:51:33","Refuse","Renewables",366,"No"
"D","05/30/2022","04:51:33","Wind","Renewables",430,"No"
"D","05/30/2022","04:51:33","Wood","Renewables",181,"No"
"D","05/30/2022","05:05:57","Coal","Coal",9,"No"
"D","05/30/2022","05:05:57","Hydro","Hydro",540,"No"
"D","05/30/2022","05:05:57","Natural Gas","Natural Gas",3852,"Yes"
"D","05/30/2022","05:05:57","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","05:05:57","Other","Other",8,"No"
"D","05/30/2022","05:05:57","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","05:05:57","Refuse","Renewables",366,"No"
"D","05/30/2022","05:05:57","Solar","Renewables",0,"No"
"D","05/30/2022","05:05:57","Wind","Renewables",453,"No"
"D","05/30/2022","05:05:57","Wood","Renewables",175,"No"
"D","05/30/2022","05:17:39","Coal","Coal",11,"No"
"D","05/30/2022","05:17:39","Hydro","Hydro",546,"No"
"D","05/30/2022","05:17:39","Natural Gas","Natural Gas",3993,"Yes"
"D","05/30/2022","05:17:39","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","05:17:39","Other","Other",1,"No"
"D","05/30/2022","05:17:39","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","05:17:39","Refuse","Renewables",377,"No"
"D","05/30/2022","05:17:39","Solar","Renewables",2,"No"
"D","05/30/2022","05:17:39","Wind","Renewables",443,"No"
"D","05/30/2022","05:17:39","Wood","Renewables",175,"No"
"D","05/30/2022","05:20:14","Coal","Coal",11,"No"
"D","05/30/2022","05:20:14","Hydro","Hydro",544,"No"
"D","05/30/2022","05:20:14","Natural Gas","Natural Gas",3984,"Yes"
"D","05/30/2022","05:20:14","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","05:20:14","Other","Other",1,"No"
"D","05/30/2022","05:20:14","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","05:20:14","Refuse","Renewables",367,"No"
"D","05/30/2022","05:20:14","Solar","Renewables",3,"No"
"D","05/30/2022","05:20:14","Wind","Renewables",442,"No"
"D","05/30/2022","05:20:14","Wood","Renewables",175,"No"
"D","05/30/2022","05:26:47","Coal","Coal",12,"No"
"D","05/30/2022","05:26:47","Hydro","Hydro",542,"No"
"D","05/30/2022","05:26:47","Natural Gas","Natural Gas",3866,"Yes"
"D","05/30/2022","05:26:47","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","05:26:47","Other","Other",3,"No"
"D","05/30/2022","05:26:47","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","05:26:47","Refuse","Renewables",373,"No"
"D","05/30/2022","05:26:47","Solar","Renewables",4,"No"
"D","05/30/2022","05:26:47","Wind","Renewables",440,"No"
"D","05/30/2022","05:26:47","Wood","Renewables",173,"No"
"D","05/30/2022","05:37:29","Coal","Coal",15,"No"
"D","05/30/2022","05:37:29","Hydro","Hydro",550,"No"
"D","05/30/2022","05:37:29","Natural Gas","Natural Gas",3852,"Yes"
"D","05/30/2022","05:37:29","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","05:37:29","Other","Other",2,"No"
"D","05/30/2022","05:37:29","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","05:37:29","Refuse","Renewables",372,"No"
"D","05/30/2022","05:37:29","Solar","Renewables",10,"No"
"D","05/30/2022","05:37:29","Wind","Renewables",445,"No"
"D","05/30/2022","05:37:29","Wood","Renewables",174,"No"
"D","05/30/2022","05:40:16","Coal","Coal",15,"No"
"D","05/30/2022","05:40:16","Hydro","Hydro",550,"No"
"D","05/30/2022","05:40:16","Natural Gas","Natural Gas",3852,"Yes"
"D","05/30/2022","05:40:16","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","05:40:16","Other","Other",2,"No"
"D","05/30/2022","05:40:16","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","05:40:16","Refuse","Renewables",372,"No"
"D","05/30/2022","05:40:16","Solar","Renewables",10,"No"
"D","05/30/2022","05:40:16","Wind","Renewables",445,"No"
"D","05/30/2022","05:40:16","Wood","Renewables",174,"No"
"D","05/30/2022","05:56:18","Coal","Coal",17,"No"
"D","05/30/2022","05:56:18","Hydro","Hydro",549,"No"
"D","05/30/2022","05:56:18","Natural Gas","Natural Gas",3807,"Yes"
"D","05/30/2022","05:56:18","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","05:56:18","Other","Other",13,"No"
"D","05/30/2022","05:56:18","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","05:56:18","Refuse","Renewables",371,"No"
"D","05/30/2022","05:56:18","Solar","Renewables",19,"No"
"D","05/30/2022","05:56:18","Wind","Renewables",429,"No"
"D","05/30/2022","05:56:18","Wood","Renewables",173,"No"
"D","05/30/2022","06:12:30","Coal","Coal",16,"No"
"D","05/30/2022","06:12:30","Hydro","Hydro",596,"No"
"D","05/30/2022","06:12:30","Natural Gas","Natural Gas",3842,"Yes"
"D","05/30/2022","06:12:30","Nuclear","Nuclear",2117,"No"
"D","05/30/2022","06:12:30","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","06:12:30","Refuse","Renewables",377,"No"
"D","05/30/2022","06:12:30","Solar","Renewables",27,"No"
"D","05/30/2022","06:12:30","Wind","Renewables",421,"No"
"D","05/30/2022","06:12:30","Wood","Renewables",172,"No"
"D","05/30/2022","06:26:38","Coal","Coal",16,"No"
"D","05/30/2022","06:26:38","Hydro","Hydro",593,"No"
"D","05/30/2022","06:26:38","Natural Gas","Natural Gas",4037,"Yes"
"D","05/30/2022","06:26:38","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","06:26:38","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","06:26:38","Refuse","Renewables",370,"No"
"D","05/30/2022","06:26:38","Solar","Renewables",36,"No"
"D","05/30/2022","06:26:38","Wind","Renewables",438,"No"
"D","05/30/2022","06:26:38","Wood","Renewables",171,"No"
"D","05/30/2022","06:28:06","Coal","Coal",15,"No"
"D","05/30/2022","06:28:06","Hydro","Hydro",599,"No"
"D","05/30/2022","06:28:06","Natural Gas","Natural Gas",4041,"Yes"
"D","05/30/2022","06:28:06","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","06:28:06","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","06:28:06","Refuse","Renewables",368,"No"
"D","05/30/2022","06:28:06","Solar","Renewables",40,"No"
"D","05/30/2022","06:28:06","Wind","Renewables",429,"No"
"D","05/30/2022","06:28:06","Wood","Renewables",171,"No"
"D","05/30/2022","06:29:15","Coal","Coal",15,"No"
"D","05/30/2022","06:29:15","Hydro","Hydro",599,"No"
"D","05/30/2022","06:29:15","Natural Gas","Natural Gas",4041,"Yes"
"D","05/30/2022","06:29:15","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","06:29:15","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","06:29:15","Refuse","Renewables",368,"No"
"D","05/30/2022","06:29:15","Solar","Renewables",40,"No"
"D","05/30/2022","06:29:15","Wind","Renewables",429,"No"
"D","05/30/2022","06:29:15","Wood","Renewables",171,"No"
"D","05/30/2022","06:35:20","Coal","Coal",17,"No"
"D","05/30/2022","06:35:20","Hydro","Hydro",595,"No"
"D","05/30/2022","06:35:20","Natural Gas","Natural Gas",3628,"Yes"
"D","05/30/2022","06:35:20","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","06:35:20","Other","Other",26,"No"
"D","05/30/2022","06:35:20","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","06:35:20","Refuse","Renewables",369,"No"
"D","05/30/2022","06:35:20","Solar","Renewables",45,"No"
"D","05/30/2022","06:35:20","Wind","Renewables",428,"No"
"D","05/30/2022","06:35:20","Wood","Renewables",173,"No"
"D","05/30/2022","06:55:00","Coal","Coal",16,"No"
"D","05/30/2022","06:55:00","Hydro","Hydro",599,"No"
"D","05/30/2022","06:55:00","Natural Gas","Natural Gas",3658,"Yes"
"D","05/30/2022","06:55:00","Nuclear","Nuclear",2119,"No"
"D","05/30/2022","06:55:00","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","06:55:00","Refuse","Renewables",359,"No"
"D","05/30/2022","06:55:00","Solar","Renewables",77,"No"
"D","05/30/2022","06:55:00","Wind","Renewables",420,"No"
"D","05/30/2022","06:55:00","Wood","Renewables",173,"No"
"D","05/30/2022","07:03:09","Coal","Coal",16,"No"
"D","05/30/2022","07:03:09","Hydro","Hydro",599,"No"
"D","05/30/2022","07:03:09","Natural Gas","Natural Gas",3658,"Yes"
"D","05/30/2022","07:03:09","Nuclear","Nuclear",2119,"No"
"D","05/30/2022","07:03:09","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","07:03:09","Refuse","Renewables",359,"No"
"D","05/30/2022","07:03:09","Solar","Renewables",77,"No"
"D","05/30/2022","07:03:09","Wind","Renewables",420,"No"
"D","05/30/2022","07:03:09","Wood","Renewables",173,"No"
"D","05/30/2022","07:10:16","Coal","Coal",16,"No"
"D","05/30/2022","07:10:16","Hydro","Hydro",614,"No"
"D","05/30/2022","07:10:16","Natural Gas","Natural Gas",3589,"Yes"
"D","05/30/2022","07:10:16","Nuclear","Nuclear",2118,"No"
"D","05/30/2022","07:10:16","Other","Other",13,"No"
"D","05/30/2022","07:10:16","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","07:10:16","Refuse","Renewables",369,"No"
"D","05/30/2022","07:10:16","Solar","Renewables",92,"No"
"D","05/30/2022","07:10:16","Wind","Renewables",414,"No"
"D","05/30/2022","07:10:16","Wood","Renewables",172,"No"
"D","05/30/2022","07:19:54","Coal","Coal",16,"No"
"D","05/30/2022","07:19:54","Hydro","Hydro",632,"No"
"D","05/30/2022","07:19:54","Natural Gas","Natural Gas",3639,"Yes"
"D","05/30/2022","07:19:54","Nuclear","Nuclear",2114,"No"
"D","05/30/2022","07:19:54","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","07:19:54","Refuse","Renewables",371,"No"
"D","05/30/2022","07:19:54","Solar","Renewables",125,"No"
"D","05/30/2022","07:19:54","Wind","Renewables",415,"No"
"D","05/30/2022","07:19:54","Wood","Renewables",172,"No"
"D","05/30/2022","07:24:56","Coal","Coal",15,"No"
"D","05/30/2022","07:24:56","Hydro","Hydro",628,"No"
"D","05/30/2022","07:24:56","Natural Gas","Natural Gas",3510,"Yes"
"D","05/30/2022","07:24:56","Nuclear","Nuclear",2118,"No"
"D","05/30/2022","07:24:56","Other","Other",1,"No"
"D","05/30/2022","07:24:56","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","07:24:56","Refuse","Renewables",371,"No"
"D","05/30/2022","07:24:56","Solar","Renewables",142,"No"
"D","05/30/2022","07:24:56","Wind","Renewables",411,"No"
"D","05/30/2022","07:24:56","Wood","Renewables",172,"No"
"D","05/30/2022","07:41:58","Coal","Coal",16,"No"
"D","05/30/2022","07:41:58","Hydro","Hydro",629,"No"
"D","05/30/2022","07:41:58","Natural Gas","Natural Gas",3489,"Yes"
"D","05/30/2022","07:41:58","Nuclear","Nuclear",2117,"No"
"D","05/30/2022","07:41:58","Other","Other",2,"No"
"D","05/30/2022","07:41:58","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","07:41:58","Refuse","Renewables",364,"No"
"D","05/30/2022","07:41:58","Solar","Renewables",182,"No"
"D","05/30/2022","07:41:58","Wind","Renewables",389,"No"
"D","05/30/2022","07:41:58","Wood","Renewables",173,"No"
"D","05/30/2022","07:54:45","Coal","Coal",16,"No"
"D","05/30/2022","07:54:45","Hydro","Hydro",613,"No"
"D","05/30/2022","07:54:45","Natural Gas","Natural Gas",3633,"Yes"
"D","05/30/2022","07:54:45","Nuclear","Nuclear",2119,"No"
"D","05/30/2022","07:54:45","Other","Other",9,"No"
"D","05/30/2022","07:54:45","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","07:54:45","Refuse","Renewables",360,"No"
"D","05/30/2022","07:54:45","Solar","Renewables",209,"No"
"D","05/30/2022","07:54:45","Wind","Renewables",371,"No"
"D","05/30/2022","07:54:45","Wood","Renewables",173,"No"
"D","05/30/2022","08:09:35","Coal","Coal",25,"No"
"D","05/30/2022","08:09:35","Hydro","Hydro",645,"No"
"D","05/30/2022","08:09:35","Natural Gas","Natural Gas",3619,"Yes"
"D","05/30/2022","08:09:35","Nuclear","Nuclear",2116,"No"
"D","05/30/2022","08:09:35","Other","Other",0,"No"
"D","05/30/2022","08:09:35","Landfill Gas","Renewables",34,"No"
"D","05/30/2022","08:09:35","Refuse","Renewables",365,"No"
"D","05/30/2022","08:09:35","Solar","Renewables",252,"No"
"D","05/30/2022","08:09:35","Wind","Renewables",344,"No"
"D","05/30/2022","08:09:35","Wood","Renewables",171,"No"
"D","05/30/2022","08:11:39","Coal","Coal",25,"No"
"D","05/30/2022","08:11:39","Hydro","Hydro",645,"No"
"D","05/30/2022","08:11:39","Natural Gas","Natural Gas",3619,"Yes"
