"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20220907.csv"
"C","Report for 09/07/2022"
"C","Report generated 08/12/2024 16:52:29 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","09/07/2022","00:06:57","Hydro","Hydro",420,"No"
"D","09/07/2022","00:06:57","Natural Gas","Natural Gas",4993,"Yes"
"D","09/07/2022","00:06:57","Nuclear","Nuclear",3319,"No"
"D","09/07/2022","00:06:57","Other","Other",6,"No"
"D","09/07/2022","00:06:57","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:06:57","Refuse","Renewables",245,"No"
"D","09/07/2022","00:06:57","Wind","Renewables",58,"No"
"D","09/07/2022","00:06:57","Wood","Renewables",187,"No"
"D","09/07/2022","00:14:52","Hydro","Hydro",423,"No"
"D","09/07/2022","00:14:52","Natural Gas","Natural Gas",4857,"Yes"
"D","09/07/2022","00:14:52","Nuclear","Nuclear",3319,"No"
"D","09/07/2022","00:14:52","Other","Other",1,"No"
"D","09/07/2022","00:14:52","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:14:52","Refuse","Renewables",247,"No"
"D","09/07/2022","00:14:52","Wind","Renewables",63,"No"
"D","09/07/2022","00:14:52","Wood","Renewables",181,"No"
"D","09/07/2022","00:17:15","Hydro","Hydro",421,"No"
"D","09/07/2022","00:17:15","Natural Gas","Natural Gas",4853,"Yes"
"D","09/07/2022","00:17:15","Nuclear","Nuclear",3321,"No"
"D","09/07/2022","00:17:15","Other","Other",1,"No"
"D","09/07/2022","00:17:15","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:17:15","Refuse","Renewables",246,"No"
"D","09/07/2022","00:17:15","Wind","Renewables",64,"No"
"D","09/07/2022","00:17:15","Wood","Renewables",183,"No"
"D","09/07/2022","00:18:38","Hydro","Hydro",421,"No"
"D","09/07/2022","00:18:38","Natural Gas","Natural Gas",4885,"Yes"
"D","09/07/2022","00:18:38","Nuclear","Nuclear",3321,"No"
"D","09/07/2022","00:18:38","Other","Other",0,"No"
"D","09/07/2022","00:18:38","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:18:38","Refuse","Renewables",246,"No"
"D","09/07/2022","00:18:38","Wind","Renewables",63,"No"
"D","09/07/2022","00:18:38","Wood","Renewables",184,"No"
"D","09/07/2022","00:21:14","Hydro","Hydro",420,"No"
"D","09/07/2022","00:21:14","Natural Gas","Natural Gas",4819,"Yes"
"D","09/07/2022","00:21:14","Nuclear","Nuclear",3321,"No"
"D","09/07/2022","00:21:14","Other","Other",0,"No"
"D","09/07/2022","00:21:14","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:21:14","Refuse","Renewables",247,"No"
"D","09/07/2022","00:21:14","Wind","Renewables",63,"No"
"D","09/07/2022","00:21:14","Wood","Renewables",185,"No"
"D","09/07/2022","00:31:46","Hydro","Hydro",421,"No"
"D","09/07/2022","00:31:46","Natural Gas","Natural Gas",5075,"Yes"
"D","09/07/2022","00:31:46","Nuclear","Nuclear",3319,"No"
"D","09/07/2022","00:31:46","Other","Other",1,"No"
"D","09/07/2022","00:31:46","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:31:46","Refuse","Renewables",236,"No"
"D","09/07/2022","00:31:46","Wind","Renewables",64,"No"
"D","09/07/2022","00:31:46","Wood","Renewables",180,"No"
"D","09/07/2022","00:36:53","Hydro","Hydro",420,"No"
"D","09/07/2022","00:36:53","Natural Gas","Natural Gas",4964,"Yes"
"D","09/07/2022","00:36:53","Nuclear","Nuclear",3317,"No"
"D","09/07/2022","00:36:53","Other","Other",9,"No"
"D","09/07/2022","00:36:53","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:36:53","Refuse","Renewables",241,"No"
"D","09/07/2022","00:36:53","Wind","Renewables",67,"No"
"D","09/07/2022","00:36:53","Wood","Renewables",180,"No"
"D","09/07/2022","00:44:18","Hydro","Hydro",419,"No"
"D","09/07/2022","00:44:18","Natural Gas","Natural Gas",5077,"Yes"
"D","09/07/2022","00:44:18","Nuclear","Nuclear",3320,"No"
"D","09/07/2022","00:44:18","Other","Other",0,"No"
"D","09/07/2022","00:44:18","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:44:18","Refuse","Renewables",241,"No"
"D","09/07/2022","00:44:18","Wind","Renewables",64,"No"
"D","09/07/2022","00:44:18","Wood","Renewables",182,"No"
"D","09/07/2022","00:53:08","Hydro","Hydro",419,"No"
"D","09/07/2022","00:53:08","Natural Gas","Natural Gas",5225,"Yes"
"D","09/07/2022","00:53:08","Nuclear","Nuclear",3319,"No"
"D","09/07/2022","00:53:08","Other","Other",0,"No"
"D","09/07/2022","00:53:08","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","00:53:08","Refuse","Renewables",239,"No"
"D","09/07/2022","00:53:08","Wind","Renewables",66,"No"
"D","09/07/2022","00:53:08","Wood","Renewables",179,"No"
"D","09/07/2022","01:00:30","Hydro","Hydro",420,"No"
"D","09/07/2022","01:00:30","Natural Gas","Natural Gas",5209,"Yes"
"D","09/07/2022","01:00:30","Nuclear","Nuclear",3319,"No"
"D","09/07/2022","01:00:30","Other","Other",0,"No"
"D","09/07/2022","01:00:30","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","01:00:30","Refuse","Renewables",247,"No"
"D","09/07/2022","01:00:30","Wind","Renewables",64,"No"
"D","09/07/2022","01:00:30","Wood","Renewables",177,"No"
"D","09/07/2022","01:01:15","Hydro","Hydro",421,"No"
"D","09/07/2022","01:01:15","Natural Gas","Natural Gas",5206,"Yes"
"D","09/07/2022","01:01:15","Nuclear","Nuclear",3319,"No"
"D","09/07/2022","01:01:15","Other","Other",0,"No"
"D","09/07/2022","01:01:15","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","01:01:15","Refuse","Renewables",246,"No"
"D","09/07/2022","01:01:15","Wind","Renewables",64,"No"
"D","09/07/2022","01:01:15","Wood","Renewables",176,"No"
"D","09/07/2022","01:06:15","Hydro","Hydro",425,"No"
"D","09/07/2022","01:06:15","Natural Gas","Natural Gas",5140,"Yes"
"D","09/07/2022","01:06:15","Nuclear","Nuclear",3318,"No"
"D","09/07/2022","01:06:15","Other","Other",44,"No"
"D","09/07/2022","01:06:15","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","01:06:15","Refuse","Renewables",239,"No"
"D","09/07/2022","01:06:15","Wind","Renewables",63,"No"
"D","09/07/2022","01:06:15","Wood","Renewables",179,"No"
"D","09/07/2022","01:15:32","Hydro","Hydro",422,"No"
"D","09/07/2022","01:15:32","Natural Gas","Natural Gas",5068,"Yes"
"D","09/07/2022","01:15:32","Nuclear","Nuclear",3317,"No"
"D","09/07/2022","01:15:32","Other","Other",2,"No"
"D","09/07/2022","01:15:32","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","01:15:32","Refuse","Renewables",235,"No"
"D","09/07/2022","01:15:32","Wind","Renewables",68,"No"
"D","09/07/2022","01:15:32","Wood","Renewables",178,"No"
"D","09/07/2022","01:24:15","Hydro","Hydro",421,"No"
"D","09/07/2022","01:24:15","Natural Gas","Natural Gas",5071,"Yes"
"D","09/07/2022","01:24:15","Nuclear","Nuclear",3320,"No"
"D","09/07/2022","01:24:15","Other","Other",0,"No"
"D","09/07/2022","01:24:15","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","01:24:15","Refuse","Renewables",242,"No"
"D","09/07/2022","01:24:15","Wind","Renewables",68,"No"
"D","09/07/2022","01:24:15","Wood","Renewables",177,"No"
"D","09/07/2022","01:33:14","Hydro","Hydro",421,"No"
"D","09/07/2022","01:33:14","Natural Gas","Natural Gas",4941,"Yes"
"D","09/07/2022","01:33:14","Nuclear","Nuclear",3319,"No"
"D","09/07/2022","01:33:14","Other","Other",2,"No"
"D","09/07/2022","01:33:14","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","01:33:14","Refuse","Renewables",241,"No"
"D","09/07/2022","01:33:14","Wind","Renewables",68,"No"
"D","09/07/2022","01:33:14","Wood","Renewables",178,"No"
"D","09/07/2022","01:36:41","Hydro","Hydro",420,"No"
"D","09/07/2022","01:36:41","Natural Gas","Natural Gas",4937,"Yes"
"D","09/07/2022","01:36:41","Nuclear","Nuclear",3317,"No"
"D","09/07/2022","01:36:41","Other","Other",0,"No"
"D","09/07/2022","01:36:41","Landfill Gas","Renewables",5,"No"
"D","09/07/2022","01:36:41","Refuse","Renewables",239,"No"
"D","09/07/2022","01:36:41","Wind","Renewables",66,"No"
"D","09/07/2022","01:36:41","Wood","Renewables",178,"No"
"D","09/07/2022","01:44:57","Hydro","Hydro",419,"No"
