"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20221103.csv"
"C","Report for 11/03/2022"
"C","Report generated 08/12/2024 16:57:26 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","11/03/2022","00:02:42","Hydro","Hydro",520,"No"
"D","11/03/2022","00:02:42","Natural Gas","Natural Gas",4618,"Yes"
"D","11/03/2022","00:02:42","Nuclear","Nuclear",3358,"No"
"D","11/03/2022","00:02:42","Other","Other",2,"No"
"D","11/03/2022","00:02:42","Landfill Gas","Renewables",31,"No"
"D","11/03/2022","00:02:42","Refuse","Renewables",292,"No"
"D","11/03/2022","00:02:42","Wind","Renewables",202,"No"
"D","11/03/2022","00:02:42","Wood","Renewables",186,"No"
"D","11/03/2022","00:07:57","Hydro","Hydro",519,"No"
"D","11/03/2022","00:07:57","Natural Gas","Natural Gas",4594,"Yes"
"D","11/03/2022","00:07:57","Nuclear","Nuclear",3357,"No"
"D","11/03/2022","00:07:57","Landfill Gas","Renewables",31,"No"
"D","11/03/2022","00:07:57","Refuse","Renewables",295,"No"
"D","11/03/2022","00:07:57","Wind","Renewables",198,"No"
"D","11/03/2022","00:07:57","Wood","Renewables",186,"No"
"D","11/03/2022","00:17:05","Hydro","Hydro",519,"No"
"D","11/03/2022","00:17:05","Natural Gas","Natural Gas",4594,"Yes"
"D","11/03/2022","00:17:05","Nuclear","Nuclear",3357,"No"
"D","11/03/2022","00:17:05","Landfill Gas","Renewables",31,"No"
"D","11/03/2022","00:17:05","Refuse","Renewables",295,"No"
"D","11/03/2022","00:17:05","Wind","Renewables",198,"No"
"D","11/03/2022","00:17:05","Wood","Renewables",186,"No"
"D","11/03/2022","00:20:03","Hydro","Hydro",508,"No"
"D","11/03/2022","00:20:03","Natural Gas","Natural Gas",4597,"Yes"
"D","11/03/2022","00:20:03","Nuclear","Nuclear",3360,"No"
"D","11/03/2022","00:20:03","Landfill Gas","Renewables",31,"No"
