"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20221028.csv"
"C","Report for 10/28/2022"
"C","Report generated 08/12/2024 16:56:55 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","10/28/2022","00:08:51","Hydro","Hydro",513,"No"
"D","10/28/2022","00:08:51","Natural Gas","Natural Gas",3809,"Yes"
"D","10/28/2022","00:08:51","Nuclear","Nuclear",3357,"No"
"D","10/28/2022","00:08:51","Landfill Gas","Renewables",32,"No"
"D","10/28/2022","00:08:51","Refuse","Renewables",298,"No"
"D","10/28/2022","00:08:51","Wind","Renewables",680,"No"
"D","10/28/2022","00:08:51","Wood","Renewables",124,"No"
"D","10/28/2022","00:08:54","Hydro","Hydro",513,"No"
"D","10/28/2022","00:08:54","Natural Gas","Natural Gas",3809,"Yes"
"D","10/28/2022","00:08:54","Nuclear","Nuclear",3357,"No"
"D","10/28/2022","00:08:54","Landfill Gas","Renewables",32,"No"
"D","10/28/2022","00:08:54","Refuse","Renewables",298,"No"
"D","10/28/2022","00:08:54","Wind","Renewables",680,"No"
"D","10/28/2022","00:08:54","Wood","Renewables",124,"No"
"D","10/28/2022","00:16:43","Hydro","Hydro",513,"No"
"D","10/28/2022","00:16:43","Natural Gas","Natural Gas",3611,"Yes"
"D","10/28/2022","00:16:43","Nuclear","Nuclear",3357,"No"
"D","10/28/2022","00:16:43","Other","Other",2,"No"
"D","10/28/2022","00:16:43","Landfill Gas","Renewables",32,"No"
"D","10/28/2022","00:16:43","Refuse","Renewables",301,"No"
"D","10/28/2022","00:16:43","Wind","Renewables",703,"No"
"D","10/28/2022","00:16:43","Wood","Renewables",126,"No"
"D","10/28/2022","00:27:52","Hydro","Hydro",514,"No"
"D","10/28/2022","00:27:52","Natural Gas","Natural Gas",3563,"Yes"
"D","10/28/2022","00:27:52","Nuclear","Nuclear",3358,"No"
"D","10/28/2022","00:27:52","Other","Other",3,"No"
"D","10/28/2022","00:27:52","Landfill Gas","Renewables",31,"No"
"D","10/28/2022","00:27:52","Refuse","Renewables",298,"No"
"D","10/28/2022","00:27:52","Wind","Renewables",703,"No"
"D","10/28/2022","00:27:52","Wood","Renewables",127,"No"
"D","10/28/2022","00:38:11","Hydro","Hydro",516,"No"
"D","10/28/2022","00:38:11","Natural Gas","Natural Gas",3409,"Yes"
"D","10/28/2022","00:38:11","Nuclear","Nuclear",3357,"No"
"D","10/28/2022","00:38:11","Landfill Gas","Renewables",32,"No"
"D","10/28/2022","00:38:11","Refuse","Renewables",294,"No"
"D","10/28/2022","00:38:11","Wind","Renewables",700,"No"
