"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20231111.csv"
"C","Report for 11/11/2023"
"C","Report generated 08/12/2024 17:29:56 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","11/11/2023","00:08:40","Coal","Coal",5,"No"
"D","11/11/2023","00:08:40","Hydro","Hydro",628,"No"
"D","11/11/2023","00:08:40","Natural Gas","Natural Gas",6159,"Yes"
"D","11/11/2023","00:08:40","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:08:40","Other","Other",1,"No"
"D","11/11/2023","00:08:40","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:08:40","Refuse","Renewables",335,"No"
"D","11/11/2023","00:08:40","Solar","Renewables",1,"No"
"D","11/11/2023","00:08:40","Wind","Renewables",548,"No"
"D","11/11/2023","00:08:40","Wood","Renewables",256,"No"
"D","11/11/2023","00:09:51","Coal","Coal",4,"No"
"D","11/11/2023","00:09:51","Hydro","Hydro",627,"No"
"D","11/11/2023","00:09:51","Natural Gas","Natural Gas",6230,"Yes"
"D","11/11/2023","00:09:51","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:09:51","Other","Other",0,"No"
"D","11/11/2023","00:09:51","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:09:51","Refuse","Renewables",334,"No"
"D","11/11/2023","00:09:51","Solar","Renewables",1,"No"
"D","11/11/2023","00:09:51","Wind","Renewables",587,"No"
"D","11/11/2023","00:09:51","Wood","Renewables",255,"No"
"D","11/11/2023","00:20:52","Coal","Coal",2,"No"
"D","11/11/2023","00:20:52","Hydro","Hydro",625,"No"
"D","11/11/2023","00:20:52","Natural Gas","Natural Gas",5950,"Yes"
"D","11/11/2023","00:20:52","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:20:52","Other","Other",0,"No"
"D","11/11/2023","00:20:52","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:20:52","Refuse","Renewables",336,"No"
"D","11/11/2023","00:20:52","Solar","Renewables",1,"No"
"D","11/11/2023","00:20:52","Wind","Renewables",618,"No"
"D","11/11/2023","00:20:52","Wood","Renewables",257,"No"
"D","11/11/2023","00:26:42","Hydro","Hydro",624,"No"
"D","11/11/2023","00:26:42","Natural Gas","Natural Gas",5801,"Yes"
"D","11/11/2023","00:26:42","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:26:42","Other","Other",4,"No"
"D","11/11/2023","00:26:42","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:26:42","Refuse","Renewables",336,"No"
"D","11/11/2023","00:26:42","Solar","Renewables",1,"No"
"D","11/11/2023","00:26:42","Wind","Renewables",632,"No"
"D","11/11/2023","00:26:42","Wood","Renewables",255,"No"
"D","11/11/2023","00:37:52","Coal","Coal",3,"No"
"D","11/11/2023","00:37:52","Hydro","Hydro",623,"No"
"D","11/11/2023","00:37:52","Natural Gas","Natural Gas",5751,"Yes"
"D","11/11/2023","00:37:52","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:37:52","Other","Other",0,"No"
"D","11/11/2023","00:37:52","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:37:52","Refuse","Renewables",327,"No"
"D","11/11/2023","00:37:52","Solar","Renewables",1,"No"
"D","11/11/2023","00:37:52","Wind","Renewables",653,"No"
"D","11/11/2023","00:37:52","Wood","Renewables",255,"No"
"D","11/11/2023","00:46:12","Coal","Coal",4,"No"
"D","11/11/2023","00:46:12","Hydro","Hydro",627,"No"
"D","11/11/2023","00:46:12","Natural Gas","Natural Gas",5665,"Yes"
"D","11/11/2023","00:46:12","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:46:12","Other","Other",18,"No"
"D","11/11/2023","00:46:12","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:46:12","Refuse","Renewables",333,"No"
"D","11/11/2023","00:46:12","Solar","Renewables",1,"No"
"D","11/11/2023","00:46:12","Wind","Renewables",628,"No"
"D","11/11/2023","00:46:12","Wood","Renewables",257,"No"
"D","11/11/2023","00:58:36","Coal","Coal",2,"No"
"D","11/11/2023","00:58:36","Hydro","Hydro",624,"No"
"D","11/11/2023","00:58:36","Natural Gas","Natural Gas",5653,"Yes"
"D","11/11/2023","00:58:36","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:58:36","Other","Other",0,"No"
"D","11/11/2023","00:58:36","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:58:36","Refuse","Renewables",332,"No"
"D","11/11/2023","00:58:36","Solar","Renewables",1,"No"
"D","11/11/2023","00:58:36","Wind","Renewables",624,"No"
"D","11/11/2023","00:58:36","Wood","Renewables",254,"No"
"D","11/11/2023","00:58:52","Coal","Coal",2,"No"
"D","11/11/2023","00:58:52","Hydro","Hydro",624,"No"
"D","11/11/2023","00:58:52","Natural Gas","Natural Gas",5653,"Yes"
"D","11/11/2023","00:58:52","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","00:58:52","Other","Other",0,"No"
"D","11/11/2023","00:58:52","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","00:58:52","Refuse","Renewables",332,"No"
"D","11/11/2023","00:58:52","Solar","Renewables",1,"No"
"D","11/11/2023","00:58:52","Wind","Renewables",624,"No"
"D","11/11/2023","00:58:52","Wood","Renewables",254,"No"
"D","11/11/2023","01:07:03","Coal","Coal",3,"No"
"D","11/11/2023","01:07:03","Hydro","Hydro",626,"No"
"D","11/11/2023","01:07:03","Natural Gas","Natural Gas",5931,"Yes"
"D","11/11/2023","01:07:03","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","01:07:03","Other","Other",0,"No"
"D","11/11/2023","01:07:03","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","01:07:03","Refuse","Renewables",325,"No"
"D","11/11/2023","01:07:03","Solar","Renewables",1,"No"
"D","11/11/2023","01:07:03","Wind","Renewables",696,"Yes"
"D","11/11/2023","01:07:03","Wood","Renewables",257,"No"
"D","11/11/2023","01:13:28","Coal","Coal",2,"No"
"D","11/11/2023","01:13:28","Hydro","Hydro",625,"No"
"D","11/11/2023","01:13:28","Natural Gas","Natural Gas",5866,"Yes"
"D","11/11/2023","01:13:28","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","01:13:28","Other","Other",3,"No"
"D","11/11/2023","01:13:28","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","01:13:28","Refuse","Renewables",328,"No"
"D","11/11/2023","01:13:28","Solar","Renewables",1,"No"
"D","11/11/2023","01:13:28","Wind","Renewables",704,"Yes"
"D","11/11/2023","01:13:28","Wood","Renewables",258,"No"
"D","11/11/2023","01:23:12","Coal","Coal",2,"No"
"D","11/11/2023","01:23:12","Hydro","Hydro",624,"No"
"D","11/11/2023","01:23:12","Natural Gas","Natural Gas",5824,"Yes"
"D","11/11/2023","01:23:12","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","01:23:12","Other","Other",0,"No"
"D","11/11/2023","01:23:12","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","01:23:12","Refuse","Renewables",320,"No"
"D","11/11/2023","01:23:12","Solar","Renewables",1,"No"
"D","11/11/2023","01:23:12","Wind","Renewables",739,"Yes"
"D","11/11/2023","01:23:12","Wood","Renewables",256,"No"
"D","11/11/2023","01:27:13","Hydro","Hydro",622,"No"
"D","11/11/2023","01:27:13","Natural Gas","Natural Gas",5796,"Yes"
"D","11/11/2023","01:27:13","Nuclear","Nuclear",2120,"No"
"D","11/11/2023","01:27:13","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","01:27:13","Refuse","Renewables",327,"No"
"D","11/11/2023","01:27:13","Solar","Renewables",1,"No"
"D","11/11/2023","01:27:13","Wind","Renewables",734,"Yes"
"D","11/11/2023","01:27:13","Wood","Renewables",254,"No"
"D","11/11/2023","01:37:18","Hydro","Hydro",623,"No"
"D","11/11/2023","01:37:18","Natural Gas","Natural Gas",5709,"Yes"
"D","11/11/2023","01:37:18","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","01:37:18","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","01:37:18","Refuse","Renewables",323,"No"
"D","11/11/2023","01:37:18","Solar","Renewables",1,"No"
"D","11/11/2023","01:37:18","Wind","Renewables",779,"No"
"D","11/11/2023","01:37:18","Wood","Renewables",253,"No"
"D","11/11/2023","01:45:13","Coal","Coal",3,"No"
"D","11/11/2023","01:45:13","Hydro","Hydro",625,"No"
"D","11/11/2023","01:45:13","Natural Gas","Natural Gas",5665,"Yes"
"D","11/11/2023","01:45:13","Nuclear","Nuclear",2123,"No"
"D","11/11/2023","01:45:13","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","01:45:13","Refuse","Renewables",327,"No"
"D","11/11/2023","01:45:13","Solar","Renewables",1,"No"
"D","11/11/2023","01:45:13","Wind","Renewables",768,"No"
"D","11/11/2023","01:45:13","Wood","Renewables",257,"No"
"D","11/11/2023","01:55:53","Hydro","Hydro",625,"No"
"D","11/11/2023","01:55:53","Natural Gas","Natural Gas",5617,"Yes"
"D","11/11/2023","01:55:53","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","01:55:53","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","01:55:53","Refuse","Renewables",322,"No"
"D","11/11/2023","01:55:53","Solar","Renewables",1,"No"
"D","11/11/2023","01:55:53","Wind","Renewables",784,"No"
"D","11/11/2023","01:55:53","Wood","Renewables",253,"No"
"D","11/11/2023","02:00:54","Hydro","Hydro",624,"No"
"D","11/11/2023","02:00:54","Natural Gas","Natural Gas",5696,"Yes"
"D","11/11/2023","02:00:54","Nuclear","Nuclear",2120,"No"
"D","11/11/2023","02:00:54","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","02:00:54","Refuse","Renewables",325,"No"
"D","11/11/2023","02:00:54","Solar","Renewables",1,"No"
"D","11/11/2023","02:00:54","Wind","Renewables",791,"No"
"D","11/11/2023","02:00:54","Wood","Renewables",254,"No"
"D","11/11/2023","02:06:18","Hydro","Hydro",625,"No"
"D","11/11/2023","02:06:18","Natural Gas","Natural Gas",5610,"Yes"
"D","11/11/2023","02:06:18","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","02:06:18","Other","Other",1,"No"
"D","11/11/2023","02:06:18","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","02:06:18","Refuse","Renewables",330,"No"
"D","11/11/2023","02:06:18","Solar","Renewables",1,"No"
"D","11/11/2023","02:06:18","Wind","Renewables",790,"No"
"D","11/11/2023","02:06:18","Wood","Renewables",256,"No"
"D","11/11/2023","02:16:54","Coal","Coal",2,"No"
"D","11/11/2023","02:16:54","Hydro","Hydro",626,"No"
"D","11/11/2023","02:16:54","Natural Gas","Natural Gas",5546,"Yes"
"D","11/11/2023","02:16:54","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","02:16:54","Other","Other",15,"No"
"D","11/11/2023","02:16:54","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","02:16:54","Refuse","Renewables",332,"No"
"D","11/11/2023","02:16:54","Solar","Renewables",1,"No"
"D","11/11/2023","02:16:54","Wind","Renewables",808,"Yes"
"D","11/11/2023","02:16:54","Wood","Renewables",258,"No"
"D","11/11/2023","02:23:06","Coal","Coal",7,"No"
"D","11/11/2023","02:23:06","Hydro","Hydro",625,"No"
"D","11/11/2023","02:23:06","Natural Gas","Natural Gas",5515,"Yes"
"D","11/11/2023","02:23:06","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","02:23:06","Landfill Gas","Renewables",36,"No"
"D","11/11/2023","02:23:06","Refuse","Renewables",332,"No"
"D","11/11/2023","02:23:06","Solar","Renewables",1,"No"
"D","11/11/2023","02:23:06","Wind","Renewables",811,"Yes"
"D","11/11/2023","02:23:06","Wood","Renewables",258,"No"
"D","11/11/2023","02:30:32","Hydro","Hydro",622,"No"
"D","11/11/2023","02:30:32","Natural Gas","Natural Gas",5484,"Yes"
"D","11/11/2023","02:30:32","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","02:30:32","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","02:30:32","Refuse","Renewables",334,"No"
"D","11/11/2023","02:30:32","Solar","Renewables",1,"No"
"D","11/11/2023","02:30:32","Wind","Renewables",826,"Yes"
"D","11/11/2023","02:30:32","Wood","Renewables",256,"No"
"D","11/11/2023","02:37:19","Hydro","Hydro",624,"No"
"D","11/11/2023","02:37:19","Natural Gas","Natural Gas",5449,"Yes"
"D","11/11/2023","02:37:19","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","02:37:19","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","02:37:19","Refuse","Renewables",324,"No"
"D","11/11/2023","02:37:19","Solar","Renewables",1,"No"
"D","11/11/2023","02:37:19","Wind","Renewables",857,"Yes"
"D","11/11/2023","02:37:19","Wood","Renewables",256,"No"
"D","11/11/2023","02:47:51","Coal","Coal",3,"No"
"D","11/11/2023","02:47:51","Hydro","Hydro",625,"No"
"D","11/11/2023","02:47:51","Natural Gas","Natural Gas",5399,"Yes"
"D","11/11/2023","02:47:51","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","02:47:51","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","02:47:51","Refuse","Renewables",328,"No"
"D","11/11/2023","02:47:51","Solar","Renewables",1,"No"
"D","11/11/2023","02:47:51","Wind","Renewables",883,"No"
"D","11/11/2023","02:47:51","Wood","Renewables",257,"No"
"D","11/11/2023","02:54:08","Coal","Coal",4,"No"
"D","11/11/2023","02:54:08","Hydro","Hydro",627,"No"
"D","11/11/2023","02:54:08","Natural Gas","Natural Gas",5483,"Yes"
"D","11/11/2023","02:54:08","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","02:54:08","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","02:54:08","Refuse","Renewables",326,"No"
"D","11/11/2023","02:54:08","Solar","Renewables",1,"No"
"D","11/11/2023","02:54:08","Wind","Renewables",901,"No"
"D","11/11/2023","02:54:08","Wood","Renewables",257,"No"
"D","11/11/2023","03:03:44","Coal","Coal",4,"No"
"D","11/11/2023","03:03:44","Hydro","Hydro",626,"No"
"D","11/11/2023","03:03:44","Natural Gas","Natural Gas",5444,"Yes"
"D","11/11/2023","03:03:44","Nuclear","Nuclear",2120,"No"
"D","11/11/2023","03:03:44","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:03:44","Refuse","Renewables",312,"No"
"D","11/11/2023","03:03:44","Solar","Renewables",1,"No"
"D","11/11/2023","03:03:44","Wind","Renewables",888,"No"
"D","11/11/2023","03:03:44","Wood","Renewables",257,"No"
"D","11/11/2023","03:10:45","Coal","Coal",4,"No"
"D","11/11/2023","03:10:45","Hydro","Hydro",625,"No"
"D","11/11/2023","03:10:45","Natural Gas","Natural Gas",5362,"Yes"
"D","11/11/2023","03:10:45","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","03:10:45","Other","Other",0,"No"
"D","11/11/2023","03:10:45","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:10:45","Refuse","Renewables",316,"No"
"D","11/11/2023","03:10:45","Solar","Renewables",1,"No"
"D","11/11/2023","03:10:45","Wind","Renewables",913,"No"
"D","11/11/2023","03:10:45","Wood","Renewables",256,"No"
"D","11/11/2023","03:19:08","Coal","Coal",2,"No"
"D","11/11/2023","03:19:08","Hydro","Hydro",624,"No"
"D","11/11/2023","03:19:08","Natural Gas","Natural Gas",5404,"Yes"
"D","11/11/2023","03:19:08","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","03:19:08","Other","Other",0,"No"
"D","11/11/2023","03:19:08","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:19:08","Refuse","Renewables",314,"No"
"D","11/11/2023","03:19:08","Solar","Renewables",1,"No"
"D","11/11/2023","03:19:08","Wind","Renewables",903,"No"
"D","11/11/2023","03:19:08","Wood","Renewables",253,"No"
"D","11/11/2023","03:26:46","Coal","Coal",4,"No"
"D","11/11/2023","03:26:46","Hydro","Hydro",626,"No"
"D","11/11/2023","03:26:46","Natural Gas","Natural Gas",5477,"Yes"
"D","11/11/2023","03:26:46","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","03:26:46","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:26:46","Refuse","Renewables",318,"No"
"D","11/11/2023","03:26:46","Solar","Renewables",1,"No"
"D","11/11/2023","03:26:46","Wind","Renewables",924,"No"
"D","11/11/2023","03:26:46","Wood","Renewables",253,"No"
"D","11/11/2023","03:37:03","Coal","Coal",2,"No"
"D","11/11/2023","03:37:03","Hydro","Hydro",624,"No"
"D","11/11/2023","03:37:03","Natural Gas","Natural Gas",5496,"Yes"
"D","11/11/2023","03:37:03","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","03:37:03","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:37:03","Refuse","Renewables",314,"No"
"D","11/11/2023","03:37:03","Solar","Renewables",1,"No"
"D","11/11/2023","03:37:03","Wind","Renewables",935,"No"
"D","11/11/2023","03:37:03","Wood","Renewables",258,"No"
"D","11/11/2023","03:47:59","Hydro","Hydro",627,"No"
"D","11/11/2023","03:47:59","Natural Gas","Natural Gas",5549,"Yes"
"D","11/11/2023","03:47:59","Nuclear","Nuclear",2120,"No"
"D","11/11/2023","03:47:59","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:47:59","Refuse","Renewables",316,"No"
"D","11/11/2023","03:47:59","Solar","Renewables",1,"No"
"D","11/11/2023","03:47:59","Wind","Renewables",925,"No"
"D","11/11/2023","03:47:59","Wood","Renewables",256,"No"
"D","11/11/2023","03:48:02","Hydro","Hydro",625,"No"
"D","11/11/2023","03:48:02","Natural Gas","Natural Gas",5558,"Yes"
"D","11/11/2023","03:48:02","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","03:48:02","Other","Other",0,"No"
"D","11/11/2023","03:48:02","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:48:02","Refuse","Renewables",310,"No"
"D","11/11/2023","03:48:02","Solar","Renewables",1,"No"
"D","11/11/2023","03:48:02","Wind","Renewables",914,"No"
"D","11/11/2023","03:48:02","Wood","Renewables",254,"No"
"D","11/11/2023","03:57:07","Coal","Coal",1,"No"
"D","11/11/2023","03:57:07","Hydro","Hydro",623,"No"
"D","11/11/2023","03:57:07","Natural Gas","Natural Gas",5550,"Yes"
"D","11/11/2023","03:57:07","Nuclear","Nuclear",2120,"No"
"D","11/11/2023","03:57:07","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","03:57:07","Refuse","Renewables",311,"No"
"D","11/11/2023","03:57:07","Solar","Renewables",1,"No"
"D","11/11/2023","03:57:07","Wind","Renewables",920,"No"
"D","11/11/2023","03:57:07","Wood","Renewables",256,"No"
"D","11/11/2023","04:07:10","Coal","Coal",2,"No"
"D","11/11/2023","04:07:10","Hydro","Hydro",625,"No"
"D","11/11/2023","04:07:10","Natural Gas","Natural Gas",5435,"Yes"
"D","11/11/2023","04:07:10","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","04:07:10","Landfill Gas","Renewables",36,"No"
"D","11/11/2023","04:07:10","Refuse","Renewables",319,"No"
"D","11/11/2023","04:07:10","Solar","Renewables",1,"No"
"D","11/11/2023","04:07:10","Wind","Renewables",910,"No"
"D","11/11/2023","04:07:10","Wood","Renewables",254,"No"
"D","11/11/2023","04:12:48","Hydro","Hydro",625,"No"
"D","11/11/2023","04:12:48","Natural Gas","Natural Gas",5422,"Yes"
"D","11/11/2023","04:12:48","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","04:12:48","Other","Other",1,"No"
"D","11/11/2023","04:12:48","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","04:12:48","Refuse","Renewables",321,"No"
"D","11/11/2023","04:12:48","Solar","Renewables",1,"No"
"D","11/11/2023","04:12:48","Wind","Renewables",906,"No"
"D","11/11/2023","04:12:48","Wood","Renewables",257,"No"
"D","11/11/2023","04:22:30","Hydro","Hydro",623,"No"
"D","11/11/2023","04:22:30","Natural Gas","Natural Gas",5441,"Yes"
"D","11/11/2023","04:22:30","Nuclear","Nuclear",2120,"No"
"D","11/11/2023","04:22:30","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","04:22:30","Refuse","Renewables",319,"No"
"D","11/11/2023","04:22:30","Solar","Renewables",1,"No"
"D","11/11/2023","04:22:30","Wind","Renewables",903,"No"
"D","11/11/2023","04:22:30","Wood","Renewables",256,"No"
"D","11/11/2023","04:32:55","Coal","Coal",1,"No"
"D","11/11/2023","04:32:55","Hydro","Hydro",621,"No"
"D","11/11/2023","04:32:55","Natural Gas","Natural Gas",5551,"Yes"
"D","11/11/2023","04:32:55","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","04:32:55","Other","Other",2,"No"
"D","11/11/2023","04:32:55","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","04:32:55","Refuse","Renewables",321,"No"
"D","11/11/2023","04:32:55","Solar","Renewables",1,"No"
"D","11/11/2023","04:32:55","Wind","Renewables",896,"No"
"D","11/11/2023","04:32:55","Wood","Renewables",255,"No"
"D","11/11/2023","04:43:32","Hydro","Hydro",623,"No"
"D","11/11/2023","04:43:32","Natural Gas","Natural Gas",5552,"Yes"
"D","11/11/2023","04:43:32","Nuclear","Nuclear",2123,"No"
"D","11/11/2023","04:43:32","Other","Other",7,"No"
"D","11/11/2023","04:43:32","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","04:43:32","Refuse","Renewables",324,"No"
"D","11/11/2023","04:43:32","Solar","Renewables",1,"No"
"D","11/11/2023","04:43:32","Wind","Renewables",901,"No"
"D","11/11/2023","04:43:32","Wood","Renewables",255,"No"
"D","11/11/2023","04:53:16","Hydro","Hydro",624,"No"
"D","11/11/2023","04:53:16","Natural Gas","Natural Gas",5672,"Yes"
"D","11/11/2023","04:53:16","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","04:53:16","Other","Other",2,"No"
"D","11/11/2023","04:53:16","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","04:53:16","Refuse","Renewables",321,"No"
"D","11/11/2023","04:53:16","Solar","Renewables",1,"No"
"D","11/11/2023","04:53:16","Wind","Renewables",893,"No"
"D","11/11/2023","04:53:16","Wood","Renewables",255,"No"
"D","11/11/2023","04:57:30","Hydro","Hydro",622,"No"
"D","11/11/2023","04:57:30","Natural Gas","Natural Gas",5664,"Yes"
"D","11/11/2023","04:57:30","Nuclear","Nuclear",2122,"No"
"D","11/11/2023","04:57:30","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","04:57:30","Refuse","Renewables",321,"No"
"D","11/11/2023","04:57:30","Solar","Renewables",1,"No"
"D","11/11/2023","04:57:30","Wind","Renewables",896,"No"
"D","11/11/2023","04:57:30","Wood","Renewables",255,"No"
"D","11/11/2023","05:00:13","Coal","Coal",0,"No"
"D","11/11/2023","05:00:13","Hydro","Hydro",622,"No"
"D","11/11/2023","05:00:13","Natural Gas","Natural Gas",5502,"Yes"
"D","11/11/2023","05:00:13","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","05:00:13","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","05:00:13","Refuse","Renewables",320,"No"
"D","11/11/2023","05:00:13","Solar","Renewables",1,"No"
"D","11/11/2023","05:00:13","Wind","Renewables",914,"No"
"D","11/11/2023","05:00:13","Wood","Renewables",253,"No"
"D","11/11/2023","05:07:06","Hydro","Hydro",626,"No"
"D","11/11/2023","05:07:06","Natural Gas","Natural Gas",5470,"Yes"
"D","11/11/2023","05:07:06","Nuclear","Nuclear",2121,"No"
"D","11/11/2023","05:07:06","Other","Other",27,"No"
"D","11/11/2023","05:07:06","Landfill Gas","Renewables",35,"No"
"D","11/11/2023","05:07:06","Refuse","Renewables",321,"No"
"D","11/11/2023","05:07:06","Solar","Renewables",1,"No"
"D","11/11/2023","05:07:06","Wind","Renewables",904,"No"
"D","11/11/2023","05:07:06","Wood","Renewables",257,"No"
"D","11/11/2023","05:15:04","Hydro","Hydro",627,"No"
"D","11/11/2023","05:15:04","Natural Gas","Natural Gas",5744,"Yes"
"D","11/11/2023","05:15:04","Nuclear","Nuclear",2120,"No"
"D","11/11/2023","05:15:04","Landfill Gas","Renewables",36,"No"
"D","11/11/2023","05:15:04","Refuse","Renewables",315,"No"
"D","11/11/2023","05:15:04","Solar","Renewables",1,"No"
"D","11/11/2023","05:15:04","Wind","Renewables",903,"No"
"D","11/11/2023","05:15:04","Wood","Renewables",255,"No"
"D","11/11/2023","05:25:55","Hydro","Hydro",625,"No"
