"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20230927.csv"
"C","Report for 09/27/2023"
"C","Report generated 08/12/2024 17:26:01 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","09/27/2023","00:00:14","Hydro","Hydro",626,"No"
"D","09/27/2023","00:00:14","Natural Gas","Natural Gas",5934,"Yes"
"D","09/27/2023","00:00:14","Nuclear","Nuclear",3040,"No"
"D","09/27/2023","00:00:14","Other","Other",26,"No"
"D","09/27/2023","00:00:14","Landfill Gas","Renewables",29,"No"
"D","09/27/2023","00:00:14","Refuse","Renewables",261,"No"
"D","09/27/2023","00:00:14","Solar","Renewables",1,"No"
"D","09/27/2023","00:00:14","Wind","Renewables",177,"No"
"D","09/27/2023","00:00:14","Wood","Renewables",144,"No"
"D","09/27/2023","00:05:14","Hydro","Hydro",656,"No"
"D","09/27/2023","00:05:14","Natural Gas","Natural Gas",6010,"Yes"
"D","09/27/2023","00:05:14","Nuclear","Nuclear",3043,"No"
"D","09/27/2023","00:05:14","Other","Other",1,"No"
"D","09/27/2023","00:05:14","Landfill Gas","Renewables",29,"No"
"D","09/27/2023","00:05:14","Refuse","Renewables",265,"No"
"D","09/27/2023","00:05:14","Solar","Renewables",1,"No"
"D","09/27/2023","00:05:14","Wind","Renewables",175,"No"
"D","09/27/2023","00:05:14","Wood","Renewables",144,"No"
"D","09/27/2023","00:09:26","Hydro","Hydro",656,"No"
"D","09/27/2023","00:09:26","Natural Gas","Natural Gas",6006,"Yes"
"D","09/27/2023","00:09:26","Nuclear","Nuclear",3037,"No"
"D","09/27/2023","00:09:26","Other","Other",0,"No"
"D","09/27/2023","00:09:26","Landfill Gas","Renewables",29,"No"
"D","09/27/2023","00:09:26","Refuse","Renewables",259,"No"
"D","09/27/2023","00:09:26","Solar","Renewables",1,"No"
"D","09/27/2023","00:09:26","Wind","Renewables",174,"No"
"D","09/27/2023","00:09:26","Wood","Renewables",145,"No"
"D","09/27/2023","00:14:40","Hydro","Hydro",655,"No"
