"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20220327.csv"
"C","Report for 03/27/2022"
"C","Report generated 08/12/2024 16:38:13 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","03/27/2022","00:10:03","Coal","Coal",1,"No"
"D","03/27/2022","00:10:03","Hydro","Hydro",850,"No"
"D","03/27/2022","00:10:03","Natural Gas","Natural Gas",3907,"Yes"
"D","03/27/2022","00:10:03","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","00:10:03","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","00:10:03","Refuse","Renewables",350,"No"
"D","03/27/2022","00:10:03","Wind","Renewables",189,"No"
"D","03/27/2022","00:10:03","Wood","Renewables",234,"No"
"D","03/27/2022","00:22:40","Hydro","Hydro",849,"No"
"D","03/27/2022","00:22:40","Natural Gas","Natural Gas",3735,"Yes"
"D","03/27/2022","00:22:40","Nuclear","Nuclear",3352,"No"
"D","03/27/2022","00:22:40","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","00:22:40","Refuse","Renewables",336,"No"
"D","03/27/2022","00:22:40","Wind","Renewables",189,"No"
"D","03/27/2022","00:22:40","Wood","Renewables",234,"No"
"D","03/27/2022","00:41:56","Hydro","Hydro",849,"No"
"D","03/27/2022","00:41:56","Natural Gas","Natural Gas",3539,"Yes"
"D","03/27/2022","00:41:56","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","00:41:56","Other","Other",0,"No"
"D","03/27/2022","00:41:56","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","00:41:56","Refuse","Renewables",347,"No"
"D","03/27/2022","00:41:56","Wind","Renewables",214,"No"
"D","03/27/2022","00:41:56","Wood","Renewables",230,"No"
"D","03/27/2022","00:55:52","Coal","Coal",0,"No"
"D","03/27/2022","00:55:52","Hydro","Hydro",849,"No"
"D","03/27/2022","00:55:52","Natural Gas","Natural Gas",3620,"Yes"
"D","03/27/2022","00:55:52","Nuclear","Nuclear",3350,"No"
"D","03/27/2022","00:55:52","Other","Other",40,"No"
"D","03/27/2022","00:55:52","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","00:55:52","Refuse","Renewables",350,"No"
"D","03/27/2022","00:55:52","Wind","Renewables",229,"No"
"D","03/27/2022","00:55:52","Wood","Renewables",226,"No"
"D","03/27/2022","01:03:13","Coal","Coal",2,"No"
"D","03/27/2022","01:03:13","Hydro","Hydro",849,"No"
"D","03/27/2022","01:03:13","Natural Gas","Natural Gas",3516,"Yes"
"D","03/27/2022","01:03:13","Nuclear","Nuclear",3352,"No"
"D","03/27/2022","01:03:13","Other","Other",6,"No"
"D","03/27/2022","01:03:13","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","01:03:13","Refuse","Renewables",352,"No"
"D","03/27/2022","01:03:13","Wind","Renewables",235,"No"
"D","03/27/2022","01:03:13","Wood","Renewables",227,"No"
"D","03/27/2022","01:17:40","Coal","Coal",0,"No"
"D","03/27/2022","01:17:40","Hydro","Hydro",846,"No"
"D","03/27/2022","01:17:40","Natural Gas","Natural Gas",3715,"Yes"
"D","03/27/2022","01:17:40","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","01:17:40","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","01:17:40","Refuse","Renewables",345,"No"
"D","03/27/2022","01:17:40","Wind","Renewables",227,"No"
"D","03/27/2022","01:17:40","Wood","Renewables",226,"No"
"D","03/27/2022","01:31:38","Hydro","Hydro",847,"No"
"D","03/27/2022","01:31:38","Natural Gas","Natural Gas",3566,"Yes"
"D","03/27/2022","01:31:38","Nuclear","Nuclear",3352,"No"
"D","03/27/2022","01:31:38","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","01:31:38","Refuse","Renewables",341,"No"
"D","03/27/2022","01:31:38","Wind","Renewables",243,"No"
"D","03/27/2022","01:31:38","Wood","Renewables",227,"No"
"D","03/27/2022","01:49:48","Hydro","Hydro",847,"No"
"D","03/27/2022","01:49:48","Natural Gas","Natural Gas",3506,"Yes"
"D","03/27/2022","01:49:48","Nuclear","Nuclear",3352,"No"
"D","03/27/2022","01:49:48","Other","Other",8,"No"
"D","03/27/2022","01:49:48","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","01:49:48","Refuse","Renewables",353,"No"
"D","03/27/2022","01:49:48","Wind","Renewables",232,"No"
"D","03/27/2022","01:49:48","Wood","Renewables",227,"No"
"D","03/27/2022","02:14:31","Coal","Coal",0,"No"
"D","03/27/2022","02:14:31","Hydro","Hydro",846,"No"
"D","03/27/2022","02:14:31","Natural Gas","Natural Gas",3436,"Yes"
"D","03/27/2022","02:14:31","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","02:14:31","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","02:14:31","Refuse","Renewables",345,"No"
"D","03/27/2022","02:14:31","Wind","Renewables",260,"No"
"D","03/27/2022","02:14:31","Wood","Renewables",227,"No"
"D","03/27/2022","02:20:51","Coal","Coal",1,"No"
"D","03/27/2022","02:20:51","Hydro","Hydro",847,"No"
"D","03/27/2022","02:20:51","Natural Gas","Natural Gas",3407,"Yes"
"D","03/27/2022","02:20:51","Nuclear","Nuclear",3350,"No"
"D","03/27/2022","02:20:51","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","02:20:51","Refuse","Renewables",354,"No"
"D","03/27/2022","02:20:51","Wind","Renewables",267,"No"
"D","03/27/2022","02:20:51","Wood","Renewables",227,"No"
"D","03/27/2022","02:41:44","Coal","Coal",3,"No"
"D","03/27/2022","02:41:44","Hydro","Hydro",845,"No"
"D","03/27/2022","02:41:44","Natural Gas","Natural Gas",3392,"Yes"
"D","03/27/2022","02:41:44","Nuclear","Nuclear",3350,"No"
"D","03/27/2022","02:41:44","Other","Other",3,"No"
"D","03/27/2022","02:41:44","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","02:41:44","Refuse","Renewables",355,"No"
"D","03/27/2022","02:41:44","Wind","Renewables",262,"No"
"D","03/27/2022","02:41:44","Wood","Renewables",226,"No"
"D","03/27/2022","02:52:03","Coal","Coal",2,"No"
"D","03/27/2022","02:52:03","Hydro","Hydro",843,"No"
"D","03/27/2022","02:52:03","Natural Gas","Natural Gas",3359,"Yes"
"D","03/27/2022","02:52:03","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","02:52:03","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","02:52:03","Refuse","Renewables",356,"No"
"D","03/27/2022","02:52:03","Wind","Renewables",276,"No"
"D","03/27/2022","02:52:03","Wood","Renewables",225,"No"
"D","03/27/2022","03:06:21","Hydro","Hydro",843,"No"
"D","03/27/2022","03:06:21","Natural Gas","Natural Gas",3406,"Yes"
"D","03/27/2022","03:06:21","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","03:06:21","Other","Other",10,"No"
"D","03/27/2022","03:06:21","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","03:06:21","Refuse","Renewables",352,"No"
"D","03/27/2022","03:06:21","Wind","Renewables",300,"No"
"D","03/27/2022","03:06:21","Wood","Renewables",223,"No"
"D","03/27/2022","03:22:15","Coal","Coal",6,"No"
"D","03/27/2022","03:22:15","Hydro","Hydro",847,"No"
"D","03/27/2022","03:22:15","Natural Gas","Natural Gas",3190,"Yes"
"D","03/27/2022","03:22:15","Nuclear","Nuclear",3350,"No"
"D","03/27/2022","03:22:15","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","03:22:15","Refuse","Renewables",365,"No"
"D","03/27/2022","03:22:15","Wind","Renewables",333,"No"
"D","03/27/2022","03:22:15","Wood","Renewables",226,"No"
"D","03/27/2022","03:37:40","Coal","Coal",4,"No"
"D","03/27/2022","03:37:40","Hydro","Hydro",846,"No"
"D","03/27/2022","03:37:40","Natural Gas","Natural Gas",3067,"Yes"
"D","03/27/2022","03:37:40","Nuclear","Nuclear",3350,"No"
"D","03/27/2022","03:37:40","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","03:37:40","Refuse","Renewables",359,"No"
"D","03/27/2022","03:37:40","Wind","Renewables",322,"No"
"D","03/27/2022","03:37:40","Wood","Renewables",227,"No"
"D","03/27/2022","03:51:07","Hydro","Hydro",846,"No"
"D","03/27/2022","03:51:07","Natural Gas","Natural Gas",2980,"Yes"
"D","03/27/2022","03:51:07","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","03:51:07","Other","Other",0,"No"
"D","03/27/2022","03:51:07","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","03:51:07","Refuse","Renewables",352,"No"
"D","03/27/2022","03:51:07","Wind","Renewables",338,"No"
"D","03/27/2022","03:51:07","Wood","Renewables",225,"No"
"D","03/27/2022","04:05:33","Coal","Coal",9,"No"
"D","03/27/2022","04:05:33","Hydro","Hydro",847,"No"
"D","03/27/2022","04:05:33","Natural Gas","Natural Gas",3009,"Yes"
"D","03/27/2022","04:05:33","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","04:05:33","Other","Other",0,"No"
"D","03/27/2022","04:05:33","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","04:05:33","Refuse","Renewables",352,"No"
"D","03/27/2022","04:05:33","Wind","Renewables",362,"No"
"D","03/27/2022","04:05:33","Wood","Renewables",228,"No"
"D","03/27/2022","04:05:42","Coal","Coal",9,"No"
"D","03/27/2022","04:05:42","Hydro","Hydro",847,"Yes"
"D","03/27/2022","04:05:42","Natural Gas","Natural Gas",3009,"No"
"D","03/27/2022","04:05:42","Nuclear","Nuclear",3348,"No"
"D","03/27/2022","04:05:42","Other","Other",0,"No"
"D","03/27/2022","04:05:42","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","04:05:42","Refuse","Renewables",352,"No"
"D","03/27/2022","04:05:42","Wind","Renewables",362,"No"
"D","03/27/2022","04:05:42","Wood","Renewables",228,"No"
"D","03/27/2022","04:13:04","Coal","Coal",10,"No"
"D","03/27/2022","04:13:04","Hydro","Hydro",829,"Yes"
"D","03/27/2022","04:13:04","Natural Gas","Natural Gas",2942,"No"
"D","03/27/2022","04:13:04","Nuclear","Nuclear",3352,"No"
"D","03/27/2022","04:13:04","Landfill Gas","Renewables",35,"No"
"D","03/27/2022","04:13:04","Refuse","Renewables",342,"No"
"D","03/27/2022","04:13:04","Wind","Renewables",358,"No"
"D","03/27/2022","04:13:04","Wood","Renewables",224,"No"
"D","03/27/2022","04:15:14","Coal","Coal",10,"No"
