"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20220620.csv"
"C","Report for 06/20/2022"
"C","Report generated 08/12/2024 16:45:36 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/20/2022","00:04:23","Hydro","Hydro",389,"No"
"D","06/20/2022","00:04:23","Natural Gas","Natural Gas",3275,"Yes"
"D","06/20/2022","00:04:23","Nuclear","Nuclear",3361,"No"
"D","06/20/2022","00:04:23","Other","Other",13,"No"
"D","06/20/2022","00:04:23","Landfill Gas","Renewables",34,"No"
"D","06/20/2022","00:04:23","Refuse","Renewables",365,"No"
"D","06/20/2022","00:04:23","Solar","Renewables",0,"No"
"D","06/20/2022","00:04:23","Wind","Renewables",619,"Yes"
"D","06/20/2022","00:04:23","Wood","Renewables",192,"No"
"D","06/20/2022","00:11:29","Hydro","Hydro",386,"No"
"D","06/20/2022","00:11:29","Natural Gas","Natural Gas",3229,"Yes"
"D","06/20/2022","00:11:29","Nuclear","Nuclear",3359,"No"
"D","06/20/2022","00:11:29","Landfill Gas","Renewables",34,"No"
"D","06/20/2022","00:11:29","Refuse","Renewables",364,"No"
"D","06/20/2022","00:11:29","Solar","Renewables",0,"No"
"D","06/20/2022","00:11:29","Wind","Renewables",630,"Yes"
"D","06/20/2022","00:11:29","Wood","Renewables",193,"No"
"D","06/20/2022","00:13:26","Hydro","Hydro",388,"No"
"D","06/20/2022","00:13:26","Natural Gas","Natural Gas",3228,"Yes"
"D","06/20/2022","00:13:26","Nuclear","Nuclear",3359,"No"
"D","06/20/2022","00:13:26","Other","Other",0,"No"
"D","06/20/2022","00:13:26","Landfill Gas","Renewables",34,"No"
"D","06/20/2022","00:13:26","Refuse","Renewables",365,"No"
"D","06/20/2022","00:13:26","Solar","Renewables",0,"No"
"D","06/20/2022","00:13:26","Wind","Renewables",627,"No"
"D","06/20/2022","00:13:26","Wood","Renewables",192,"No"
"D","06/20/2022","00:16:28","Hydro","Hydro",388,"No"
"D","06/20/2022","00:16:28","Natural Gas","Natural Gas",3228,"Yes"
"D","06/20/2022","00:16:28","Nuclear","Nuclear",3359,"No"
"D","06/20/2022","00:16:28","Other","Other",0,"No"
"D","06/20/2022","00:16:28","Landfill Gas","Renewables",34,"No"
"D","06/20/2022","00:16:28","Refuse","Renewables",365,"No"
"D","06/20/2022","00:16:28","Solar","Renewables",0,"No"
"D","06/20/2022","00:16:28","Wind","Renewables",627,"No"
"D","06/20/2022","00:16:28","Wood","Renewables",192,"No"
"D","06/20/2022","00:16:44","Hydro","Hydro",388,"No"
"D","06/20/2022","00:16:44","Natural Gas","Natural Gas",3228,"Yes"
"D","06/20/2022","00:16:44","Nuclear","Nuclear",3359,"No"
"D","06/20/2022","00:16:44","Other","Other",0,"No"
"D","06/20/2022","00:16:44","Landfill Gas","Renewables",34,"No"
"D","06/20/2022","00:16:44","Refuse","Renewables",365,"No"
"D","06/20/2022","00:16:44","Solar","Renewables",0,"No"
"D","06/20/2022","00:16:44","Wind","Renewables",627,"No"
"D","06/20/2022","00:16:44","Wood","Renewables",192,"No"
"D","06/20/2022","00:19:51","Hydro","Hydro",387,"No"
"D","06/20/2022","00:19:51","Natural Gas","Natural Gas",3150,"Yes"
"D","06/20/2022","00:19:51","Nuclear","Nuclear",3361,"No"
"D","06/20/2022","00:19:51","Landfill Gas","Renewables",35,"No"
"D","06/20/2022","00:19:51","Refuse","Renewables",363,"No"
"D","06/20/2022","00:19:51","Solar","Renewables",0,"No"
"D","06/20/2022","00:19:51","Wind","Renewables",632,"Yes"
"D","06/20/2022","00:19:51","Wood","Renewables",191,"No"
