Time Stamp,Time Zone,Fuel Category,Gen MW
02/13/2023 00:05:00,EST,Dual Fuel,2629.0
02/13/2023 00:05:00,EST,Natural Gas,2527.0
02/13/2023 00:05:00,EST,Nuclear,3262.0
02/13/2023 00:05:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:05:00,EST,Other Renewables,188.0
02/13/2023 00:05:00,EST,Wind,94.0
02/13/2023 00:05:00,EST,Hydro,3186.0
02/13/2023 00:10:00,EST,Dual Fuel,2609.0
02/13/2023 00:10:00,EST,Natural Gas,2447.0
02/13/2023 00:10:00,EST,Nuclear,3260.0
02/13/2023 00:10:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:10:00,EST,Other Renewables,182.0
02/13/2023 00:10:00,EST,Wind,97.0
02/13/2023 00:10:00,EST,Hydro,3099.0
02/13/2023 00:15:00,EST,Dual Fuel,2632.0
02/13/2023 00:15:00,EST,Natural Gas,2424.0
02/13/2023 00:15:00,EST,Nuclear,3260.0
02/13/2023 00:15:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:15:00,EST,Other Renewables,180.0
02/13/2023 00:15:00,EST,Wind,101.0
02/13/2023 00:15:00,EST,Hydro,2992.0
02/13/2023 00:20:00,EST,Dual Fuel,2640.0
02/13/2023 00:20:00,EST,Natural Gas,2393.0
02/13/2023 00:20:00,EST,Nuclear,3260.0
02/13/2023 00:20:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:20:00,EST,Other Renewables,178.0
02/13/2023 00:20:00,EST,Wind,104.0
02/13/2023 00:20:00,EST,Hydro,2911.0
02/13/2023 00:25:00,EST,Dual Fuel,2633.0
02/13/2023 00:25:00,EST,Natural Gas,2366.0
02/13/2023 00:25:00,EST,Nuclear,3261.0
02/13/2023 00:25:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:25:00,EST,Other Renewables,176.0
02/13/2023 00:25:00,EST,Wind,108.0
02/13/2023 00:25:00,EST,Hydro,2856.0
02/13/2023 00:30:00,EST,Dual Fuel,2603.0
02/13/2023 00:30:00,EST,Natural Gas,2351.0
02/13/2023 00:30:00,EST,Nuclear,3259.0
02/13/2023 00:30:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:30:00,EST,Other Renewables,182.0
02/13/2023 00:30:00,EST,Wind,117.0
02/13/2023 00:30:00,EST,Hydro,2828.0
02/13/2023 00:35:00,EST,Dual Fuel,2555.0
02/13/2023 00:35:00,EST,Natural Gas,2338.0
02/13/2023 00:35:00,EST,Nuclear,3263.0
02/13/2023 00:35:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:35:00,EST,Other Renewables,180.0
02/13/2023 00:35:00,EST,Wind,125.0
02/13/2023 00:35:00,EST,Hydro,2814.0
02/13/2023 00:40:00,EST,Dual Fuel,2514.0
02/13/2023 00:40:00,EST,Natural Gas,2332.0
02/13/2023 00:40:00,EST,Nuclear,3259.0
02/13/2023 00:40:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:40:00,EST,Other Renewables,177.0
02/13/2023 00:40:00,EST,Wind,134.0
02/13/2023 00:40:00,EST,Hydro,2839.0
02/13/2023 00:45:00,EST,Dual Fuel,2475.0
02/13/2023 00:45:00,EST,Natural Gas,2338.0
02/13/2023 00:45:00,EST,Nuclear,3261.0
02/13/2023 00:45:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:45:00,EST,Other Renewables,175.0
02/13/2023 00:45:00,EST,Wind,140.0
02/13/2023 00:45:00,EST,Hydro,2853.0
02/13/2023 00:50:00,EST,Dual Fuel,2445.0
02/13/2023 00:50:00,EST,Natural Gas,2337.0
02/13/2023 00:50:00,EST,Nuclear,3259.0
02/13/2023 00:50:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:50:00,EST,Other Renewables,177.0
02/13/2023 00:50:00,EST,Wind,142.0
02/13/2023 00:50:00,EST,Hydro,2849.0
02/13/2023 00:55:00,EST,Dual Fuel,2403.0
02/13/2023 00:55:00,EST,Natural Gas,2336.0
02/13/2023 00:55:00,EST,Nuclear,3262.0
02/13/2023 00:55:00,EST,Other Fossil Fuels,5.0
02/13/2023 00:55:00,EST,Other Renewables,176.0
02/13/2023 00:55:00,EST,Wind,144.0
02/13/2023 00:55:00,EST,Hydro,2847.0
02/13/2023 01:00:00,EST,Dual Fuel,2415.0
02/13/2023 01:00:00,EST,Natural Gas,2355.0
02/13/2023 01:00:00,EST,Nuclear,3259.0
02/13/2023 01:00:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:00:00,EST,Other Renewables,178.0
02/13/2023 01:00:00,EST,Wind,145.0
02/13/2023 01:00:00,EST,Hydro,2881.0
02/13/2023 01:05:00,EST,Dual Fuel,2556.0
02/13/2023 01:05:00,EST,Natural Gas,2397.0
02/13/2023 01:05:00,EST,Nuclear,3260.0
02/13/2023 01:05:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:05:00,EST,Other Renewables,180.0
02/13/2023 01:05:00,EST,Wind,151.0
02/13/2023 01:05:00,EST,Hydro,2941.0
02/13/2023 01:10:00,EST,Dual Fuel,2663.0
02/13/2023 01:10:00,EST,Natural Gas,2416.0
02/13/2023 01:10:00,EST,Nuclear,3261.0
02/13/2023 01:10:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:10:00,EST,Other Renewables,179.0
02/13/2023 01:10:00,EST,Wind,159.0
02/13/2023 01:10:00,EST,Hydro,2928.0
02/13/2023 01:15:00,EST,Dual Fuel,2655.0
02/13/2023 01:15:00,EST,Natural Gas,2395.0
02/13/2023 01:15:00,EST,Nuclear,3263.0
02/13/2023 01:15:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:15:00,EST,Other Renewables,178.0
02/13/2023 01:15:00,EST,Wind,161.0
02/13/2023 01:15:00,EST,Hydro,2864.0
02/13/2023 01:20:00,EST,Dual Fuel,2637.0
02/13/2023 01:20:00,EST,Natural Gas,2395.0
02/13/2023 01:20:00,EST,Nuclear,3261.0
02/13/2023 01:20:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:20:00,EST,Other Renewables,181.0
02/13/2023 01:20:00,EST,Wind,165.0
02/13/2023 01:20:00,EST,Hydro,2852.0
02/13/2023 01:25:00,EST,Dual Fuel,2610.0
02/13/2023 01:25:00,EST,Natural Gas,2396.0
02/13/2023 01:25:00,EST,Nuclear,3263.0
02/13/2023 01:25:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:25:00,EST,Other Renewables,180.0
02/13/2023 01:25:00,EST,Wind,175.0
02/13/2023 01:25:00,EST,Hydro,2862.0
02/13/2023 01:30:00,EST,Dual Fuel,2592.0
02/13/2023 01:30:00,EST,Natural Gas,2392.0
02/13/2023 01:30:00,EST,Nuclear,3259.0
02/13/2023 01:30:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:30:00,EST,Other Renewables,179.0
02/13/2023 01:30:00,EST,Wind,185.0
02/13/2023 01:30:00,EST,Hydro,2873.0
02/13/2023 01:35:00,EST,Dual Fuel,2565.0
02/13/2023 01:35:00,EST,Natural Gas,2380.0
02/13/2023 01:35:00,EST,Nuclear,3260.0
02/13/2023 01:35:00,EST,Other Fossil Fuels,5.0
02/13/2023 01:35:00,EST,Other Renewables,183.0
