Time Stamp,Time Zone,Fuel Category,Gen MW
10/23/2022 00:05:00,EDT,Dual Fuel,2076.0
10/23/2022 00:05:00,EDT,Natural Gas,2103.0
10/23/2022 00:05:00,EDT,Nuclear,3323.0
10/23/2022 00:05:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:05:00,EDT,Other Renewables,246.0
10/23/2022 00:05:00,EDT,Wind,921.0
10/23/2022 00:05:00,EDT,Hydro,1724.0
10/23/2022 00:10:00,EDT,Dual Fuel,1910.0
10/23/2022 00:10:00,EDT,Natural Gas,2065.0
10/23/2022 00:10:00,EDT,Nuclear,3325.0
10/23/2022 00:10:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:10:00,EDT,Other Renewables,246.0
10/23/2022 00:10:00,EDT,Wind,939.0
10/23/2022 00:10:00,EDT,Hydro,1739.0
10/23/2022 00:15:00,EDT,Dual Fuel,1936.0
10/23/2022 00:15:00,EDT,Natural Gas,2066.0
10/23/2022 00:15:00,EDT,Nuclear,3323.0
10/23/2022 00:15:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:15:00,EDT,Other Renewables,245.0
10/23/2022 00:15:00,EDT,Wind,964.0
10/23/2022 00:15:00,EDT,Hydro,1698.0
10/23/2022 00:20:00,EDT,Dual Fuel,2026.0
10/23/2022 00:20:00,EDT,Natural Gas,2076.0
10/23/2022 00:20:00,EDT,Nuclear,3324.0
10/23/2022 00:20:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:20:00,EDT,Other Renewables,246.0
10/23/2022 00:20:00,EDT,Wind,970.0
10/23/2022 00:20:00,EDT,Hydro,1666.0
10/23/2022 00:25:00,EDT,Dual Fuel,2065.0
10/23/2022 00:25:00,EDT,Natural Gas,2079.0
10/23/2022 00:25:00,EDT,Nuclear,3325.0
10/23/2022 00:25:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:25:00,EDT,Other Renewables,246.0
10/23/2022 00:25:00,EDT,Wind,981.0
10/23/2022 00:25:00,EDT,Hydro,1574.0
10/23/2022 00:30:00,EDT,Dual Fuel,2075.0
10/23/2022 00:30:00,EDT,Natural Gas,2078.0
10/23/2022 00:30:00,EDT,Nuclear,3324.0
10/23/2022 00:30:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:30:00,EDT,Other Renewables,247.0
10/23/2022 00:30:00,EDT,Wind,988.0
10/23/2022 00:30:00,EDT,Hydro,1499.0
10/23/2022 00:35:00,EDT,Dual Fuel,2070.0
10/23/2022 00:35:00,EDT,Natural Gas,2079.0
10/23/2022 00:35:00,EDT,Nuclear,3324.0
10/23/2022 00:35:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:35:00,EDT,Other Renewables,248.0
10/23/2022 00:35:00,EDT,Wind,994.0
10/23/2022 00:35:00,EDT,Hydro,1479.0
10/23/2022 00:40:00,EDT,Dual Fuel,2074.0
10/23/2022 00:40:00,EDT,Natural Gas,2078.0
10/23/2022 00:40:00,EDT,Nuclear,3324.0
10/23/2022 00:40:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:40:00,EDT,Other Renewables,245.0
10/23/2022 00:40:00,EDT,Wind,981.0
10/23/2022 00:40:00,EDT,Hydro,1465.0
10/23/2022 00:45:00,EDT,Dual Fuel,2037.0
10/23/2022 00:45:00,EDT,Natural Gas,2078.0
10/23/2022 00:45:00,EDT,Nuclear,3325.0
10/23/2022 00:45:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:45:00,EDT,Other Renewables,245.0
10/23/2022 00:45:00,EDT,Wind,971.0
10/23/2022 00:45:00,EDT,Hydro,1445.0
10/23/2022 00:50:00,EDT,Dual Fuel,2003.0
10/23/2022 00:50:00,EDT,Natural Gas,2080.0
10/23/2022 00:50:00,EDT,Nuclear,3325.0
10/23/2022 00:50:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:50:00,EDT,Other Renewables,245.0
10/23/2022 00:50:00,EDT,Wind,953.0
10/23/2022 00:50:00,EDT,Hydro,1427.0
10/23/2022 00:55:00,EDT,Dual Fuel,1963.0
10/23/2022 00:55:00,EDT,Natural Gas,2081.0
10/23/2022 00:55:00,EDT,Nuclear,3325.0
10/23/2022 00:55:00,EDT,Other Fossil Fuels,0.0
10/23/2022 00:55:00,EDT,Other Renewables,245.0
10/23/2022 00:55:00,EDT,Wind,931.0
10/23/2022 00:55:00,EDT,Hydro,1440.0
10/23/2022 01:00:00,EDT,Dual Fuel,1993.0
10/23/2022 01:00:00,EDT,Natural Gas,2067.0
10/23/2022 01:00:00,EDT,Nuclear,3324.0
10/23/2022 01:00:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:00:00,EDT,Other Renewables,248.0
10/23/2022 01:00:00,EDT,Wind,915.0
10/23/2022 01:00:00,EDT,Hydro,1488.0
10/23/2022 01:05:00,EDT,Dual Fuel,2136.0
10/23/2022 01:05:00,EDT,Natural Gas,2049.0
10/23/2022 01:05:00,EDT,Nuclear,3324.0
10/23/2022 01:05:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:05:00,EDT,Other Renewables,247.0
10/23/2022 01:05:00,EDT,Wind,908.0
10/23/2022 01:05:00,EDT,Hydro,1612.0
10/23/2022 01:10:00,EDT,Dual Fuel,2160.0
10/23/2022 01:10:00,EDT,Natural Gas,2039.0
10/23/2022 01:10:00,EDT,Nuclear,3325.0
10/23/2022 01:10:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:10:00,EDT,Other Renewables,244.0
10/23/2022 01:10:00,EDT,Wind,898.0
10/23/2022 01:10:00,EDT,Hydro,1628.0
10/23/2022 01:15:00,EDT,Dual Fuel,2103.0
10/23/2022 01:15:00,EDT,Natural Gas,2038.0
10/23/2022 01:15:00,EDT,Nuclear,3324.0
10/23/2022 01:15:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:15:00,EDT,Other Renewables,246.0
10/23/2022 01:15:00,EDT,Wind,899.0
10/23/2022 01:15:00,EDT,Hydro,1640.0
10/23/2022 01:20:00,EDT,Dual Fuel,2091.0
10/23/2022 01:20:00,EDT,Natural Gas,2041.0
10/23/2022 01:20:00,EDT,Nuclear,3325.0
10/23/2022 01:20:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:20:00,EDT,Other Renewables,246.0
10/23/2022 01:20:00,EDT,Wind,893.0
10/23/2022 01:20:00,EDT,Hydro,1653.0
10/23/2022 01:25:00,EDT,Dual Fuel,2050.0
10/23/2022 01:25:00,EDT,Natural Gas,2038.0
10/23/2022 01:25:00,EDT,Nuclear,3325.0
10/23/2022 01:25:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:25:00,EDT,Other Renewables,248.0
10/23/2022 01:25:00,EDT,Wind,885.0
10/23/2022 01:25:00,EDT,Hydro,1637.0
10/23/2022 01:30:00,EDT,Dual Fuel,2013.0
10/23/2022 01:30:00,EDT,Natural Gas,2038.0
10/23/2022 01:30:00,EDT,Nuclear,3326.0
10/23/2022 01:30:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:30:00,EDT,Other Renewables,247.0
10/23/2022 01:30:00,EDT,Wind,875.0
10/23/2022 01:30:00,EDT,Hydro,1644.0
10/23/2022 01:35:00,EDT,Dual Fuel,2038.0
10/23/2022 01:35:00,EDT,Natural Gas,2036.0
10/23/2022 01:35:00,EDT,Nuclear,3326.0
10/23/2022 01:35:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:35:00,EDT,Other Renewables,247.0
10/23/2022 01:35:00,EDT,Wind,874.0
10/23/2022 01:35:00,EDT,Hydro,1680.0
10/23/2022 01:40:00,EDT,Dual Fuel,2021.0
10/23/2022 01:40:00,EDT,Natural Gas,2038.0
10/23/2022 01:40:00,EDT,Nuclear,3326.0
10/23/2022 01:40:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:40:00,EDT,Other Renewables,247.0
10/23/2022 01:40:00,EDT,Wind,891.0
10/23/2022 01:40:00,EDT,Hydro,1721.0
10/23/2022 01:45:00,EDT,Dual Fuel,1975.0
10/23/2022 01:45:00,EDT,Natural Gas,2038.0
10/23/2022 01:45:00,EDT,Nuclear,3325.0
10/23/2022 01:45:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:45:00,EDT,Other Renewables,247.0
10/23/2022 01:45:00,EDT,Wind,913.0
10/23/2022 01:45:00,EDT,Hydro,1730.0
10/23/2022 01:50:00,EDT,Dual Fuel,1968.0
10/23/2022 01:50:00,EDT,Natural Gas,2039.0
10/23/2022 01:50:00,EDT,Nuclear,3325.0
10/23/2022 01:50:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:50:00,EDT,Other Renewables,246.0
10/23/2022 01:50:00,EDT,Wind,936.0
10/23/2022 01:50:00,EDT,Hydro,1732.0
10/23/2022 01:55:00,EDT,Dual Fuel,1950.0
10/23/2022 01:55:00,EDT,Natural Gas,2033.0
10/23/2022 01:55:00,EDT,Nuclear,3325.0
10/23/2022 01:55:00,EDT,Other Fossil Fuels,0.0
10/23/2022 01:55:00,EDT,Other Renewables,245.0
10/23/2022 01:55:00,EDT,Wind,962.0
10/23/2022 01:55:00,EDT,Hydro,1739.0
10/23/2022 02:00:00,EDT,Dual Fuel,1919.0
10/23/2022 02:00:00,EDT,Natural Gas,2015.0
10/23/2022 02:00:00,EDT,Nuclear,3326.0
10/23/2022 02:00:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:00:00,EDT,Other Renewables,245.0
10/23/2022 02:00:00,EDT,Wind,972.0
10/23/2022 02:00:00,EDT,Hydro,1703.0
10/23/2022 02:05:00,EDT,Dual Fuel,1882.0
10/23/2022 02:05:00,EDT,Natural Gas,1998.0
10/23/2022 02:05:00,EDT,Nuclear,3327.0
10/23/2022 02:05:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:05:00,EDT,Other Renewables,246.0
10/23/2022 02:05:00,EDT,Wind,978.0
10/23/2022 02:05:00,EDT,Hydro,1641.0
10/23/2022 02:10:00,EDT,Dual Fuel,1854.0
10/23/2022 02:10:00,EDT,Natural Gas,1999.0
10/23/2022 02:10:00,EDT,Nuclear,3326.0
10/23/2022 02:10:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:10:00,EDT,Other Renewables,246.0
10/23/2022 02:10:00,EDT,Wind,973.0
10/23/2022 02:10:00,EDT,Hydro,1678.0
10/23/2022 02:15:00,EDT,Dual Fuel,1919.0
10/23/2022 02:15:00,EDT,Natural Gas,1998.0
10/23/2022 02:15:00,EDT,Nuclear,3325.0
10/23/2022 02:15:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:15:00,EDT,Other Renewables,245.0
10/23/2022 02:15:00,EDT,Wind,960.0
10/23/2022 02:15:00,EDT,Hydro,1590.0
10/23/2022 02:20:00,EDT,Dual Fuel,2040.0
10/23/2022 02:20:00,EDT,Natural Gas,1998.0
10/23/2022 02:20:00,EDT,Nuclear,3328.0
10/23/2022 02:20:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:20:00,EDT,Other Renewables,245.0
10/23/2022 02:20:00,EDT,Wind,920.0
10/23/2022 02:20:00,EDT,Hydro,1504.0
10/23/2022 02:25:00,EDT,Dual Fuel,2099.0
10/23/2022 02:25:00,EDT,Natural Gas,1995.0
10/23/2022 02:25:00,EDT,Nuclear,3327.0
10/23/2022 02:25:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:25:00,EDT,Other Renewables,245.0
10/23/2022 02:25:00,EDT,Wind,904.0
10/23/2022 02:25:00,EDT,Hydro,1451.0
10/23/2022 02:30:00,EDT,Dual Fuel,2091.0
10/23/2022 02:30:00,EDT,Natural Gas,2002.0
10/23/2022 02:30:00,EDT,Nuclear,3327.0
10/23/2022 02:30:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:30:00,EDT,Other Renewables,246.0
10/23/2022 02:30:00,EDT,Wind,894.0
10/23/2022 02:30:00,EDT,Hydro,1486.0
10/23/2022 02:35:00,EDT,Dual Fuel,1988.0
10/23/2022 02:35:00,EDT,Natural Gas,1998.0
10/23/2022 02:35:00,EDT,Nuclear,3327.0
10/23/2022 02:35:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:35:00,EDT,Other Renewables,245.0
10/23/2022 02:35:00,EDT,Wind,877.0
10/23/2022 02:35:00,EDT,Hydro,1528.0
10/23/2022 02:40:00,EDT,Dual Fuel,1970.0
10/23/2022 02:40:00,EDT,Natural Gas,2000.0
10/23/2022 02:40:00,EDT,Nuclear,3327.0
10/23/2022 02:40:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:40:00,EDT,Other Renewables,245.0
10/23/2022 02:40:00,EDT,Wind,867.0
10/23/2022 02:40:00,EDT,Hydro,1566.0
10/23/2022 02:45:00,EDT,Dual Fuel,1974.0
10/23/2022 02:45:00,EDT,Natural Gas,1998.0
10/23/2022 02:45:00,EDT,Nuclear,3328.0
10/23/2022 02:45:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:45:00,EDT,Other Renewables,244.0
10/23/2022 02:45:00,EDT,Wind,848.0
10/23/2022 02:45:00,EDT,Hydro,1552.0
10/23/2022 02:50:00,EDT,Dual Fuel,1972.0
10/23/2022 02:50:00,EDT,Natural Gas,2000.0
10/23/2022 02:50:00,EDT,Nuclear,3327.0
10/23/2022 02:50:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:50:00,EDT,Other Renewables,244.0
10/23/2022 02:50:00,EDT,Wind,833.0
10/23/2022 02:50:00,EDT,Hydro,1536.0
10/23/2022 02:55:00,EDT,Dual Fuel,1986.0
10/23/2022 02:55:00,EDT,Natural Gas,2000.0
10/23/2022 02:55:00,EDT,Nuclear,3329.0
10/23/2022 02:55:00,EDT,Other Fossil Fuels,0.0
10/23/2022 02:55:00,EDT,Other Renewables,245.0
10/23/2022 02:55:00,EDT,Wind,821.0
10/23/2022 02:55:00,EDT,Hydro,1478.0
10/23/2022 03:00:00,EDT,Dual Fuel,1956.0
10/23/2022 03:00:00,EDT,Natural Gas,1999.0
10/23/2022 03:00:00,EDT,Nuclear,3328.0
10/23/2022 03:00:00,EDT,Other Fossil Fuels,0.0
10/23/2022 03:00:00,EDT,Other Renewables,247.0
10/23/2022 03:00:00,EDT,Wind,810.0
10/23/2022 03:00:00,EDT,Hydro,1503.0
10/23/2022 03:05:00,EDT,Dual Fuel,1919.0
10/23/2022 03:05:00,EDT,Natural Gas,1997.0
10/23/2022 03:05:00,EDT,Nuclear,3327.0
10/23/2022 03:05:00,EDT,Other Fossil Fuels,0.0
10/23/2022 03:05:00,EDT,Other Renewables,245.0
10/23/2022 03:05:00,EDT,Wind,810.0
10/23/2022 03:05:00,EDT,Hydro,1592.0
10/23/2022 03:10:00,EDT,Dual Fuel,1912.0
10/23/2022 03:10:00,EDT,Natural Gas,1982.0
10/23/2022 03:10:00,EDT,Nuclear,3327.0
10/23/2022 03:10:00,EDT,Other Fossil Fuels,0.0
10/23/2022 03:10:00,EDT,Other Renewables,245.0
10/23/2022 03:10:00,EDT,Wind,805.0
10/23/2022 03:10:00,EDT,Hydro,1743.0
10/23/2022 03:15:00,EDT,Dual Fuel,1896.0
10/23/2022 03:15:00,EDT,Natural Gas,1974.0
10/23/2022 03:15:00,EDT,Nuclear,3327.0
10/23/2022 03:15:00,EDT,Other Fossil Fuels,0.0
10/23/2022 03:15:00,EDT,Other Renewables,246.0
10/23/2022 03:15:00,EDT,Wind,788.0
10/23/2022 03:15:00,EDT,Hydro,1824.0
10/23/2022 03:20:00,EDT,Dual Fuel,1892.0
10/23/2022 03:20:00,EDT,Natural Gas,1999.0
10/23/2022 03:20:00,EDT,Nuclear,3328.0
10/23/2022 03:20:00,EDT,Other Fossil Fuels,0.0
10/23/2022 03:20:00,EDT,Other Renewables,246.0
10/23/2022 03:20:00,EDT,Wind,777.0
10/23/2022 03:20:00,EDT,Hydro,1776.0
10/23/2022 03:25:00,EDT,Dual Fuel,1942.0
10/23/2022 03:25:00,EDT,Natural Gas,2002.0
10/23/2022 03:25:00,EDT,Nuclear,3327.0
10/23/2022 03:25:00,EDT,Other Fossil Fuels,0.0
10/23/2022 03:25:00,EDT,Other Renewables,244.0
10/23/2022 03:25:00,EDT,Wind,773.0
10/23/2022 03:25:00,EDT,Hydro,1697.0
10/23/2022 03:30:00,EDT,Dual Fuel,1923.0
10/23/2022 03:30:00,EDT,Natural Gas,2002.0
10/23/2022 03:30:00,EDT,Nuclear,3327.0
10/23/2022 03:30:00,EDT,Other Fossil Fuels,0.0
10/23/2022 03:30:00,EDT,Other Renewables,244.0
10/23/2022 03:30:00,EDT,Wind,760.0
10/23/2022 03:30:00,EDT,Hydro,1729.0
