Time Stamp,Time Zone,Fuel Category,Gen MW
04/06/2023 00:05:00,EDT,Dual Fuel,3247.0
04/06/2023 00:05:00,EDT,Natural Gas,2423.0
04/06/2023 00:05:00,EDT,Nuclear,2652.0
04/06/2023 00:05:00,EDT,Other Fossil Fuels,1.0
04/06/2023 00:05:00,EDT,Other Renewables,168.0
04/06/2023 00:05:00,EDT,Wind,918.0
04/06/2023 00:05:00,EDT,Hydro,2204.0
04/06/2023 00:10:00,EDT,Dual Fuel,3162.0
04/06/2023 00:10:00,EDT,Natural Gas,2389.0
04/06/2023 00:10:00,EDT,Nuclear,2653.0
04/06/2023 00:10:00,EDT,Other Fossil Fuels,2.0
04/06/2023 00:10:00,EDT,Other Renewables,167.0
04/06/2023 00:10:00,EDT,Wind,921.0
04/06/2023 00:10:00,EDT,Hydro,2219.0
04/06/2023 00:15:00,EDT,Dual Fuel,3091.0
04/06/2023 00:15:00,EDT,Natural Gas,2386.0
04/06/2023 00:15:00,EDT,Nuclear,2652.0
04/06/2023 00:15:00,EDT,Other Fossil Fuels,2.0
04/06/2023 00:15:00,EDT,Other Renewables,173.0
04/06/2023 00:15:00,EDT,Wind,920.0
04/06/2023 00:15:00,EDT,Hydro,2203.0
04/06/2023 00:20:00,EDT,Dual Fuel,3012.0
04/06/2023 00:20:00,EDT,Natural Gas,2386.0
04/06/2023 00:20:00,EDT,Nuclear,2651.0
04/06/2023 00:20:00,EDT,Other Fossil Fuels,2.0
04/06/2023 00:20:00,EDT,Other Renewables,175.0
04/06/2023 00:20:00,EDT,Wind,934.0
04/06/2023 00:20:00,EDT,Hydro,2247.0
04/06/2023 00:25:00,EDT,Dual Fuel,3011.0
04/06/2023 00:25:00,EDT,Natural Gas,2369.0
04/06/2023 00:25:00,EDT,Nuclear,2651.0
04/06/2023 00:25:00,EDT,Other Fossil Fuels,1.0
04/06/2023 00:25:00,EDT,Other Renewables,173.0
04/06/2023 00:25:00,EDT,Wind,917.0
04/06/2023 00:25:00,EDT,Hydro,2257.0
04/06/2023 00:30:00,EDT,Dual Fuel,2947.0
04/06/2023 00:30:00,EDT,Natural Gas,2358.0
04/06/2023 00:30:00,EDT,Nuclear,2651.0
04/06/2023 00:30:00,EDT,Other Fossil Fuels,1.0
04/06/2023 00:30:00,EDT,Other Renewables,171.0
04/06/2023 00:30:00,EDT,Wind,914.0
04/06/2023 00:30:00,EDT,Hydro,2274.0
04/06/2023 00:35:00,EDT,Dual Fuel,2923.0
04/06/2023 00:35:00,EDT,Natural Gas,2354.0
04/06/2023 00:35:00,EDT,Nuclear,2653.0
04/06/2023 00:35:00,EDT,Other Fossil Fuels,2.0
04/06/2023 00:35:00,EDT,Other Renewables,178.0
04/06/2023 00:35:00,EDT,Wind,906.0
04/06/2023 00:35:00,EDT,Hydro,2241.0
04/06/2023 00:40:00,EDT,Dual Fuel,2843.0
04/06/2023 00:40:00,EDT,Natural Gas,2295.0
04/06/2023 00:40:00,EDT,Nuclear,2652.0
04/06/2023 00:40:00,EDT,Other Fossil Fuels,2.0
04/06/2023 00:40:00,EDT,Other Renewables,185.0
04/06/2023 00:40:00,EDT,Wind,904.0
04/06/2023 00:40:00,EDT,Hydro,2325.0
04/06/2023 00:45:00,EDT,Dual Fuel,2813.0
04/06/2023 00:45:00,EDT,Natural Gas,2287.0
04/06/2023 00:45:00,EDT,Nuclear,2652.0
04/06/2023 00:45:00,EDT,Other Fossil Fuels,2.0
04/06/2023 00:45:00,EDT,Other Renewables,189.0
04/06/2023 00:45:00,EDT,Wind,899.0
04/06/2023 00:45:00,EDT,Hydro,2360.0
04/06/2023 00:50:00,EDT,Dual Fuel,2813.0
04/06/2023 00:50:00,EDT,Natural Gas,2219.0
04/06/2023 00:50:00,EDT,Nuclear,2650.0
04/06/2023 00:50:00,EDT,Other Fossil Fuels,1.0
04/06/2023 00:50:00,EDT,Other Renewables,191.0
04/06/2023 00:50:00,EDT,Wind,875.0
04/06/2023 00:50:00,EDT,Hydro,2403.0
04/06/2023 00:55:00,EDT,Dual Fuel,2889.0
04/06/2023 00:55:00,EDT,Natural Gas,2227.0
04/06/2023 00:55:00,EDT,Nuclear,2654.0
04/06/2023 00:55:00,EDT,Other Fossil Fuels,2.0
04/06/2023 00:55:00,EDT,Other Renewables,184.0
04/06/2023 00:55:00,EDT,Wind,850.0
04/06/2023 00:55:00,EDT,Hydro,2374.0
04/06/2023 01:00:00,EDT,Dual Fuel,2946.0
04/06/2023 01:00:00,EDT,Natural Gas,2285.0
04/06/2023 01:00:00,EDT,Nuclear,2651.0
04/06/2023 01:00:00,EDT,Other Fossil Fuels,2.0
04/06/2023 01:00:00,EDT,Other Renewables,168.0
04/06/2023 01:00:00,EDT,Wind,889.0
04/06/2023 01:00:00,EDT,Hydro,2304.0
04/06/2023 01:05:00,EDT,Dual Fuel,2908.0
04/06/2023 01:05:00,EDT,Natural Gas,2222.0
04/06/2023 01:05:00,EDT,Nuclear,2652.0
04/06/2023 01:05:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:05:00,EDT,Other Renewables,168.0
04/06/2023 01:05:00,EDT,Wind,905.0
04/06/2023 01:05:00,EDT,Hydro,2412.0
04/06/2023 01:10:00,EDT,Dual Fuel,2796.0
04/06/2023 01:10:00,EDT,Natural Gas,2188.0
04/06/2023 01:10:00,EDT,Nuclear,2652.0
04/06/2023 01:10:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:10:00,EDT,Other Renewables,180.0
04/06/2023 01:10:00,EDT,Wind,885.0
04/06/2023 01:10:00,EDT,Hydro,2474.0
04/06/2023 01:15:00,EDT,Dual Fuel,2730.0
04/06/2023 01:15:00,EDT,Natural Gas,2168.0
04/06/2023 01:15:00,EDT,Nuclear,2651.0
04/06/2023 01:15:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:15:00,EDT,Other Renewables,178.0
04/06/2023 01:15:00,EDT,Wind,870.0
04/06/2023 01:15:00,EDT,Hydro,2499.0
04/06/2023 01:20:00,EDT,Dual Fuel,2731.0
04/06/2023 01:20:00,EDT,Natural Gas,2171.0
04/06/2023 01:20:00,EDT,Nuclear,2652.0
04/06/2023 01:20:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:20:00,EDT,Other Renewables,186.0
04/06/2023 01:20:00,EDT,Wind,865.0
04/06/2023 01:20:00,EDT,Hydro,2524.0
04/06/2023 01:25:00,EDT,Dual Fuel,2761.0
04/06/2023 01:25:00,EDT,Natural Gas,2181.0
04/06/2023 01:25:00,EDT,Nuclear,2652.0
04/06/2023 01:25:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:25:00,EDT,Other Renewables,173.0
04/06/2023 01:25:00,EDT,Wind,870.0
04/06/2023 01:25:00,EDT,Hydro,2487.0
04/06/2023 01:30:00,EDT,Dual Fuel,2801.0
04/06/2023 01:30:00,EDT,Natural Gas,2207.0
04/06/2023 01:30:00,EDT,Nuclear,2651.0
04/06/2023 01:30:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:30:00,EDT,Other Renewables,165.0
04/06/2023 01:30:00,EDT,Wind,901.0
04/06/2023 01:30:00,EDT,Hydro,2375.0
04/06/2023 01:35:00,EDT,Dual Fuel,2789.0
04/06/2023 01:35:00,EDT,Natural Gas,2251.0
04/06/2023 01:35:00,EDT,Nuclear,2652.0
04/06/2023 01:35:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:35:00,EDT,Other Renewables,163.0
04/06/2023 01:35:00,EDT,Wind,925.0
04/06/2023 01:35:00,EDT,Hydro,2294.0
04/06/2023 01:40:00,EDT,Dual Fuel,2785.0
04/06/2023 01:40:00,EDT,Natural Gas,2286.0
04/06/2023 01:40:00,EDT,Nuclear,2652.0
04/06/2023 01:40:00,EDT,Other Fossil Fuels,2.0
04/06/2023 01:40:00,EDT,Other Renewables,163.0
04/06/2023 01:40:00,EDT,Wind,955.0
04/06/2023 01:40:00,EDT,Hydro,2212.0
04/06/2023 01:45:00,EDT,Dual Fuel,2782.0
04/06/2023 01:45:00,EDT,Natural Gas,2274.0
04/06/2023 01:45:00,EDT,Nuclear,2651.0
04/06/2023 01:45:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:45:00,EDT,Other Renewables,164.0
04/06/2023 01:45:00,EDT,Wind,980.0
04/06/2023 01:45:00,EDT,Hydro,2154.0
04/06/2023 01:50:00,EDT,Dual Fuel,2726.0
04/06/2023 01:50:00,EDT,Natural Gas,2215.0
04/06/2023 01:50:00,EDT,Nuclear,2653.0
04/06/2023 01:50:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:50:00,EDT,Other Renewables,162.0
04/06/2023 01:50:00,EDT,Wind,1005.0
04/06/2023 01:50:00,EDT,Hydro,2170.0
04/06/2023 01:55:00,EDT,Dual Fuel,2692.0
04/06/2023 01:55:00,EDT,Natural Gas,2211.0
04/06/2023 01:55:00,EDT,Nuclear,2653.0
04/06/2023 01:55:00,EDT,Other Fossil Fuels,1.0
04/06/2023 01:55:00,EDT,Other Renewables,166.0
04/06/2023 01:55:00,EDT,Wind,1043.0
04/06/2023 01:55:00,EDT,Hydro,2140.0
04/06/2023 02:00:00,EDT,Dual Fuel,2710.0
04/06/2023 02:00:00,EDT,Natural Gas,2209.0
04/06/2023 02:00:00,EDT,Nuclear,2652.0
04/06/2023 02:00:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:00:00,EDT,Other Renewables,164.0
04/06/2023 02:00:00,EDT,Wind,1111.0
04/06/2023 02:00:00,EDT,Hydro,2050.0
04/06/2023 02:05:00,EDT,Dual Fuel,2679.0
04/06/2023 02:05:00,EDT,Natural Gas,2210.0
04/06/2023 02:05:00,EDT,Nuclear,2654.0
04/06/2023 02:05:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:05:00,EDT,Other Renewables,165.0
04/06/2023 02:05:00,EDT,Wind,1161.0
04/06/2023 02:05:00,EDT,Hydro,1971.0
04/06/2023 02:10:00,EDT,Dual Fuel,2649.0
04/06/2023 02:10:00,EDT,Natural Gas,2211.0
04/06/2023 02:10:00,EDT,Nuclear,2651.0
04/06/2023 02:10:00,EDT,Other Fossil Fuels,2.0
04/06/2023 02:10:00,EDT,Other Renewables,161.0
04/06/2023 02:10:00,EDT,Wind,1209.0
04/06/2023 02:10:00,EDT,Hydro,1907.0
04/06/2023 02:15:00,EDT,Dual Fuel,2668.0
04/06/2023 02:15:00,EDT,Natural Gas,2247.0
04/06/2023 02:15:00,EDT,Nuclear,2651.0
04/06/2023 02:15:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:15:00,EDT,Other Renewables,162.0
04/06/2023 02:15:00,EDT,Wind,1232.0
04/06/2023 02:15:00,EDT,Hydro,1788.0
04/06/2023 02:20:00,EDT,Dual Fuel,2672.0
04/06/2023 02:20:00,EDT,Natural Gas,2290.0
04/06/2023 02:20:00,EDT,Nuclear,2651.0
04/06/2023 02:20:00,EDT,Other Fossil Fuels,2.0
04/06/2023 02:20:00,EDT,Other Renewables,160.0
04/06/2023 02:20:00,EDT,Wind,1244.0
04/06/2023 02:20:00,EDT,Hydro,1664.0
04/06/2023 02:25:00,EDT,Dual Fuel,2667.0
04/06/2023 02:25:00,EDT,Natural Gas,2292.0
04/06/2023 02:25:00,EDT,Nuclear,2652.0
04/06/2023 02:25:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:25:00,EDT,Other Renewables,161.0
04/06/2023 02:25:00,EDT,Wind,1269.0
04/06/2023 02:25:00,EDT,Hydro,1651.0
04/06/2023 02:30:00,EDT,Dual Fuel,2663.0
04/06/2023 02:30:00,EDT,Natural Gas,2302.0
04/06/2023 02:30:00,EDT,Nuclear,2653.0
04/06/2023 02:30:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:30:00,EDT,Other Renewables,160.0
04/06/2023 02:30:00,EDT,Wind,1303.0
04/06/2023 02:30:00,EDT,Hydro,1602.0
04/06/2023 02:35:00,EDT,Dual Fuel,2668.0
04/06/2023 02:35:00,EDT,Natural Gas,2264.0
04/06/2023 02:35:00,EDT,Nuclear,2651.0
04/06/2023 02:35:00,EDT,Other Fossil Fuels,2.0
04/06/2023 02:35:00,EDT,Other Renewables,163.0
04/06/2023 02:35:00,EDT,Wind,1302.0
04/06/2023 02:35:00,EDT,Hydro,1578.0
04/06/2023 02:40:00,EDT,Dual Fuel,2684.0
04/06/2023 02:40:00,EDT,Natural Gas,2210.0
04/06/2023 02:40:00,EDT,Nuclear,2653.0
04/06/2023 02:40:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:40:00,EDT,Other Renewables,160.0
04/06/2023 02:40:00,EDT,Wind,1288.0
04/06/2023 02:40:00,EDT,Hydro,1550.0
04/06/2023 02:45:00,EDT,Dual Fuel,2689.0
04/06/2023 02:45:00,EDT,Natural Gas,2212.0
04/06/2023 02:45:00,EDT,Nuclear,2650.0
04/06/2023 02:45:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:45:00,EDT,Other Renewables,163.0
04/06/2023 02:45:00,EDT,Wind,1281.0
04/06/2023 02:45:00,EDT,Hydro,1576.0
04/06/2023 02:50:00,EDT,Dual Fuel,2691.0
04/06/2023 02:50:00,EDT,Natural Gas,2211.0
04/06/2023 02:50:00,EDT,Nuclear,2652.0
04/06/2023 02:50:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:50:00,EDT,Other Renewables,168.0
04/06/2023 02:50:00,EDT,Wind,1216.0
04/06/2023 02:50:00,EDT,Hydro,1620.0
04/06/2023 02:55:00,EDT,Dual Fuel,2648.0
04/06/2023 02:55:00,EDT,Natural Gas,2212.0
04/06/2023 02:55:00,EDT,Nuclear,2651.0
04/06/2023 02:55:00,EDT,Other Fossil Fuels,1.0
04/06/2023 02:55:00,EDT,Other Renewables,168.0
04/06/2023 02:55:00,EDT,Wind,1190.0
04/06/2023 02:55:00,EDT,Hydro,1702.0
04/06/2023 03:00:00,EDT,Dual Fuel,2608.0
04/06/2023 03:00:00,EDT,Natural Gas,2208.0
04/06/2023 03:00:00,EDT,Nuclear,2653.0
04/06/2023 03:00:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:00:00,EDT,Other Renewables,169.0
04/06/2023 03:00:00,EDT,Wind,1265.0
04/06/2023 03:00:00,EDT,Hydro,1755.0
04/06/2023 03:05:00,EDT,Dual Fuel,2624.0
04/06/2023 03:05:00,EDT,Natural Gas,2183.0
04/06/2023 03:05:00,EDT,Nuclear,2650.0
04/06/2023 03:05:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:05:00,EDT,Other Renewables,181.0
04/06/2023 03:05:00,EDT,Wind,1273.0
04/06/2023 03:05:00,EDT,Hydro,1902.0
04/06/2023 03:10:00,EDT,Dual Fuel,2645.0
04/06/2023 03:10:00,EDT,Natural Gas,2180.0
04/06/2023 03:10:00,EDT,Nuclear,2652.0
04/06/2023 03:10:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:10:00,EDT,Other Renewables,191.0
04/06/2023 03:10:00,EDT,Wind,1268.0
04/06/2023 03:10:00,EDT,Hydro,2031.0
04/06/2023 03:15:00,EDT,Dual Fuel,2626.0
04/06/2023 03:15:00,EDT,Natural Gas,2156.0
04/06/2023 03:15:00,EDT,Nuclear,2651.0
04/06/2023 03:15:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:15:00,EDT,Other Renewables,188.0
04/06/2023 03:15:00,EDT,Wind,1293.0
04/06/2023 03:15:00,EDT,Hydro,2105.0
04/06/2023 03:20:00,EDT,Dual Fuel,2599.0
04/06/2023 03:20:00,EDT,Natural Gas,2163.0
04/06/2023 03:20:00,EDT,Nuclear,2652.0
04/06/2023 03:20:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:20:00,EDT,Other Renewables,192.0
04/06/2023 03:20:00,EDT,Wind,1318.0
04/06/2023 03:20:00,EDT,Hydro,2140.0
04/06/2023 03:25:00,EDT,Dual Fuel,2528.0
04/06/2023 03:25:00,EDT,Natural Gas,2134.0
04/06/2023 03:25:00,EDT,Nuclear,2651.0
04/06/2023 03:25:00,EDT,Other Fossil Fuels,2.0
04/06/2023 03:25:00,EDT,Other Renewables,194.0
04/06/2023 03:25:00,EDT,Wind,1300.0
04/06/2023 03:25:00,EDT,Hydro,2200.0
04/06/2023 03:30:00,EDT,Dual Fuel,2565.0
04/06/2023 03:30:00,EDT,Natural Gas,2140.0
04/06/2023 03:30:00,EDT,Nuclear,2653.0
04/06/2023 03:30:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:30:00,EDT,Other Renewables,174.0
04/06/2023 03:30:00,EDT,Wind,1248.0
04/06/2023 03:30:00,EDT,Hydro,2193.0
04/06/2023 03:35:00,EDT,Dual Fuel,2591.0
04/06/2023 03:35:00,EDT,Natural Gas,2136.0
04/06/2023 03:35:00,EDT,Nuclear,2651.0
04/06/2023 03:35:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:35:00,EDT,Other Renewables,172.0
04/06/2023 03:35:00,EDT,Wind,1202.0
04/06/2023 03:35:00,EDT,Hydro,2252.0
04/06/2023 03:40:00,EDT,Dual Fuel,2657.0
04/06/2023 03:40:00,EDT,Natural Gas,2126.0
04/06/2023 03:40:00,EDT,Nuclear,2651.0
04/06/2023 03:40:00,EDT,Other Fossil Fuels,1.0
04/06/2023 03:40:00,EDT,Other Renewables,171.0
04/06/2023 03:40:00,EDT,Wind,1128.0
04/06/2023 03:40:00,EDT,Hydro,2292.0
04/06/2023 03:45:00,EDT,Dual Fuel,2646.0
04/06/2023 03:45:00,EDT,Natural Gas,2122.0
04/06/2023 03:45:00,EDT,Nuclear,2651.0
04/06/2023 03:45:00,EDT,Other Fossil Fuels,2.0
04/06/2023 03:45:00,EDT,Other Renewables,171.0
04/06/2023 03:45:00,EDT,Wind,1061.0
04/06/2023 03:45:00,EDT,Hydro,2357.0
04/06/2023 03:50:00,EDT,Dual Fuel,2625.0
04/06/2023 03:50:00,EDT,Natural Gas,2122.0
04/06/2023 03:50:00,EDT,Nuclear,2653.0
04/06/2023 03:50:00,EDT,Other Fossil Fuels,2.0
04/06/2023 03:50:00,EDT,Other Renewables,187.0
04/06/2023 03:50:00,EDT,Wind,977.0
04/06/2023 03:50:00,EDT,Hydro,2394.0
