"Statistic","IESO","HydroQC","NYISO","ISONE"
"load_mw",15429.3031645134,21545.8407360103,17299.0755375748,13239.3724854855
"gen_mw",16688.2812951787,24992.2831292912,14611.6816914758,11044.3475071455
"renewable_mw",15130.2124974184,24429.1117695666,7798.85799934492,4976.29536780153
"variable_mw",1469.67280905065,1265.13917475617,517.198436484526,469.560032880668
"fossil_mw",1558.06879776029,563.171359724613,6812.82369213087,6068.05213934395
