Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,New York Independent System Operator,US-NY-NYIS,189.97,252.81,56.09,30.66,nyiso.com,false,
2021-01-01 01:00:00,USA,New York Independent System Operator,US-NY-NYIS,184.55,246.39,57.14,30.99,nyiso.com,false,
2021-01-01 02:00:00,USA,New York Independent System Operator,US-NY-NYIS,177.86,237.35,59.24,31.5,nyiso.com,false,
2021-01-01 03:00:00,USA,New York Independent System Operator,US-NY-NYIS,163.34,219.25,62.75,33.19,nyiso.com,false,
2021-01-01 04:00:00,USA,New York Independent System Operator,US-NY-NYIS,158.1,212.15,64.39,33.18,nyiso.com,false,
2021-01-01 05:00:00,USA,New York Independent System Operator,US-NY-NYIS,157.48,211.18,64.68,32.59,nyiso.com,false,
2021-01-01 06:00:00,USA,New York Independent System Operator,US-NY-NYIS,155.15,208.38,64.95,30.97,nyiso.com,false,
2021-01-01 07:00:00,USA,New York Independent System Operator,US-NY-NYIS,147.6,198.63,67.02,31.72,nyiso.com,false,
2021-01-01 08:00:00,USA,New York Independent System Operator,US-NY-NYIS,148.12,199.66,66.6,31.43,nyiso.com,false,
2021-01-01 09:00:00,USA,New York Independent System Operator,US-NY-NYIS,148.89,200.93,66.25,31.89,nyiso.com,false,
2021-01-01 10:00:00,USA,New York Independent System Operator,US-NY-NYIS,150.19,202.87,65.61,31.68,nyiso.com,false,
2021-01-01 11:00:00,USA,New York Independent System Operator,US-NY-NYIS,149.36,201.98,65.7,32.9,nyiso.com,false,
2021-01-01 12:00:00,USA,New York Independent System Operator,US-NY-NYIS,149.81,202.66,65.49,33.65,nyiso.com,false,
2021-01-01 13:00:00,USA,New York Independent System Operator,US-NY-NYIS,154.86,209.29,64.21,34.21,nyiso.com,false,
2021-01-01 14:00:00,USA,New York Independent System Operator,US-NY-NYIS,158.28,213.32,63.55,33.79,nyiso.com,false,
2021-01-01 15:00:00,USA,New York Independent System Operator,US-NY-NYIS,155.86,210.63,63.92,34.43,nyiso.com,false,
2021-01-01 16:00:00,USA,New York Independent System Operator,US-NY-NYIS,160.92,217.49,62.33,34.0,nyiso.com,false,
2021-01-01 17:00:00,USA,New York Independent System Operator,US-NY-NYIS,160.19,216.26,62.67,33.76,nyiso.com,false,
2021-01-01 18:00:00,USA,New York Independent System Operator,US-NY-NYIS,160.36,216.93,62.33,33.89,nyiso.com,false,
2021-01-01 19:00:00,USA,New York Independent System Operator,US-NY-NYIS,164.12,221.07,61.68,33.08,nyiso.com,false,
2021-01-01 20:00:00,USA,New York Independent System Operator,US-NY-NYIS,164.97,222.54,61.16,33.18,nyiso.com,false,
2021-01-01 21:00:00,USA,New York Independent System Operator,US-NY-NYIS,174.76,234.59,59.01,32.46,nyiso.com,false,
2021-01-01 22:00:00,USA,New York Independent System Operator,US-NY-NYIS,185.73,248.31,56.45,31.6,nyiso.com,false,
