Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
03/07/2019 00:00,CENTRAL EAST - VC,23330,2570.29,2670,-9999
03/07/2019 00:00,DYSINGER EAST,23326,1245.68,3150,-9999
03/07/2019 00:00,MOSES SOUTH,23319,1956.03,3000,-1600
03/07/2019 00:00,SCH - HQ - NY,23324,1430,1500,-1000
03/07/2019 00:00,SCH - HQ_CEDARS,325274,160,160,-100
03/07/2019 00:00,SCH - HQ_IMPORT_EXPORT,325376,1280,1310,-9999
03/07/2019 00:00,SCH - NE - NY,23318,-699.69,600,-900
03/07/2019 00:00,SCH - NPX_1385,325277,-100,100,-100
03/07/2019 00:00,SCH - NPX_CSC,325154,0,330,-330
03/07/2019 00:00,SCH - OH - NY,23317,813.26,2050,-2000
03/07/2019 00:00,SCH - PJ - NY,23316,1077.53,2000,-1300
03/07/2019 00:00,SCH - PJM_HTP,325905,125,660,-660
03/07/2019 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
03/07/2019 00:00,SCH - PJM_VFT,325658,315,315,-315
03/07/2019 00:00,SPR/DUN-SOUTH,23320,2865.25,4600,-9999
03/07/2019 00:00,TOTAL EAST,23314,4396,6800,-9999
03/07/2019 00:00,UPNY CONED,23315,2396.03,5700,-9999
03/07/2019 00:00,WEST CENTRAL,23312,707,9999,-9999
03/07/2019 00:05,CENTRAL EAST - VC,23330,2540.57,2640,-9999
03/07/2019 00:05,DYSINGER EAST,23326,1397.99,3150,-9999
03/07/2019 00:05,MOSES SOUTH,23319,1947.3,3000,-1600
03/07/2019 00:05,SCH - HQ - NY,23324,1430,1500,-1000
03/07/2019 00:05,SCH - HQ_CEDARS,325274,160,160,-100
03/07/2019 00:05,SCH - HQ_IMPORT_EXPORT,325376,1280,1310,-9999
03/07/2019 00:05,SCH - NE - NY,23318,-699.65,600,-900
03/07/2019 00:05,SCH - NPX_1385,325277,-100,100,-100
03/07/2019 00:05,SCH - NPX_CSC,325154,0,330,-330
03/07/2019 00:05,SCH - OH - NY,23317,917.35,2050,-2000
03/07/2019 00:05,SCH - PJ - NY,23316,828.51,2000,-1300
03/07/2019 00:05,SCH - PJM_HTP,325905,175,660,-660
03/07/2019 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
03/07/2019 00:05,SCH - PJM_VFT,325658,315,315,-315
03/07/2019 00:05,SPR/DUN-SOUTH,23320,2858.65,4600,-9999
03/07/2019 00:05,TOTAL EAST,23314,4454.81,6800,-9999
03/07/2019 00:05,UPNY CONED,23315,2391.3,5700,-9999
03/07/2019 00:05,WEST CENTRAL,23312,862.83,9999,-9999
03/07/2019 00:10,CENTRAL EAST - VC,23330,2538.52,2640,-9999
03/07/2019 00:10,DYSINGER EAST,23326,1307.32,3150,-9999
03/07/2019 00:10,MOSES SOUTH,23319,1953.68,3000,-1600
03/07/2019 00:10,SCH - HQ - NY,23324,1430,1500,-1000
03/07/2019 00:10,SCH - HQ_CEDARS,325274,160,160,-100
03/07/2019 00:10,SCH - HQ_IMPORT_EXPORT,325376,1280,1310,-9999
03/07/2019 00:10,SCH - NE - NY,23318,-699.65,600,-900
03/07/2019 00:10,SCH - NPX_1385,325277,-100,100,-100
03/07/2019 00:10,SCH - NPX_CSC,325154,0,330,-330
