Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
01/16/2021 00:00,CENTRAL EAST - VC,23330,2442.27,2650,-9999
01/16/2021 00:00,DYSINGER EAST,23326,1056.86,3150,-9999
01/16/2021 00:00,MOSES SOUTH,23319,2154.95,3000,-1600
01/16/2021 00:00,SCH - HQ - NY,23324,1500,1500,-1000
01/16/2021 00:00,SCH - HQ_CEDARS,325274,199,199,-100
01/16/2021 00:00,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
01/16/2021 00:00,SCH - NE - NY,23318,-1222.68,1400,-1700
01/16/2021 00:00,SCH - NPX_1385,325277,200,200,-200
01/16/2021 00:00,SCH - NPX_CSC,325154,0,0,0
01/16/2021 00:00,SCH - OH - NY,23317,850.11,1450,-1400
01/16/2021 00:00,SCH - PJ - NY,23316,72.84,2550,-1900
01/16/2021 00:00,SCH - PJM_HTP,325905,60,660,-660
01/16/2021 00:00,SCH - PJM_NEPTUNE,325305,0,0,0
01/16/2021 00:00,SCH - PJM_VFT,325658,304,315,-315
01/16/2021 00:00,SPR/DUN-SOUTH,23320,2225.31,4600,-9999
01/16/2021 00:00,TOTAL EAST,23314,4167.25,6800,-9999
01/16/2021 00:00,UPNY CONED,23315,2299.9,5315,-9999
01/16/2021 00:00,WEST CENTRAL,23312,667.12,9999,-9999
01/16/2021 00:05,CENTRAL EAST - VC,23330,2481.09,2650,-9999
01/16/2021 00:05,DYSINGER EAST,23326,1023.99,3150,-9999
01/16/2021 00:05,MOSES SOUTH,23319,2174.04,3000,-1600
01/16/2021 00:05,SCH - HQ - NY,23324,1500,1500,-1000
01/16/2021 00:05,SCH - HQ_CEDARS,325274,199,199,-100
01/16/2021 00:05,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
01/16/2021 00:05,SCH - NE - NY,23318,-1091.75,1400,-1700
01/16/2021 00:05,SCH - NPX_1385,325277,200,200,-200
01/16/2021 00:05,SCH - NPX_CSC,325154,0,0,0
01/16/2021 00:05,SCH - OH - NY,23317,850.13,1450,-1400
01/16/2021 00:05,SCH - PJ - NY,23316,182.09,2550,-1900
01/16/2021 00:05,SCH - PJM_HTP,325905,60,660,-660
01/16/2021 00:05,SCH - PJM_NEPTUNE,325305,0,0,0
01/16/2021 00:05,SCH - PJM_VFT,325658,315,315,-315
01/16/2021 00:05,SPR/DUN-SOUTH,23320,2319.61,4600,-9999
01/16/2021 00:05,TOTAL EAST,23314,4174.03,6800,-9999
01/16/2021 00:05,UPNY CONED,23315,2386.9,5315,-9999
01/16/2021 00:05,WEST CENTRAL,23312,636.35,9999,-9999
01/16/2021 00:10,CENTRAL EAST - VC,23330,2508.12,2650,-9999
01/16/2021 00:10,DYSINGER EAST,23326,1052.66,3150,-9999
01/16/2021 00:10,MOSES SOUTH,23319,2226.93,3000,-1600
01/16/2021 00:10,SCH - HQ - NY,23324,1500.13,1500,-1000
01/16/2021 00:10,SCH - HQ_CEDARS,325274,198.99,199,-100
01/16/2021 00:10,SCH - HQ_IMPORT_EXPORT,325376,1200.13,1310,-9999
01/16/2021 00:10,SCH - NE - NY,23318,-1095.56,1400,-1700
01/16/2021 00:10,SCH - NPX_1385,325277,200,200,-200
01/16/2021 00:10,SCH - NPX_CSC,325154,0,0,0
01/16/2021 00:10,SCH - OH - NY,23317,847.7,1450,-1400
01/16/2021 00:10,SCH - PJ - NY,23316,187.63,2550,-1900
01/16/2021 00:10,SCH - PJM_HTP,325905,60.01,660,-660
01/16/2021 00:10,SCH - PJM_NEPTUNE,325305,0,0,0
01/16/2021 00:10,SCH - PJM_VFT,325658,314.98,315,-315
01/16/2021 00:10,SPR/DUN-SOUTH,23320,2298.13,4600,-9999
01/16/2021 00:10,TOTAL EAST,23314,4201.43,6800,-9999
01/16/2021 00:10,UPNY CONED,23315,2364.82,5315,-9999
01/16/2021 00:10,WEST CENTRAL,23312,665.23,9999,-9999
01/16/2021 00:15,CENTRAL EAST - VC,23330,2465.48,2650,-9999
01/16/2021 00:15,DYSINGER EAST,23326,1108.04,3150,-9999
01/16/2021 00:15,MOSES SOUTH,23319,2136.21,3000,-1600
01/16/2021 00:15,SCH - HQ - NY,23324,1500.07,1500,-1000
01/16/2021 00:15,SCH - HQ_CEDARS,325274,199,199,-100
01/16/2021 00:15,SCH - HQ_IMPORT_EXPORT,325376,1200.07,1310,-9999
01/16/2021 00:15,SCH - NE - NY,23318,-984.52,1400,-1700
01/16/2021 00:15,SCH - NPX_1385,325277,200,200,-200
01/16/2021 00:15,SCH - NPX_CSC,325154,0,0,0
01/16/2021 00:15,SCH - OH - NY,23317,847.59,1450,-1400
01/16/2021 00:15,SCH - PJ - NY,23316,190.06,2550,-1900
01/16/2021 00:15,SCH - PJM_HTP,325905,71,660,-660
01/16/2021 00:15,SCH - PJM_NEPTUNE,325305,0,0,0
01/16/2021 00:15,SCH - PJM_VFT,325658,314.99,315,-315
01/16/2021 00:15,SPR/DUN-SOUTH,23320,2339.07,4600,-9999
01/16/2021 00:15,TOTAL EAST,23314,4167.83,6800,-9999
01/16/2021 00:15,UPNY CONED,23315,2386.53,5315,-9999
01/16/2021 00:15,WEST CENTRAL,23312,721.45,9999,-9999
01/16/2021 00:20,CENTRAL EAST - VC,23330,2399.03,2595,-9999
01/16/2021 00:20,DYSINGER EAST,23326,972.51,3150,-9999
01/16/2021 00:20,MOSES SOUTH,23319,2143.14,3000,-1600
01/16/2021 00:20,SCH - HQ - NY,23324,1500.04,1500,-1000
01/16/2021 00:20,SCH - HQ_CEDARS,325274,199,199,-100
01/16/2021 00:20,SCH - HQ_IMPORT_EXPORT,325376,1200.05,1310,-9999
01/16/2021 00:20,SCH - NE - NY,23318,-872.01,1400,-1700
01/16/2021 00:20,SCH - NPX_1385,325277,200,200,-200
01/16/2021 00:20,SCH - NPX_CSC,325154,0,0,0
01/16/2021 00:20,SCH - OH - NY,23317,847.61,1450,-1400
01/16/2021 00:20,SCH - PJ - NY,23316,182.66,2550,-1900
01/16/2021 00:20,SCH - PJM_HTP,325905,82.99,660,-660
01/16/2021 00:20,SCH - PJM_NEPTUNE,325305,0,0,0
01/16/2021 00:20,SCH - PJM_VFT,325658,315.01,315,-315
01/16/2021 00:20,SPR/DUN-SOUTH,23320,2367.82,4600,-9999
01/16/2021 00:20,TOTAL EAST,23314,4104.42,6800,-9999
01/16/2021 00:20,UPNY CONED,23315,2408.41,5315,-9999
01/16/2021 00:20,WEST CENTRAL,23312,591.93,9999,-9999
01/16/2021 00:25,CENTRAL EAST - VC,23330,2445.12,2595,-9999
01/16/2021 00:25,DYSINGER EAST,23326,941.3,3150,-9999
01/16/2021 00:25,MOSES SOUTH,23319,2133.03,3000,-1600
01/16/2021 00:25,SCH - HQ - NY,23324,1499.87,1500,-1000
01/16/2021 00:25,SCH - HQ_CEDARS,325274,199.01,199,-100
01/16/2021 00:25,SCH - HQ_IMPORT_EXPORT,325376,1199.87,1310,-9999
01/16/2021 00:25,SCH - NE - NY,23318,-872.91,1400,-1700
01/16/2021 00:25,SCH - NPX_1385,325277,200,200,-200
01/16/2021 00:25,SCH - NPX_CSC,325154,0,0,0
01/16/2021 00:25,SCH - OH - NY,23317,847.66,1450,-1400
