Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
12/28/2019 00:00,CENTRAL EAST - VC,23330,1957.73,2300,-9999
12/28/2019 00:00,DYSINGER EAST,23326,871.75,3150,-9999
12/28/2019 00:00,MOSES SOUTH,23319,1021.24,2850,-1600
12/28/2019 00:00,SCH - HQ - NY,23324,409,1230,-500
12/28/2019 00:00,SCH - HQ_CEDARS,325274,0,199,-100
12/28/2019 00:00,SCH - HQ_IMPORT_EXPORT,325376,359,1310,-9999
12/28/2019 00:00,SCH - NE - NY,23318,-987.28,1400,-1700
12/28/2019 00:00,SCH - NPX_1385,325277,0,200,-200
12/28/2019 00:00,SCH - NPX_CSC,325154,0,330,-330
12/28/2019 00:00,SCH - OH - NY,23317,571.54,2050,-1900
12/28/2019 00:00,SCH - PJ - NY,23316,115.84,2550,-1600
12/28/2019 00:00,SCH - PJM_HTP,325905,200,660,-660
12/28/2019 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
12/28/2019 00:00,SCH - PJM_VFT,325658,157,315,-315
12/28/2019 00:00,SPR/DUN-SOUTH,23320,2355.49,4600,-9999
12/28/2019 00:00,TOTAL EAST,23314,3110.28,6800,-9999
12/28/2019 00:00,UPNY CONED,23315,1668.95,5700,-9999
12/28/2019 00:00,WEST CENTRAL,23312,540.6,9999,-9999
12/28/2019 00:05,CENTRAL EAST - VC,23330,1840.23,2300,-9999
12/28/2019 00:05,DYSINGER EAST,23326,890.3,3150,-9999
12/28/2019 00:05,MOSES SOUTH,23319,774.25,2850,-1600
12/28/2019 00:05,SCH - HQ - NY,23324,154,1230,-500
12/28/2019 00:05,SCH - HQ_CEDARS,325274,0,199,-100
12/28/2019 00:05,SCH - HQ_IMPORT_EXPORT,325376,104,1310,-9999
12/28/2019 00:05,SCH - NE - NY,23318,-838.46,1400,-1700
12/28/2019 00:05,SCH - NPX_1385,325277,0,200,-200
12/28/2019 00:05,SCH - NPX_CSC,325154,0,330,-330
12/28/2019 00:05,SCH - OH - NY,23317,460.57,2050,-1900
12/28/2019 00:05,SCH - PJ - NY,23316,303.31,2550,-1600
12/28/2019 00:05,SCH - PJM_HTP,325905,200,660,-660
12/28/2019 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
12/28/2019 00:05,SCH - PJM_VFT,325658,315,315,-315
12/28/2019 00:05,SPR/DUN-SOUTH,23320,2232.98,4600,-9999
