Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
10/05/2022 00:00,CENTRAL EAST - VC,23330,1403.1,1630,-9999
10/05/2022 00:00,DYSINGER EAST,23326,678.14,3200,-9999
10/05/2022 00:00,MOSES SOUTH,23319,951.93,3000,-1600
10/05/2022 00:00,SCH - HQ - NY,23324,556,1500,-1000
10/05/2022 00:00,SCH - HQ_CEDARS,325274,180,240,0
10/05/2022 00:00,SCH - HQ_IMPORT_EXPORT,325376,256,1310,-9999
10/05/2022 00:00,SCH - NE - NY,23318,-412.24,300,-1100
10/05/2022 00:00,SCH - NPX_1385,325277,65.98,125,-200
10/05/2022 00:00,SCH - NPX_CSC,325154,0,0,0
10/05/2022 00:00,SCH - OH - NY,23317,798.84,1150,-1200
10/05/2022 00:00,SCH - PJ - NY,23316,1158.16,2000,-1150
10/05/2022 00:00,SCH - PJM_HTP,325905,50.01,660,-660
10/05/2022 00:00,SCH - PJM_NEPTUNE,325305,660.07,660,-660
10/05/2022 00:00,SCH - PJM_VFT,325658,315.02,315,-315
10/05/2022 00:00,SPR/DUN-SOUTH,23320,2447.02,4600,-9999
10/05/2022 00:00,TOTAL EAST,23314,3036.14,6000,-9999
10/05/2022 00:00,UPNY CONED,23315,3341.5,5445,-9999
10/05/2022 00:00,WEST CENTRAL,23312,387.35,9999,-9999
10/05/2022 00:05,CENTRAL EAST - VC,23330,1522.36,1630,-9999
10/05/2022 00:05,DYSINGER EAST,23326,737.69,3200,-9999
10/05/2022 00:05,MOSES SOUTH,23319,995.38,3000,-1600
10/05/2022 00:05,SCH - HQ - NY,23324,577.01,1500,-1000
10/05/2022 00:05,SCH - HQ_CEDARS,325274,180,240,0
10/05/2022 00:05,SCH - HQ_IMPORT_EXPORT,325376,277,1310,-9999
10/05/2022 00:05,SCH - NE - NY,23318,-561.66,300,-1100
10/05/2022 00:05,SCH - NPX_1385,325277,46.97,125,-200
10/05/2022 00:05,SCH - NPX_CSC,325154,0,0,0
10/05/2022 00:05,SCH - OH - NY,23317,816.8,1150,-1200
10/05/2022 00:05,SCH - PJ - NY,23316,1337.73,2000,-1150
10/05/2022 00:05,SCH - PJM_HTP,325905,0,660,-660
10/05/2022 00:05,SCH - PJM_NEPTUNE,325305,660.12,660,-660
10/05/2022 00:05,SCH - PJM_VFT,325658,315.05,315,-315
10/05/2022 00:05,SPR/DUN-SOUTH,23320,2488.25,4600,-9999
10/05/2022 00:05,TOTAL EAST,23314,3246.17,6000,-9999
10/05/2022 00:05,UPNY CONED,23315,3408.2,5445,-9999
10/05/2022 00:05,WEST CENTRAL,23312,449.09,9999,-9999
10/05/2022 00:10,CENTRAL EAST - VC,23330,1511.45,1630,-9999
10/05/2022 00:10,DYSINGER EAST,23326,689.55,3200,-9999
10/05/2022 00:10,MOSES SOUTH,23319,984.53,3000,-1600
10/05/2022 00:10,SCH - HQ - NY,23324,577,1500,-1000
10/05/2022 00:10,SCH - HQ_CEDARS,325274,180,240,0
10/05/2022 00:10,SCH - HQ_IMPORT_EXPORT,325376,277,1310,-9999
10/05/2022 00:10,SCH - NE - NY,23318,-560.99,300,-1100
10/05/2022 00:10,SCH - NPX_1385,325277,47,125,-200
10/05/2022 00:10,SCH - NPX_CSC,325154,0,0,0
10/05/2022 00:10,SCH - OH - NY,23317,816.89,1150,-1200
10/05/2022 00:10,SCH - PJ - NY,23316,1339.86,2000,-1150
10/05/2022 00:10,SCH - PJM_HTP,325905,0,660,-660
10/05/2022 00:10,SCH - PJM_NEPTUNE,325305,659.99,660,-660
10/05/2022 00:10,SCH - PJM_VFT,325658,314.99,315,-315
10/05/2022 00:10,SPR/DUN-SOUTH,23320,2454.4,4600,-9999
