Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
11/04/2021 00:00,CENTRAL EAST - VC,23330,1379.15,1675,-9999
11/04/2021 00:00,DYSINGER EAST,23326,134,2500,-9999
11/04/2021 00:00,MOSES SOUTH,23319,1772.3,2850,-1600
11/04/2021 00:00,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:00,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:00,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:00,SCH - NE - NY,23318,6.46,1400,-1700
11/04/2021 00:00,SCH - NPX_1385,325277,116,200,-200
11/04/2021 00:00,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:00,SCH - OH - NY,23317,606.34,1800,-1500
11/04/2021 00:00,SCH - PJ - NY,23316,-332.99,2550,-1900
11/04/2021 00:00,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:00,SCH - PJM_NEPTUNE,325305,237,660,-660
11/04/2021 00:00,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:00,SPR/DUN-SOUTH,23320,2179.73,4600,-9999
11/04/2021 00:00,TOTAL EAST,23314,2647.05,6800,-9999
11/04/2021 00:00,UPNY CONED,23315,3789.8,5190,-9999
11/04/2021 00:00,WEST CENTRAL,23312,-243.71,9999,-9999
11/04/2021 00:05,CENTRAL EAST - VC,23330,1399.91,1615,-9999
11/04/2021 00:05,DYSINGER EAST,23326,255.87,2500,-9999
11/04/2021 00:05,MOSES SOUTH,23319,1772.9,2850,-1600
11/04/2021 00:05,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:05,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:05,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:05,SCH - NE - NY,23318,-48.49,1400,-1700
11/04/2021 00:05,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:05,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:05,SCH - OH - NY,23317,892.23,1800,-1500
11/04/2021 00:05,SCH - PJ - NY,23316,-394.44,2550,-1900
11/04/2021 00:05,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:05,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:05,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:05,SPR/DUN-SOUTH,23320,2074.02,4600,-9999
11/04/2021 00:05,TOTAL EAST,23314,2687.78,6800,-9999
11/04/2021 00:05,UPNY CONED,23315,3787.24,5190,-9999
11/04/2021 00:05,WEST CENTRAL,23312,-117.14,9999,-9999
11/04/2021 00:10,CENTRAL EAST - VC,23330,1394.54,1615,-9999
11/04/2021 00:10,DYSINGER EAST,23326,189.24,2500,-9999
11/04/2021 00:10,MOSES SOUTH,23319,1786.53,2850,-1600
11/04/2021 00:10,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:10,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:10,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:10,SCH - NE - NY,23318,-48.61,1400,-1700
11/04/2021 00:10,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:10,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:10,SCH - OH - NY,23317,892.11,1800,-1500
11/04/2021 00:10,SCH - PJ - NY,23316,-393.5,2550,-1900
11/04/2021 00:10,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:10,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:10,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:10,SPR/DUN-SOUTH,23320,2034.19,4600,-9999
11/04/2021 00:10,TOTAL EAST,23314,2565.46,6800,-9999
11/04/2021 00:10,UPNY CONED,23315,3725.21,5190,-9999
11/04/2021 00:10,WEST CENTRAL,23312,-187.87,9999,-9999
11/04/2021 00:15,CENTRAL EAST - VC,23330,1385.13,1615,-9999
11/04/2021 00:15,DYSINGER EAST,23326,134.15,2500,-9999
11/04/2021 00:15,MOSES SOUTH,23319,1780.31,2850,-1600
11/04/2021 00:15,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:15,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:15,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:15,SCH - NE - NY,23318,-58.61,1400,-1700
11/04/2021 00:15,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:15,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:15,SCH - OH - NY,23317,892.18,1800,-1500
11/04/2021 00:15,SCH - PJ - NY,23316,-395.45,2550,-1900
11/04/2021 00:15,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:15,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:15,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:15,SPR/DUN-SOUTH,23320,2000.39,4600,-9999
11/04/2021 00:15,TOTAL EAST,23314,2568.14,6800,-9999
11/04/2021 00:15,UPNY CONED,23315,3675.92,5190,-9999
11/04/2021 00:15,WEST CENTRAL,23312,-240.45,9999,-9999
11/04/2021 00:20,CENTRAL EAST - VC,23330,1387.96,1615,-9999
11/04/2021 00:20,DYSINGER EAST,23326,151.31,2500,-9999
11/04/2021 00:20,MOSES SOUTH,23319,1781.03,2850,-1600
11/04/2021 00:20,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:20,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:20,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:20,SCH - NE - NY,23318,-69.62,1400,-1700
11/04/2021 00:20,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:20,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:20,SCH - OH - NY,23317,892.16,1800,-1500
11/04/2021 00:20,SCH - PJ - NY,23316,-394.57,2550,-1900
11/04/2021 00:20,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:20,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:20,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:20,SPR/DUN-SOUTH,23320,2014.22,4600,-9999
11/04/2021 00:20,TOTAL EAST,23314,2583.4,6800,-9999
11/04/2021 00:20,UPNY CONED,23315,3681.49,5190,-9999
11/04/2021 00:20,WEST CENTRAL,23312,-219,9999,-9999
11/04/2021 00:25,CENTRAL EAST - VC,23330,1408.91,1615,-9999
11/04/2021 00:25,DYSINGER EAST,23326,206.96,2500,-9999
11/04/2021 00:25,MOSES SOUTH,23319,1791.17,2850,-1600
11/04/2021 00:25,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:25,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:25,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:25,SCH - NE - NY,23318,-69.62,1400,-1700
11/04/2021 00:25,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:25,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:25,SCH - OH - NY,23317,892.09,1800,-1500
11/04/2021 00:25,SCH - PJ - NY,23316,-396.38,2550,-1900
11/04/2021 00:25,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:25,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:25,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:25,SPR/DUN-SOUTH,23320,2058.49,4600,-9999
11/04/2021 00:25,TOTAL EAST,23314,2593.08,6800,-9999
11/04/2021 00:25,UPNY CONED,23315,3721.26,5190,-9999
11/04/2021 00:25,WEST CENTRAL,23312,-160.62,9999,-9999
11/04/2021 00:30,CENTRAL EAST - VC,23330,1433.31,1615,-9999
11/04/2021 00:30,DYSINGER EAST,23326,242.73,2500,-9999
11/04/2021 00:30,MOSES SOUTH,23319,1788.93,2850,-1600
11/04/2021 00:30,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:30,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:30,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:30,SCH - NE - NY,23318,-115.5,1400,-1700
11/04/2021 00:30,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:30,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:30,SCH - OH - NY,23317,892.05,1800,-1500
11/04/2021 00:30,SCH - PJ - NY,23316,-346.27,2550,-1900
11/04/2021 00:30,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:30,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:30,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:30,SPR/DUN-SOUTH,23320,2055.87,4600,-9999
11/04/2021 00:30,TOTAL EAST,23314,2641.52,6800,-9999
11/04/2021 00:30,UPNY CONED,23315,3711.48,5190,-9999
11/04/2021 00:30,WEST CENTRAL,23312,-122.5,9999,-9999
11/04/2021 00:35,CENTRAL EAST - VC,23330,1440.81,1615,-9999
11/04/2021 00:35,DYSINGER EAST,23326,215.24,2500,-9999
11/04/2021 00:35,MOSES SOUTH,23319,1777.55,2850,-1600
11/04/2021 00:35,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:35,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:35,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:35,SCH - NE - NY,23318,-161.52,1400,-1700
11/04/2021 00:35,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:35,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:35,SCH - OH - NY,23317,892.13,1800,-1500
11/04/2021 00:35,SCH - PJ - NY,23316,-294.12,2550,-1900
11/04/2021 00:35,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:35,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:35,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:35,SPR/DUN-SOUTH,23320,2062.82,4600,-9999
11/04/2021 00:35,TOTAL EAST,23314,2705.22,6800,-9999
11/04/2021 00:35,UPNY CONED,23315,3703.62,5190,-9999
11/04/2021 00:35,WEST CENTRAL,23312,-150.03,9999,-9999
11/04/2021 00:40,CENTRAL EAST - VC,23330,1460.24,1615,-9999
11/04/2021 00:40,DYSINGER EAST,23326,214.05,2500,-9999
11/04/2021 00:40,MOSES SOUTH,23319,1768.61,2850,-1600
11/04/2021 00:40,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:40,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:40,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:40,SCH - NE - NY,23318,-161.46,1400,-1700
11/04/2021 00:40,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:40,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:40,SCH - OH - NY,23317,892.17,1800,-1500
11/04/2021 00:40,SCH - PJ - NY,23316,-292.87,2550,-1900
11/04/2021 00:40,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:40,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:40,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:40,SPR/DUN-SOUTH,23320,2081.47,4600,-9999
11/04/2021 00:40,TOTAL EAST,23314,2718.67,6800,-9999
11/04/2021 00:40,UPNY CONED,23315,3708.98,5190,-9999
11/04/2021 00:40,WEST CENTRAL,23312,-149.93,9999,-9999
11/04/2021 00:45,CENTRAL EAST - VC,23330,1437.17,1615,-9999
11/04/2021 00:45,DYSINGER EAST,23326,164.21,2500,-9999
11/04/2021 00:45,MOSES SOUTH,23319,1766.66,2850,-1600
11/04/2021 00:45,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:45,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:45,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:45,SCH - NE - NY,23318,-176.43,1400,-1700
11/04/2021 00:45,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:45,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:45,SCH - OH - NY,23317,892.28,1800,-1500
11/04/2021 00:45,SCH - PJ - NY,23316,-344.27,2550,-1900
11/04/2021 00:45,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:45,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:45,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:45,SPR/DUN-SOUTH,23320,2063.77,4600,-9999
11/04/2021 00:45,TOTAL EAST,23314,2696.4,6800,-9999
11/04/2021 00:45,UPNY CONED,23315,3680.7,5190,-9999
11/04/2021 00:45,WEST CENTRAL,23312,-197.32,9999,-9999
11/04/2021 00:50,CENTRAL EAST - VC,23330,1432.84,1615,-9999
11/04/2021 00:50,DYSINGER EAST,23326,181.26,2500,-9999
11/04/2021 00:50,MOSES SOUTH,23319,1770.24,2850,-1600
11/04/2021 00:50,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:50,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:50,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:50,SCH - NE - NY,23318,-191.44,1400,-1700
11/04/2021 00:50,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:50,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:50,SCH - OH - NY,23317,892.1,1800,-1500
11/04/2021 00:50,SCH - PJ - NY,23316,-394.81,2550,-1900
11/04/2021 00:50,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:50,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:50,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:50,SPR/DUN-SOUTH,23320,2024.55,4600,-9999
11/04/2021 00:50,TOTAL EAST,23314,2667.18,6800,-9999
11/04/2021 00:50,UPNY CONED,23315,3631.6,5190,-9999
11/04/2021 00:50,WEST CENTRAL,23312,-177.61,9999,-9999
11/04/2021 00:55,CENTRAL EAST - VC,23330,1425.77,1615,-9999
11/04/2021 00:55,DYSINGER EAST,23326,139.73,2500,-9999
11/04/2021 00:55,MOSES SOUTH,23319,1775.59,2850,-1600
11/04/2021 00:55,SCH - HQ - NY,23324,1200,1200,-500
11/04/2021 00:55,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 00:55,SCH - HQ_IMPORT_EXPORT,325376,1125,1310,-9999
11/04/2021 00:55,SCH - NE - NY,23318,-191.46,1400,-1700
11/04/2021 00:55,SCH - NPX_1385,325277,142,200,-200
11/04/2021 00:55,SCH - NPX_CSC,325154,0,0,0
11/04/2021 00:55,SCH - OH - NY,23317,892.2,1800,-1500
11/04/2021 00:55,SCH - PJ - NY,23316,-394.84,2550,-1900
11/04/2021 00:55,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 00:55,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 00:55,SCH - PJM_VFT,325658,0,0,0
11/04/2021 00:55,SPR/DUN-SOUTH,23320,2027.19,4600,-9999
11/04/2021 00:55,TOTAL EAST,23314,2680.55,6800,-9999
11/04/2021 00:55,UPNY CONED,23315,3637.3,5190,-9999
11/04/2021 00:55,WEST CENTRAL,23312,-217.53,9999,-9999
11/04/2021 01:00,CENTRAL EAST - VC,23330,1466.3,1615,-9999
11/04/2021 01:00,DYSINGER EAST,23326,205.15,2500,-9999
11/04/2021 01:00,MOSES SOUTH,23319,1778.2,2850,-1600
11/04/2021 01:00,SCH - HQ - NY,23324,1195,1200,-500
11/04/2021 01:00,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 01:00,SCH - HQ_IMPORT_EXPORT,325376,1120,1310,-9999
11/04/2021 01:00,SCH - NE - NY,23318,-231.41,1400,-1700
11/04/2021 01:00,SCH - NPX_1385,325277,96,200,-200
11/04/2021 01:00,SCH - NPX_CSC,325154,0,0,0
11/04/2021 01:00,SCH - OH - NY,23317,910.12,1800,-1500
11/04/2021 01:00,SCH - PJ - NY,23316,-366.59,2550,-1900
11/04/2021 01:00,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 01:00,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 01:00,SCH - PJM_VFT,325658,0,0,0
11/04/2021 01:00,SPR/DUN-SOUTH,23320,2017.83,4600,-9999
11/04/2021 01:00,TOTAL EAST,23314,2751.71,6800,-9999
11/04/2021 01:00,UPNY CONED,23315,3672.25,5190,-9999
11/04/2021 01:00,WEST CENTRAL,23312,-149.19,9999,-9999
11/04/2021 01:05,CENTRAL EAST - VC,23330,1496.67,1615,-9999
11/04/2021 01:05,DYSINGER EAST,23326,216.04,2500,-9999
11/04/2021 01:05,MOSES SOUTH,23319,1769.88,2850,-1600
11/04/2021 01:05,SCH - HQ - NY,23324,1190,1200,-500
11/04/2021 01:05,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 01:05,SCH - HQ_IMPORT_EXPORT,325376,1115,1310,-9999
11/04/2021 01:05,SCH - NE - NY,23318,-271.27,1400,-1700
11/04/2021 01:05,SCH - NPX_1385,325277,50,200,-200
11/04/2021 01:05,SCH - NPX_CSC,325154,0,0,0
11/04/2021 01:05,SCH - OH - NY,23317,928.24,1800,-1500
11/04/2021 01:05,SCH - PJ - NY,23316,-335.25,2550,-1900
11/04/2021 01:05,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 01:05,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 01:05,SCH - PJM_VFT,325658,0,0,0
11/04/2021 01:05,SPR/DUN-SOUTH,23320,1997.37,4600,-9999
11/04/2021 01:05,TOTAL EAST,23314,2805.08,6800,-9999
11/04/2021 01:05,UPNY CONED,23315,3690.93,5190,-9999
11/04/2021 01:05,WEST CENTRAL,23312,-135.77,9999,-9999
11/04/2021 01:10,CENTRAL EAST - VC,23330,1515.55,1615,-9999
11/04/2021 01:10,DYSINGER EAST,23326,254.13,2500,-9999
11/04/2021 01:10,MOSES SOUTH,23319,1744.19,2850,-1600
11/04/2021 01:10,SCH - HQ - NY,23324,1190,1200,-500
11/04/2021 01:10,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 01:10,SCH - HQ_IMPORT_EXPORT,325376,1115,1310,-9999
11/04/2021 01:10,SCH - NE - NY,23318,-270.29,1400,-1700
11/04/2021 01:10,SCH - NPX_1385,325277,50,200,-200
11/04/2021 01:10,SCH - NPX_CSC,325154,0,0,0
11/04/2021 01:10,SCH - OH - NY,23317,928.16,1800,-1500
11/04/2021 01:10,SCH - PJ - NY,23316,-336.06,2550,-1900
11/04/2021 01:10,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 01:10,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 01:10,SCH - PJM_VFT,325658,0,0,0
11/04/2021 01:10,SPR/DUN-SOUTH,23320,1983.77,4600,-9999
11/04/2021 01:10,TOTAL EAST,23314,2789.98,6800,-9999
11/04/2021 01:10,UPNY CONED,23315,3660.05,5190,-9999
11/04/2021 01:10,WEST CENTRAL,23312,-97.23,9999,-9999
11/04/2021 01:15,CENTRAL EAST - VC,23330,1501.26,1615,-9999
11/04/2021 01:15,DYSINGER EAST,23326,275.44,2500,-9999
11/04/2021 01:15,MOSES SOUTH,23319,1692.65,2850,-1600
11/04/2021 01:15,SCH - HQ - NY,23324,1190,1200,-500
11/04/2021 01:15,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 01:15,SCH - HQ_IMPORT_EXPORT,325376,1115,1310,-9999
11/04/2021 01:15,SCH - NE - NY,23318,-226.27,1400,-1700
11/04/2021 01:15,SCH - NPX_1385,325277,50,200,-200
11/04/2021 01:15,SCH - NPX_CSC,325154,0,0,0
11/04/2021 01:15,SCH - OH - NY,23317,928.07,1800,-1500
11/04/2021 01:15,SCH - PJ - NY,23316,-321.02,2550,-1900
11/04/2021 01:15,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 01:15,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 01:15,SCH - PJM_VFT,325658,0,0,0
11/04/2021 01:15,SPR/DUN-SOUTH,23320,1900.31,4600,-9999
11/04/2021 01:15,TOTAL EAST,23314,2870.39,6800,-9999
11/04/2021 01:15,UPNY CONED,23315,3564.85,5190,-9999
11/04/2021 01:15,WEST CENTRAL,23312,-74.98,9999,-9999
11/04/2021 01:20,CENTRAL EAST - VC,23330,1500,1615,-9999
11/04/2021 01:20,DYSINGER EAST,23326,281.66,2500,-9999
11/04/2021 01:20,MOSES SOUTH,23319,1712.07,2850,-1600
11/04/2021 01:20,SCH - HQ - NY,23324,1190,1200,-500
11/04/2021 01:20,SCH - HQ_CEDARS,325274,279,279,-100
11/04/2021 01:20,SCH - HQ_IMPORT_EXPORT,325376,1115,1310,-9999
11/04/2021 01:20,SCH - NE - NY,23318,-181.48,1400,-1700
11/04/2021 01:20,SCH - NPX_1385,325277,50,200,-200
11/04/2021 01:20,SCH - NPX_CSC,325154,0,0,0
11/04/2021 01:20,SCH - OH - NY,23317,928.06,1800,-1500
11/04/2021 01:20,SCH - PJ - NY,23316,-305.08,2550,-1900
11/04/2021 01:20,SCH - PJM_HTP,325905,0,660,-660
11/04/2021 01:20,SCH - PJM_NEPTUNE,325305,100,660,-660
11/04/2021 01:20,SCH - PJM_VFT,325658,0,0,0
11/04/2021 01:20,SPR/DUN-SOUTH,23320,1951.82,4600,-9999
