Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
10/02/2023 00:00,CENTRAL EAST - VC,23330,784.37,1430,-9999
10/02/2023 00:00,DYSINGER EAST,23326,167.87,3200,-9999
10/02/2023 00:00,MOSES SOUTH,23319,475.89,3000,-1600
10/02/2023 00:00,SCH - HQ - NY,23324,108,1500,-425
10/02/2023 00:00,SCH - HQ_CEDARS,325274,0,200,0
10/02/2023 00:00,SCH - HQ_IMPORT_EXPORT,325376,-159,1310,-9999
10/02/2023 00:00,SCH - NE - NY,23318,453.32,1400,-1600
10/02/2023 00:00,SCH - NPX_1385,325277,105,200,-200
10/02/2023 00:00,SCH - NPX_CSC,325154,0,0,0
10/02/2023 00:00,SCH - OH - NY,23317,-2.58,1750,-1200
10/02/2023 00:00,SCH - PJ - NY,23316,1359.63,2200,-1200
10/02/2023 00:00,SCH - PJM_HTP,325905,630,660,-660
10/02/2023 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
10/02/2023 00:00,SCH - PJM_VFT,325658,315,315,-315
10/02/2023 00:00,SPR/DUN-SOUTH,23320,1623.9,4350,-9999
10/02/2023 00:00,TOTAL EAST,23314,2406.57,6150,-9999
10/02/2023 00:00,UPNY CONED,23315,2922.86,5260,-9999
10/02/2023 00:00,WEST CENTRAL,23312,-124.44,9999,-9999
10/02/2023 00:05,CENTRAL EAST - VC,23330,759.99,1340,-9999
10/02/2023 00:05,DYSINGER EAST,23326,134.21,3200,-9999
10/02/2023 00:05,MOSES SOUTH,23319,430.96,3000,-1600
10/02/2023 00:05,SCH - HQ - NY,23324,84,1500,-425
10/02/2023 00:05,SCH - HQ_CEDARS,325274,0,200,0
10/02/2023 00:05,SCH - HQ_IMPORT_EXPORT,325376,-183,1310,-9999
10/02/2023 00:05,SCH - NE - NY,23318,468.07,1400,-1600
10/02/2023 00:05,SCH - NPX_1385,325277,110,200,-200
10/02/2023 00:05,SCH - NPX_CSC,325154,0,0,0
10/02/2023 00:05,SCH - OH - NY,23317,-2.38,1750,-1200
