Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
06/11/2019 00:00,CENTRAL EAST - VC,23330,2407.27,2520,-9999
06/11/2019 00:00,DYSINGER EAST,23326,460.03,3150,-9999
06/11/2019 00:00,MOSES SOUTH,23319,2313.38,3150,-1600
06/11/2019 00:00,SCH - HQ - NY,23324,1236,1500,-800
06/11/2019 00:00,SCH - HQ_CEDARS,325274,75,190,-40
06/11/2019 00:00,SCH - HQ_IMPORT_EXPORT,325376,1026,1310,-9999
06/11/2019 00:00,SCH - NE - NY,23318,-1199.62,1400,-1600
06/11/2019 00:00,SCH - NPX_1385,325277,29,200,-200
06/11/2019 00:00,SCH - NPX_CSC,325154,100,330,-330
06/11/2019 00:00,SCH - OH - NY,23317,1097.76,1500,-1400
06/11/2019 00:00,SCH - PJ - NY,23316,-173.07,1800,-1100
06/11/2019 00:00,SCH - PJM_HTP,325905,100,660,-660
06/11/2019 00:00,SCH - PJM_NEPTUNE,325305,506,660,-660
06/11/2019 00:00,SCH - PJM_VFT,325658,220,315,-315
06/11/2019 00:00,SPR/DUN-SOUTH,23320,2959.61,4600,-9999
06/11/2019 00:00,TOTAL EAST,23314,4085.68,6800,-9999
06/11/2019 00:00,UPNY CONED,23315,2549.97,4800,-9999
06/11/2019 00:00,WEST CENTRAL,23312,127.45,9999,-9999
06/11/2019 00:05,CENTRAL EAST - VC,23330,2408.6,2520,-9999
06/11/2019 00:05,DYSINGER EAST,23326,406.29,3150,-9999
06/11/2019 00:05,MOSES SOUTH,23319,2297.53,3150,-1600
06/11/2019 00:05,SCH - HQ - NY,23324,1214,1500,-800
06/11/2019 00:05,SCH - HQ_CEDARS,325274,75,190,-40
06/11/2019 00:05,SCH - HQ_IMPORT_EXPORT,325376,914,1310,-9999
06/11/2019 00:05,SCH - NE - NY,23318,-1223.23,1400,-1600
06/11/2019 00:05,SCH - NPX_1385,325277,58,200,-200
06/11/2019 00:05,SCH - NPX_CSC,325154,100,330,-330
06/11/2019 00:05,SCH - OH - NY,23317,1097.79,1500,-1400
06/11/2019 00:05,SCH - PJ - NY,23316,-159.48,1800,-1100
06/11/2019 00:05,SCH - PJM_HTP,325905,100,660,-660
06/11/2019 00:05,SCH - PJM_NEPTUNE,325305,610,660,-660
06/11/2019 00:05,SCH - PJM_VFT,325658,315,315,-315
06/11/2019 00:05,SPR/DUN-SOUTH,23320,2902.15,4600,-9999
06/11/2019 00:05,TOTAL EAST,23314,3986.26,6800,-9999
06/11/2019 00:05,UPNY CONED,23315,2363.43,4800,-9999
06/11/2019 00:05,WEST CENTRAL,23312,81.1,9999,-9999
06/11/2019 00:10,CENTRAL EAST - VC,23330,2412.73,2520,-9999
06/11/2019 00:10,DYSINGER EAST,23326,401.12,3150,-9999
06/11/2019 00:10,MOSES SOUTH,23319,2291.66,3150,-1600
06/11/2019 00:10,SCH - HQ - NY,23324,1214,1500,-800
06/11/2019 00:10,SCH - HQ_CEDARS,325274,75,190,-40
06/11/2019 00:10,SCH - HQ_IMPORT_EXPORT,325376,914,1310,-9999
06/11/2019 00:10,SCH - NE - NY,23318,-1223.26,1400,-1600
06/11/2019 00:10,SCH - NPX_1385,325277,58,200,-200
06/11/2019 00:10,SCH - NPX_CSC,325154,100,330,-330
06/11/2019 00:10,SCH - OH - NY,23317,1097.79,1500,-1400
06/11/2019 00:10,SCH - PJ - NY,23316,-158.45,1800,-1100
06/11/2019 00:10,SCH - PJM_HTP,325905,100,660,-660
06/11/2019 00:10,SCH - PJM_NEPTUNE,325305,610,660,-660
06/11/2019 00:10,SCH - PJM_VFT,325658,315,315,-315
06/11/2019 00:10,SPR/DUN-SOUTH,23320,2903.48,4600,-9999
06/11/2019 00:10,TOTAL EAST,23314,3975.03,6800,-9999
06/11/2019 00:10,UPNY CONED,23315,2320.08,4800,-9999
06/11/2019 00:10,WEST CENTRAL,23312,79.82,9999,-9999
06/11/2019 00:15,CENTRAL EAST - VC,23330,2412.75,2520,-9999
06/11/2019 00:15,DYSINGER EAST,23326,449.91,3150,-9999
06/11/2019 00:15,MOSES SOUTH,23319,2229.17,3150,-1600
06/11/2019 00:15,SCH - HQ - NY,23324,1214,1500,-800
06/11/2019 00:15,SCH - HQ_CEDARS,325274,75,190,-40
06/11/2019 00:15,SCH - HQ_IMPORT_EXPORT,325376,914,1310,-9999
06/11/2019 00:15,SCH - NE - NY,23318,-1228.22,1400,-1600
06/11/2019 00:15,SCH - NPX_1385,325277,58,200,-200
06/11/2019 00:15,SCH - NPX_CSC,325154,100,330,-330
06/11/2019 00:15,SCH - OH - NY,23317,1097.68,1500,-1400
06/11/2019 00:15,SCH - PJ - NY,23316,-161.4,1800,-1100
06/11/2019 00:15,SCH - PJM_HTP,325905,100,660,-660
06/11/2019 00:15,SCH - PJM_NEPTUNE,325305,610,660,-660
06/11/2019 00:15,SCH - PJM_VFT,325658,315,315,-315
06/11/2019 00:15,SPR/DUN-SOUTH,23320,2894.01,4600,-9999
06/11/2019 00:15,TOTAL EAST,23314,3939.3,6800,-9999
06/11/2019 00:15,UPNY CONED,23315,2275.88,4800,-9999
06/11/2019 00:15,WEST CENTRAL,23312,135.59,9999,-9999
06/11/2019 00:20,CENTRAL EAST - VC,23330,2411.48,2520,-9999
06/11/2019 00:20,DYSINGER EAST,23326,417.38,3150,-9999
06/11/2019 00:20,MOSES SOUTH,23319,2211.95,3150,-1600
06/11/2019 00:20,SCH - HQ - NY,23324,1214,1500,-800
