Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/05/2022 00:00,CENTRAL EAST - VC,23330,1546.3,2035,-9999
09/05/2022 00:00,DYSINGER EAST,23326,968,3200,-9999
09/05/2022 00:00,MOSES SOUTH,23319,2112.24,3150,-1600
09/05/2022 00:00,SCH - HQ - NY,23324,1500,1500,-1000
09/05/2022 00:00,SCH - HQ_CEDARS,325274,270,270,-100
09/05/2022 00:00,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/05/2022 00:00,SCH - NE - NY,23318,-2.82,1400,-1600
09/05/2022 00:00,SCH - NPX_1385,325277,101,200,-200
09/05/2022 00:00,SCH - NPX_CSC,325154,330,330,-330
09/05/2022 00:00,SCH - OH - NY,23317,1100.29,1700,-1550
09/05/2022 00:00,SCH - PJ - NY,23316,1150.23,2000,-1150
09/05/2022 00:00,SCH - PJM_HTP,325905,300,660,-660
09/05/2022 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
09/05/2022 00:00,SCH - PJM_VFT,325658,315,315,-315
09/05/2022 00:00,SPR/DUN-SOUTH,23320,2313.92,4600,-9999
09/05/2022 00:00,TOTAL EAST,23314,3118.36,6800,-9999
09/05/2022 00:00,UPNY CONED,23315,4242.96,5190,-9999
09/05/2022 00:00,WEST CENTRAL,23312,612.34,9999,-9999
09/05/2022 00:05,CENTRAL EAST - VC,23330,1492.73,2035,-9999
09/05/2022 00:05,DYSINGER EAST,23326,931.16,3200,-9999
09/05/2022 00:05,MOSES SOUTH,23319,2075.51,3150,-1600
09/05/2022 00:05,SCH - HQ - NY,23324,1500,1500,-1000
09/05/2022 00:05,SCH - HQ_CEDARS,325274,270,270,-100
09/05/2022 00:05,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/05/2022 00:05,SCH - NE - NY,23318,112.98,1400,-1600
09/05/2022 00:05,SCH - NPX_1385,325277,59,200,-200
09/05/2022 00:05,SCH - NPX_CSC,325154,330,330,-330
09/05/2022 00:05,SCH - OH - NY,23317,1100.1,1700,-1550
09/05/2022 00:05,SCH - PJ - NY,23316,1204.67,2000,-1150
09/05/2022 00:05,SCH - PJM_HTP,325905,300,660,-660
09/05/2022 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/05/2022 00:05,SCH - PJM_VFT,325658,315,315,-315
09/05/2022 00:05,SPR/DUN-SOUTH,23320,2337.36,4600,-9999
09/05/2022 00:05,TOTAL EAST,23314,3135.29,6800,-9999
09/05/2022 00:05,UPNY CONED,23315,4263.95,5190,-9999
