Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/30/2021 00:00,CENTRAL EAST - VC,23330,1318.63,1470,-9999
09/30/2021 00:00,DYSINGER EAST,23326,417.72,3150,-9999
09/30/2021 00:00,MOSES SOUTH,23319,1480.68,3000,-1600
09/30/2021 00:00,SCH - HQ - NY,23324,1306,1500,-1000
09/30/2021 00:00,SCH - HQ_CEDARS,325274,0,80,0
09/30/2021 00:00,SCH - HQ_IMPORT_EXPORT,325376,1052,1310,-9999
09/30/2021 00:00,SCH - NE - NY,23318,-299.1,500,-1400
09/30/2021 00:00,SCH - NPX_1385,325277,133,200,-200
09/30/2021 00:00,SCH - NPX_CSC,325154,285,330,-330
09/30/2021 00:00,SCH - OH - NY,23317,883.98,1700,-1500
09/30/2021 00:00,SCH - PJ - NY,23316,271.16,2000,-1150
09/30/2021 00:00,SCH - PJM_HTP,325905,434,660,-660
09/30/2021 00:00,SCH - PJM_NEPTUNE,325305,375,660,-660
09/30/2021 00:00,SCH - PJM_VFT,325658,315,315,-315
09/30/2021 00:00,SPR/DUN-SOUTH,23320,1904.13,4600,-9999
09/30/2021 00:00,TOTAL EAST,23314,3068.33,6800,-9999
09/30/2021 00:00,UPNY CONED,23315,2928.72,5205,-9999
09/30/2021 00:00,WEST CENTRAL,23312,60.5,9999,-9999
09/30/2021 00:05,CENTRAL EAST - VC,23330,1280.22,1470,-9999
09/30/2021 00:05,DYSINGER EAST,23326,454.73,3150,-9999
09/30/2021 00:05,MOSES SOUTH,23319,1379.59,3000,-1600
09/30/2021 00:05,SCH - HQ - NY,23324,1199,1500,-1000
09/30/2021 00:05,SCH - HQ_CEDARS,325274,0,80,0
09/30/2021 00:05,SCH - HQ_IMPORT_EXPORT,325376,985,1310,-9999
09/30/2021 00:05,SCH - NE - NY,23318,-299.17,500,-1400
09/30/2021 00:05,SCH - NPX_1385,325277,122,200,-200
09/30/2021 00:05,SCH - NPX_CSC,325154,240,330,-330
09/30/2021 00:05,SCH - OH - NY,23317,931.96,1700,-1500
09/30/2021 00:05,SCH - PJ - NY,23316,263.25,2000,-1150
09/30/2021 00:05,SCH - PJM_HTP,325905,385,660,-660
09/30/2021 00:05,SCH - PJM_NEPTUNE,325305,375,660,-660
09/30/2021 00:05,SCH - PJM_VFT,325658,315,315,-315
09/30/2021 00:05,SPR/DUN-SOUTH,23320,1851.46,4600,-9999
09/30/2021 00:05,TOTAL EAST,23314,3000.13,6800,-9999
09/30/2021 00:05,UPNY CONED,23315,2910.81,5205,-9999
09/30/2021 00:05,WEST CENTRAL,23312,103.18,9999,-9999
09/30/2021 00:10,CENTRAL EAST - VC,23330,1302.76,1450,-9999
09/30/2021 00:10,DYSINGER EAST,23326,488.57,3150,-9999
09/30/2021 00:10,MOSES SOUTH,23319,1413.67,3000,-1600
09/30/2021 00:10,SCH - HQ - NY,23324,1199,1500,-1000
09/30/2021 00:10,SCH - HQ_CEDARS,325274,0,80,0
09/30/2021 00:10,SCH - HQ_IMPORT_EXPORT,325376,985,1310,-9999
09/30/2021 00:10,SCH - NE - NY,23318,-298.51,500,-1400
09/30/2021 00:10,SCH - NPX_1385,325277,122,200,-200
09/30/2021 00:10,SCH - NPX_CSC,325154,240,330,-330
09/30/2021 00:10,SCH - OH - NY,23317,931.99,1700,-1500
09/30/2021 00:10,SCH - PJ - NY,23316,263.43,2000,-1150
09/30/2021 00:10,SCH - PJM_HTP,325905,385,660,-660
09/30/2021 00:10,SCH - PJM_NEPTUNE,325305,375,660,-660
09/30/2021 00:10,SCH - PJM_VFT,325658,315,315,-315
09/30/2021 00:10,SPR/DUN-SOUTH,23320,1847.82,4600,-9999
09/30/2021 00:10,TOTAL EAST,23314,3012.06,6800,-9999
09/30/2021 00:10,UPNY CONED,23315,2893.87,5205,-9999
09/30/2021 00:10,WEST CENTRAL,23312,138.56,9999,-9999
09/30/2021 00:15,CENTRAL EAST - VC,23330,1316.09,1450,-9999
09/30/2021 00:15,DYSINGER EAST,23326,532.24,3150,-9999
09/30/2021 00:15,MOSES SOUTH,23319,1432.27,3000,-1600
09/30/2021 00:15,SCH - HQ - NY,23324,1199,1500,-1000
09/30/2021 00:15,SCH - HQ_CEDARS,325274,0,80,0
09/30/2021 00:15,SCH - HQ_IMPORT_EXPORT,325376,985,1310,-9999
09/30/2021 00:15,SCH - NE - NY,23318,-298.95,500,-1400
09/30/2021 00:15,SCH - NPX_1385,325277,122,200,-200
09/30/2021 00:15,SCH - NPX_CSC,325154,240,330,-330
09/30/2021 00:15,SCH - OH - NY,23317,931.93,1700,-1500
09/30/2021 00:15,SCH - PJ - NY,23316,261.03,2000,-1150
09/30/2021 00:15,SCH - PJM_HTP,325905,385,660,-660
09/30/2021 00:15,SCH - PJM_NEPTUNE,325305,375,660,-660
09/30/2021 00:15,SCH - PJM_VFT,325658,315,315,-315
09/30/2021 00:15,SPR/DUN-SOUTH,23320,1836.36,4600,-9999
09/30/2021 00:15,TOTAL EAST,23314,3034.11,6800,-9999
09/30/2021 00:15,UPNY CONED,23315,2886.94,5205,-9999
09/30/2021 00:15,WEST CENTRAL,23312,184.53,9999,-9999
09/30/2021 00:20,CENTRAL EAST - VC,23330,1324.63,1450,-9999
09/30/2021 00:20,DYSINGER EAST,23326,486.44,3150,-9999
09/30/2021 00:20,MOSES SOUTH,23319,1448.84,3000,-1600
09/30/2021 00:20,SCH - HQ - NY,23324,1199,1500,-1000
09/30/2021 00:20,SCH - HQ_CEDARS,325274,0,80,0
09/30/2021 00:20,SCH - HQ_IMPORT_EXPORT,325376,985,1310,-9999
09/30/2021 00:20,SCH - NE - NY,23318,-299.04,500,-1400
09/30/2021 00:20,SCH - NPX_1385,325277,122,200,-200
09/30/2021 00:20,SCH - NPX_CSC,325154,240,330,-330
09/30/2021 00:20,SCH - OH - NY,23317,931.93,1700,-1500
09/30/2021 00:20,SCH - PJ - NY,23316,262.13,2000,-1150
09/30/2021 00:20,SCH - PJM_HTP,325905,385,660,-660
09/30/2021 00:20,SCH - PJM_NEPTUNE,325305,375,660,-660
09/30/2021 00:20,SCH - PJM_VFT,325658,315,315,-315
09/30/2021 00:20,SPR/DUN-SOUTH,23320,1802.39,4600,-9999
09/30/2021 00:20,TOTAL EAST,23314,3042.86,6800,-9999
09/30/2021 00:20,UPNY CONED,23315,2848.51,5205,-9999
09/30/2021 00:20,WEST CENTRAL,23312,141.41,9999,-9999
09/30/2021 00:25,CENTRAL EAST - VC,23330,1332.15,1450,-9999
09/30/2021 00:25,DYSINGER EAST,23326,494.03,3150,-9999
09/30/2021 00:25,MOSES SOUTH,23319,1445.95,3000,-1600
09/30/2021 00:25,SCH - HQ - NY,23324,1199,1500,-1000
09/30/2021 00:25,SCH - HQ_CEDARS,325274,0,80,0
09/30/2021 00:25,SCH - HQ_IMPORT_EXPORT,325376,985,1310,-9999
09/30/2021 00:25,SCH - NE - NY,23318,-298.96,500,-1400
09/30/2021 00:25,SCH - NPX_1385,325277,122,200,-200
09/30/2021 00:25,SCH - NPX_CSC,325154,240,330,-330
09/30/2021 00:25,SCH - OH - NY,23317,931.93,1700,-1500
09/30/2021 00:25,SCH - PJ - NY,23316,261.02,2000,-1150
09/30/2021 00:25,SCH - PJM_HTP,325905,385,660,-660
09/30/2021 00:25,SCH - PJM_NEPTUNE,325305,375,660,-660
09/30/2021 00:25,SCH - PJM_VFT,325658,315,315,-315
09/30/2021 00:25,SPR/DUN-SOUTH,23320,1786.28,4600,-9999
09/30/2021 00:25,TOTAL EAST,23314,3044.54,6800,-9999
09/30/2021 00:25,UPNY CONED,23315,2827.07,5205,-9999
09/30/2021 00:25,WEST CENTRAL,23312,151.82,9999,-9999
09/30/2021 00:30,CENTRAL EAST - VC,23330,1286.97,1450,-9999
09/30/2021 00:30,DYSINGER EAST,23326,399.91,3150,-9999
09/30/2021 00:30,MOSES SOUTH,23319,1432.43,3000,-1600
09/30/2021 00:30,SCH - HQ - NY,23324,1199,1500,-1000
09/30/2021 00:30,SCH - HQ_CEDARS,325274,0,80,0
09/30/2021 00:30,SCH - HQ_IMPORT_EXPORT,325376,985,1310,-9999
09/30/2021 00:30,SCH - NE - NY,23318,-299.22,500,-1400
09/30/2021 00:30,SCH - NPX_1385,325277,122,200,-200
09/30/2021 00:30,SCH - NPX_CSC,325154,240,330,-330
09/30/2021 00:30,SCH - OH - NY,23317,931.96,1700,-1500
09/30/2021 00:30,SCH - PJ - NY,23316,264.8,2000,-1150
09/30/2021 00:30,SCH - PJM_HTP,325905,385,660,-660
09/30/2021 00:30,SCH - PJM_NEPTUNE,325305,375,660,-660
