\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2023-01-31 08:01:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,Total
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow
2022-01-01,1,73,41,-31,0,0,9,0,926,834,0,35,34,0,502,544,9,135,127,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,1,0,0,60,0,0,0,82,1648,1586
2022-01-01,2,73,90,22,0,0,9,0,1241,1092,0,33,34,0,646,762,9,135,126,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,1,0,0,60,0,0,0,82,2154,2116
2022-01-01,3,73,49,-16,0,0,9,0,1167,1147,45,0,-37,0,703,739,9,135,126,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,1,0,0,60,0,0,0,127,2063,2041
2022-01-01,4,73,49,-19,0,0,9,0,1201,1113,62,0,-64,0,580,700,9,135,126,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,1,0,0,44,0,0,0,144,1974,1920
2022-01-01,5,73,74,-12,0,0,9,0,1156,935,1,0,-7,0,206,494,27,135,108,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,1,0,0,44,0,0,0,101,1580,1584
2022-01-01,6,73,35,-26,0,0,9,0,1445,1254,0,0,-2,0,430,621,42,135,93,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,1,0,0,44,0,0,0,115,2054,2006
2022-01-01,7,0,49,37,0,0,9,0,1421,1414,0,26,24,0,318,387,28,135,113,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,1,0,0,44,0,0,0,28,1958,2044
2022-01-01,8,0,49,40,0,0,9,0,1450,1468,0,17,18,0,404,325,28,335,297,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,1,0,0,66,0,0,0,28,2264,2240
2022-01-01,9,0,49,35,0,0,9,0,1261,1413,0,38,38,0,305,42,28,135,110,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,1,0,0,84,0,0,0,28,1797,1749
2022-01-01,10,0,50,45,0,0,9,0,1190,1401,0,36,35,0,406,168,28,135,106,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,1,0,0,79,0,0,0,28,1826,1858
2022-01-01,11,0,50,63,0,0,9,0,1450,1510,0,37,39,0,357,375,42,135,91,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,1,0,0,79,0,0,0,42,2038,2183
2022-01-01,12,0,50,62,0,0,8,0,1450,1395,0,32,30,0,513,560,94,135,42,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,79,0,0,0,94,2189,2190
2022-01-01,13,0,49,59,0,0,8,0,1178,1295,0,19,18,0,640,633,49,135,67,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,1,0,0,79,0,0,0,49,2030,2175
2022-01-01,14,0,46,45,0,0,8,0,1445,1358,0,2,0,0,484,631,49,135,92,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,1,0,0,79,0,0,0,49,2121,2225
2022-01-01,15,0,49,35,0,0,8,0,1450,1379,0,4,0,0,544,649,49,283,226,0,0,0,0,0,0,0,0,0,0,9,-15,0,0,0,0,0,0,0,0,74,0,0,0,49,2339,2356
2022-01-01,16,0,49,37,0,0,8,0,1299,1270,0,8,6,0,676,656,37,135,87,0,0,0,0,0,0,0,0,0,0,9,-21,0,0,0,0,0,1,0,0,69,0,0,0,37,2176,2113
2022-01-01,17,0,39,34,0,0,9,0,1366,1294,37,37,0,0,823,853,433,135,-310,0,0,0,0,0,0,0,0,0,0,9,-20,0,0,0,0,0,1,0,0,69,0,0,0,470,2409,1930
2022-01-01,18,0,42,46,0,0,9,0,1417,1444,21,24,7,0,1051,958,1037,135,-880,0,0,0,0,0,0,0,0,0,0,9,-16,0,0,0,0,0,1,0,0,82,0,0,0,1058,2678,1651
2022-01-01,19,0,49,42,0,0,9,0,1375,1333,0,28,28,0,706,762,483,135,-351,0,0,0,0,0,0,0,0,0,0,9,-19,0,0,0,0,0,1,0,0,86,0,0,0,483,2302,1891
