\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2020-01-31 08:02:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,Total
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow
2019-01-01,1,42,149,92,0,0,7,0,803,672,52,39,-16,0,1150,1274,159,908,759,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,1,0,0,71,0,0,0,253,3058,2875
2019-01-01,2,100,198,102,0,0,7,0,850,756,80,43,-35,0,1150,1143,84,1108,1022,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,2,0,0,71,0,0,0,264,3358,3086
2019-01-01,3,100,137,50,0,0,7,0,850,848,80,63,-15,0,1150,1117,84,1108,1025,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,2,0,0,71,0,0,0,264,3317,3124
2019-01-01,4,86,130,32,0,0,7,0,850,853,0,89,83,0,1150,1134,59,1108,1050,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,2,0,0,71,0,0,0,145,3336,3249
2019-01-01,5,63,193,126,0,0,7,0,850,926,48,48,12,0,1150,1009,34,1105,1071,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,1,0,0,71,0,0,0,145,3355,3242
2019-01-01,6,100,137,54,0,0,7,0,850,1004,40,33,-2,0,1150,933,34,1105,1064,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,1,0,0,71,0,0,0,174,3284,3153
2019-01-01,7,140,137,21,0,0,7,0,800,922,0,0,0,0,1150,1059,34,905,863,0,0,0,0,0,0,0,0,0,0,9,32,0,0,0,0,0,1,0,0,71,0,0,0,174,3001,2976
2019-01-01,8,97,176,81,0,0,7,0,850,1024,0,0,0,0,1222,1027,59,905,824,0,0,0,0,0,0,0,0,0,0,9,35,0,0,0,0,0,0,0,0,71,0,0,0,156,3162,3069
2019-01-01,9,93,176,72,0,0,8,0,822,828,0,0,0,0,775,793,59,905,818,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,71,0,0,0,152,2687,2616
2019-01-01,10,17,80,60,0,0,8,0,632,770,0,0,0,0,964,864,209,905,679,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,70,0,0,0,226,2590,2467
2019-01-01,11,0,44,42,0,0,7,0,708,1056,0,0,0,0,890,621,84,905,792,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,84,2556,2529
2019-01-01,12,0,0,19,0,0,7,0,850,1100,0,0,0,0,747,503,84,493,401,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,1,0,0,0,0,0,0,84,2099,2044
