\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2024-01-31 08:02:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,Total
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow
2023-01-01,1,68,12,-64,0,0,6,0,837,842,0,15,14,0,699,726,92,92,17,0,0,210,0,0,0,0,0,0,0,9,-6,0,0,0,0,0,1,0,0,92,0,0,0,160,1664,1838
2023-01-01,2,150,62,-89,0,0,6,0,1036,1078,0,0,-4,0,674,762,102,102,1,0,0,235,0,0,0,0,0,0,0,9,-7,0,0,0,0,0,1,0,0,92,0,0,0,252,1883,2075
2023-01-01,3,150,87,-51,0,0,6,0,1099,1129,0,20,17,0,849,763,180,180,0,0,0,234,0,0,0,0,0,0,0,9,-11,0,0,0,0,0,1,0,0,92,0,0,0,330,2244,2180
2023-01-01,4,74,104,4,0,0,5,0,1350,1301,0,20,20,0,759,811,308,308,0,0,0,232,0,0,0,0,0,0,0,9,-9,0,0,0,0,0,1,0,0,92,0,0,0,382,2550,2457
2023-01-01,5,87,117,-22,0,0,5,0,1338,1282,0,20,17,0,849,937,308,308,0,0,0,232,0,0,0,0,0,0,0,9,-9,0,0,0,0,0,1,0,0,70,0,0,0,395,2641,2513
2023-01-01,6,150,93,-46,0,0,5,0,1155,1169,0,20,16,0,909,891,398,398,0,0,0,232,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,70,0,0,0,548,2584,2339
2023-01-01,7,11,41,16,0,0,5,0,1263,1344,0,20,19,0,950,873,355,355,26,0,0,233,0,0,0,0,0,0,0,9,-1,0,0,0,0,0,1,0,0,90,0,0,0,366,2638,2606
2023-01-01,8,0,29,37,0,0,6,0,1000,1051,0,20,20,0,544,531,9,308,297,0,0,232,0,0,0,0,0,0,0,9,5,0,0,0,0,0,1,0,0,92,0,0,0,9,1910,2272
2023-01-01,9,35,41,13,0,0,6,0,998,1210,0,20,23,0,753,638,9,284,274,0,0,129,0,0,0,0,0,0,0,9,11,0,0,0,0,0,1,0,0,92,0,0,0,44,2105,2397
