\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2022-01-31 08:02:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,Total
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow
2021-01-01,1,104,102,-9,0,0,6,0,797,960,0,65,64,0,970,873,1259,53,-1210,52,0,-70,74,0,-78,0,0,0,0,11,-9,0,0,0,120,0,-119,0,0,0,0,0,0,1609,1998,408
2021-01-01,2,104,90,-5,0,0,6,0,858,936,0,60,60,0,994,861,1259,53,-1211,52,0,-68,74,0,-78,0,0,0,0,11,-19,0,0,0,120,0,-119,0,0,0,0,0,0,1609,2066,363
2021-01-01,3,104,102,10,0,0,6,0,1000,1020,0,85,87,0,830,821,1259,53,-1205,52,0,-68,74,0,-78,0,0,0,0,11,-21,0,0,0,120,0,-119,0,0,0,0,0,0,1609,2081,453
2021-01-01,4,104,170,65,0,0,6,0,960,1148,0,28,29,0,885,769,1057,53,-1019,52,0,-68,74,0,-78,0,0,0,0,11,-22,0,0,0,120,0,-119,0,0,0,0,0,0,1407,2107,711
2021-01-01,5,244,220,-18,0,0,6,0,1000,1088,129,49,-72,0,730,594,1259,53,-1207,52,0,-68,74,0,-78,0,0,0,0,11,-26,0,0,0,120,0,-118,0,0,0,0,0,0,1878,2063,101
2021-01-01,6,273,221,-58,0,0,6,0,1000,971,129,49,-76,0,725,709,1250,53,-1198,52,0,-68,74,0,-78,0,0,0,0,11,-23,0,0,0,120,0,-119,0,0,0,0,0,0,1898,2059,66
2021-01-01,7,231,136,-84,0,0,6,0,960,966,70,49,-23,0,660,627,1125,53,-1082,52,0,-68,74,0,-78,0,0,0,0,11,-10,0,0,0,120,0,-119,0,0,0,0,0,0,1672,1869,135
2021-01-01,8,250,157,-98,0,0,6,0,1000,1039,70,74,2,0,663,634,1259,53,-1199,52,0,-68,74,0,-78,0,0,0,0,11,21,0,0,0,120,0,-119,0,0,0,0,0,0,1825,1958,140
2021-01-01,9,175,254,48,0,0,6,0,1000,1031,120,59,-61,0,465,439,960,53,-924,52,0,-68,74,0,-78,0,0,0,0,11,40,0,0,0,120,0,-120,0,0,0,0,0,0,1501,1842,313
